‘주·단기보호시설	‘/SL+주/NNG+·/SP+단기보호시설/NNG
평가지표’	평가지표/NNG+’/SN
현실	현실/NNG
외면	외면/NNG

올해	올해/NNG
서울지역	서울/NNP+지역/NNG
장애인주·단기보호시설을	장애인주/NNG+·/SP+단기보호시설/NNG+을/JKO
평가하기	평가하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
평가지표가	평가지표/NNG+가/JKS
관계자들의	관계자/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
반영해	반영하/VV+여/EC
마련됐지만	마련되/VV+었/EP+지만/EC
불만의	불만/NNG+의/JKG
목소리는	목소리/NNG+는/JX
여전하다	여전하/VA+다/EC

서울시복지재단은	서울/NNP+시복지재단/NNG+은/JX
29일	29/SN+일/NNB
이룸센터	이룸센터/NNG
이룸홀에서	이룸홀/NNP+에서/JKB
지금까지	지금/NNG+까지/JX
공청회	공청회/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
의견을	의견/NNG+을/JKO
수렴한	수렴하/VV+ㄴ/ETM
‘장애인주·단기보호시설	‘/SN+장애인주/NNG+·/SP+단기보호시설/NNG
평가지표’를	평가지표’/NNG+를/JKO
최종확정해	최종/NNG+확정하/VV+여/EC
발표했다	발표하/VV+였/EP+다/EC

주·단기보호시설	주/NNG+·/SP+단기보호시설/NNG
평가는	평가/NNG+는/JX
2006년부터	2006/SN+년/NNB+부터/JX
3년마다	3/SN+년/NNB+마다/JX
조직운영,	조직운영/NNG+,/SP
안전·인력	안전/NNG+·/SP+인력/NNG
관리,	관리/NNG+,/SP
이용자	이용자/NNG
보호	보호/NNG
등에	등/NNB+에/JKB
대해	대하/VV+여/EC
전반적으로	전반적/NNG+으로/JKB
이뤄지고	이루어지/VV+고/EC
있다	있/VX+다/EC

올해에도	올해/NNG+에/JKB+도/JX
7월부터	7/SN+월/NNB+부터/JX
9월까지	9/SN+월/NNB+까지/JX
주간	주간/NNG
97개소,	97/SN+개소/NNB+,/SP
단기	단기/NNG
29개소	29/SN+개소/NNB
등	등/NNB
총	총/MM
126개소를	126/SN+개소/NNB+를/JKO
대상으로	대상/NNG+으로/JKB
2009년부터	2009/SN+년/NNB+부터/JX
2011년	2011/SN+년/NNB
자료를	자료/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
평가가	평가/NNG+가/JKS
실시된다	실시되/VV+ㄴ다/EF

이날	이날/NNG
발표는	발표/NNG+는/JX
평가지표개발위원회	평가지표개발위원회/NNG
위원장인	위원장/NNG+이/VCP+ㄴ/ETM
남서울대학교	남서울대학교/NNP
양숙미	양숙미/NNP
교수가	교수/NNG+가/JKS
맡았다	맡/VV+았/EP+다/EC

양	양/NNP
위원장에	위원장/NNG+에/JKB
따르면	따르/VV+면/EC
확정된	확정되/VV+ㄴ/ETM
평가지표는	평가지표/NNG+는/JX
조직운영	조직운영/NNG
및	및/MAG
재정,	재정/NNG+,/SP
시설환경	시설환경/NNG
및	및/MAG
안전관리,	안전관리/NNG+,/SP
인력관리,	인력관리/NNG+,/SP
이용자	이용자/NNG
관리,	관리/NNG+,/SP
서비스	서비스/NNG
제공,	제공/NNG+,/SP
지역사회	지역사회/NNG
관계관리	관계관리/NNG
등	등/NNB
총	총/MM
6개	6/SN+개/NNB
영역	영역/NNG
35개	35/SN+개/NNB
문항(100점	문항/NNG+(/SS+100/SN+점/NNB
만점)으로	만점/NNG+)/SS+으로/JKB
구성됐다	구성되/VV+었/EP+다/EF

직원의	직원/NNG+의/JKG
외부교육	외부교육/NNG
참여시간	참여시간/NNG
등의	등/NNB+의/JKG
평가문항을	평가문항/NNG+을/JKO
담은	담/VV+은/ETM
3개의	3/SN+개/NNB+의/JKG
예비지표도	예비지표/NNG+도/JX
제시됐다	제시되/VV+었/EP+다/EF

서울시복지재단은	서울/NNP+시복지재단/NNG+은/JX
당초	당초/NNG
평가지표를	평가지표/NNG+를/JKO
6개	6/SN+개/NNB
영역	영역/NNG
28개	28/SN+개/NNB
문항으로	문항/NNG+으로/JKB
구성했으나	구성하/VV+었/EP+으나/EC
보호시설	보호시설/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
수렴해	수렴하/VV+여/EC
서비스제공	서비스제공/NNG
영역을	영역/NNG+을/JKO
보다	보다/MAG
알기	알/VV+기/ETN
쉽게	쉽/VA+게/EC
7개	7/SN+개/NNB
문항을	문항/NNG+을/JKO
늘리는	늘리/VV+는/ETM
등	등/NNB
보다	보다/MAG
세분화했다	세분화하/VV+였/EP+다/EC

또한	또한/MAG
배점이	배점/NNG+이/JKS
너무	너무/MAG
높다는	높/VA+다는/ETM
주장이	주장/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
‘서비스제공’	‘/SL+서비스제공/NNG+’/SL
영역은	영역/NNG+은/JX
당초	당초/NNG
35점에서	35/SN+점/NNB+에서/JKB
33점으로	33/SN+점/NNB+으로/JKB
2점을	2/SN+점/NNB+을/JKO
줄였다	줄이/VV+었/EP+다/EC

보호시설의	보호시설/NNG+의/JKG
서비스	서비스/NNG
이용인원	이용인원/NNG
및	및/MAG
서비스	서비스/NNG
제공	제공/NNG
시간을	시간/NNG+을/JKO
10점에서	10/SN+점/NNB+에서/JKB
8점으로	8/SN+점/NNB+으로/JKB
조정한	조정하/VV+ㄴ/ETM
것	것/NNB

이외	이외/NNG
논란이	논란/NNG+이/JKS
일었던	일/VV+었/EP+던/ETM
인력관리	인력관리/NNG
영역의	영역/NNG+의/JKG
시설장전문성	시설장전문성/NNG
평가문항과	평가문항/NNG+과/JC
직원의	직원/NNG+의/JKG
자격증	자격증/NNG
소지	소지/NNG
정도	정도/NNG
평가문항을	평가문항/NNG+을/JKO
각각	각각/MAG
1점에서	1/SN+점/NNB+에서/JKB
2점으로	2/SN+점/NNB+으로/JKB
상향했으며,	상향하/VV+였/EP+으며/EC+,/SP
해당항목의	해당항목/NNG+의/JKG
적용을	적용/NNG+을/JKO
최대	최대/NNG
6개에서	6/SN+개/NNB+에서/JKB
4개	4/SN+개/NNB
등으로	등/NNB+으로/JKB
완화했다	완화하/VV+였/EP+다/EF

이	이/NP
같이	같이/MAG
수정된	수정되/VV+ㄴ/ETM
평가지표를	평가지표/NNG+를/JKO
최종	최종/NNG
확정해	확정하/VV+여/EC
발표했음에도	발표하/VV+였/EP+음/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
이날	이날/NNG
플로어에서는	플로어/NNG+에서/JKB+는/JX
여전히	여전히/MAG
불만의	불만/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
나왔다	나오/VV+았/EP+다/EF

이는	이/NP+는/JX
시설의	시설/NNG+의/JKG
현실을	현실/NNG+을/JKO
여전히	여전히/MAG
외면한	외면하/VV+ㄴ/ETM
평가지표라는	평가지표/NNG+이/VCP+라는/ETM
것	것/NNB

특히	특히/MAG
서비스제공	서비스제공/NNG
영역의	영역/NNG+의/JKG
토요일	토요일/NNG
서비스	서비스/NNG
제공	제공/NNG
평가문항을	평가문항/NNG+을/JKO
놓고	놓/VV+고/EC
불만의	불만/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
쏟아졌다	쏟아지/VV+었/EP+다/EF

보호시설	보호시설/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
“직원들의	“/SN+직원/NNG+들/XSN+의/JKG
복지와	복지/NNG+와/JC
처우는	처우/NNG+는/JX
반영되지	반영되/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
연차도	연차/NNG+도/JX
쓰지	쓰/VV+지/EC
못하고	못하/VX+고/EC
제대로	제대로/MAG
쉬지도	쉬/VV+지/EC+도/JX
못하는데	못하/VX+는/ETM+데/NNB
토요일까지	토요일/NNG+까지/JX
일을	일/NNG+을/JKO
하라는	하/VV+라는/ETM
것은	것/NNB+은/JX
현실성이	현실성/NNG+이/JKS
없다”며	없/VA+다/EC+”/VX+며/EC
“제반	“/SL+제반/NNG
여건을	여건/NNG+을/JKO
만들고	만들/VV+고/EC
이	이/NP
같은	같/VA+은/ETM
평가가	평가/NNG+가/JKS
이뤄져야한다”고	이루어지/VV+어야/EC+하/VX+ㄴ다”고/EC
입을	입/NNG+을/JKO
모았다	모으/VV+았/EP+다/EC

또	또/MAG
다른	다른/MM
보호시설	보호시설/NNG
관계자는	관계자/NNG+는/JX
“이번	“/SL+이번/NNG
평가지표는	평가지표/NNG+는/JX
예산이	예산/NNG+이/JKS
10억,	10/SN+억/NR+,/SP
20억	20/SN+억/NR
되는,	되/VV+는/ETM+,/SP
여건이	여건/NNG+이/JKS
좋은	좋/VA+은/ETM
복지관	복지/NNG+관/XSN
등에	등/NNB+에/JKB
적용해야	적용하/VV+여야/EC
하는	하/VX+는/ETM
평가지표”라며	평가지표”/NNG+이/VCP+라며/EC
강한	강하/VA+ㄴ/ETM
불만을	불만/NNG+을/JKO
나타냈다	나타내/VV+었/EP+다/EF

서비스제공	서비스제공/NNG
영역의	영역/NNG+의/JKG
전체이용자	전체이용자/NNG
중	중/NNB
1급	1/SN+급/NNG
장애인의	장애인/NNG+의/JKG
비율	비율/NNG
평가문항이	평가문항/NNG+이/JKS
현실적으로	현실적/NNG+으로/JKB
반영되기	반영되/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
지적도	지적/NNG+도/JX
제기됐다	제기되/VV+었/EP+다/EF

보호시설	보호시설/NNG
관계자는	관계자/NNG+는/JX
“1급	“/SL+1/SN+급/NNG
장애인수를	장애인수/NNG+를/JKO
%로	%/SW+로/JKB
나눠	나누/VV+어/EC
배점을	배점/NNG+을/JKO
주는	주/VV+는/ETM
것은	것/NNB+은/JX
시설마다	시설/NNG+마다/JX
장애인	장애인/NNG
수가	수/NNG+가/JKS
다른	다르/VA+ㄴ/ETM
만큼	만큼/NNB
무리”라며	무리”/NNG+이/VCP+라며/EC
“특히	“특히/MAG
1급	1/SN+급/NNG
장애인을	장애인/NNG+을/JKO
늘리기	늘리/VV+기/ETN
위한	위하/VV+ㄴ/ETM
폐단이	폐단/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EC+”/VX+고/EC
지적했다	지적하/VV+였/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
양숙미	양숙미/NNP
위원장은	위원장/NNG+은/JX
“지속적으로	“/SN+지속적/NNG+으로/JKB
의견수렴의	의견수렴/NNG+의/JKG
과정을	과정/NNG+을/JKO
거쳐	거치/VV+어/EC
불합리한	불합리하/VA+ㄴ/ETM
일들이	일/NNG+들/XSN+이/JKS
발생하지	발생하/VV+지/EC
않도록	않/VX+도록/EC
노력	노력/NNG
하겠다”고	하/VV+겠/EP+다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

서울시복지재단	서울/NNP+시복지재단/NNG
관계자는	관계자/NNG+는/JX
“이번	“/SL+이번/NNG
평가지표는	평가지표/NNG+는/JX
이용자의	이용자/NNG+의/JKG
입장에서	입장/NNG+에서/JKB
발전방향을	발전방향/NNG+을/JKO
제시한	제시하/VV+ㄴ/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“시설에	“/SL+시설/NNG+에/JKB
불합리하게	불합리하/VA+게/EC
적용되지는	적용되/VV+지/EC+는/JX
않을까	않/VX+을까/EC
우려할	우려하/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
시설	시설/NNG
역시	역시/MAG
평가지표에	평가지표/NNG+에/JKB
만족할	만족하/VA+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지속적으로	지속적/NNG+으로/JKB
노력하겠다”고	노력하/VV+겠/EP+다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

서울시복지재단은	서울/NNP+시복지재단/NNG+은/JX
29일	29/SN+일/NNB
이룸센터	이룸센터/NNG
이룸홀에서	이룸홀/NNP+에서/JKB
지금까지	지금/NNG+까지/JX
공청회	공청회/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
의견을	의견/NNG+을/JKO
수렴한	수렴하/VV+ㄴ/ETM
‘장애인주·단기보호시설	‘/SN+장애인주/NNG+·/SP+단기보호시설/NNG
평가지표’를	평가지표’/NNG+를/JKO
최종확정해	최종/NNG+확정하/VV+여/EC
발표했다	발표하/VV+였/EP+다/EC
