민주당,	민주당/NNP+,/SP
대선	대선/NNG
장애인정책공약	장애인정책공약/NNG
발표	발표/NNG

민주통합당	민주통합당/NNP
전국장애인위원회가	전/MM+국장애인위원회/NNG+가/JKS
23일	23/SN+일/NNB
오후	오후/NNG
민주통합당	민주통합당/NNP
신관	신관/NNG
대회의실에서	대/XPN+회의실/NNG+에서/JKB
발대식을	발대식/NNG+을/JKO
갖고	갖/VV+고/EC
제18대	제/XPN+18/SN+대/NNG
대선	대선/NNG
장애인정책	장애인정책/NNG
공약을	공약/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

민주당의	민주당/NNP+의/JKG
장애인정책	장애인정책/NNG
공약은	공약/NNG+은/JX
총	총/MM
12개로	12/SN+개/NNB+로/JKB
장애등급제	장애등급/NNG+제/XSN
폐지	폐지/NNG
및	및/MAG
수요에	수요/NNG+에/JKB
맞는	맞/VV+는/ETM
개별화된	개별/NNG+화/XSN+되/XSV+ㄴ/ETM
서비스	서비스/NNG
지원체계	지원체계/NNG
구축	구축/NNG
대통령직속	대통령직속/NNG
‘국가장애인위원회’	‘/SN+국가장애인위원회/NNG+’/SL
설치	설치/NNG
장애인연금액	장애인연금액/NNG
상향	상향/NNG
및	및/MAG
대상	대상/NNG
확대를	확대/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
장애인	장애인/NNG
소득보장이	소득보장/NNG+이/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EC

또한	또한/MAG
장애인	장애인/NNG
탈시설	탈시설/NNG
및	및/MAG
지역사회	지역사회/NNG
자립중심의	자립중심/NNG+의/JKG
정책	정책/NNG
패러다임	패러다임/NNG
전환	전환/NNG
장애인	장애인/NNG
일자리	일자리/NNG
5만개	5/SN+만/NR+개/NNB
확충	확충/NNG
지방이양된	지방/NNG+이양되/VV+ㄴ/ETM
장애인복지사업	장애인복지사업/NNG
국고환원을	국고환원/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
복지서비스	복지서비스/NNG
활성화	활성화/NNG
장애인활동지원	장애인활동지원/NNG
24시간	24/SN+시간/NNB
보장이	보장/NNG+이/JKS
포함돼	포함되/VV+어/EC
있다	있/VX+다/EF

이외에도	이외/NNG+에/JKB+도/JX
민주당은	민주당/NNP+은/JX
장애인의	장애인/NNG+의/JKG
만성질환과	만성질환/NNG+과/JC
2차	2/SN+차/NNB
장애예방을	장애예방/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
건강권	건강/NNG+권/XSN
보장	보장/NNG
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
각종	각종/NNG
교통수단	교통수단/NNG
확보	확보/NNG
장애	장애/NNG
특성에	특성/NNG+에/JKB
맞는	맞/VV+는/ETM
정책·지원체계마련	정책/NNG+·/SP+지원체계마련/NNG
장애인	장애인/NNG
교육권	교육권/NNG
보장	보장/NNG
장애인이	장애인/NNG+이/JKS
정보격차	정보격차/NNG
해소	해소/NNG
및	및/MAG
시·청각장애인	시/NNG+·/SP+청각장애인/NNG
방송접근권	방송접근/NNG+권/XSN
확보를	확보/NNG+를/JKO
약속했다	약속하/VV+었/EP+다/EC

한편	한편/MAG
민주당	민주당/NNP
장애인위원회	장애인위원회/NNG
공동위원장은	공동위원장/NNG+은/JX
현	현/MM
민주당	민주당/NNP
최동익	최동익/NNP
국회의원과	국회의원/NNG+과/JC
박은수	박은수/NNP
전	전/MM
국회의원,	국회의원/NNG+,/SP
수석부위원장은	수석부위원장/NNG+은/JX
서울시	서울시/NNP
이상호	이상호/NNP
의원이	의원/NNG+이/JKS
맡았다	맡/VV+았/EP+다/EC
