‘장애인고용촉진법’	‘/SL+장애인고용촉진법/NNG+’/SN
개정안	개정안/NNG
본회의	본회/NNG+의/JKG
통과	통과/NNG

'장애인고용촉진	'/SS+장애인고용촉진/NNG
및	및/MAG
직업재활법	직업재활법/NNG
일부개정법률안’이	일부개정법률안/NNG+’/SL+이/JKS
22일	22/SN+일/NNB
국회	국회/NNG
본회의를	본회의/NNG+를/JKO
통과했다	통과하/VV+였/EP+다/EC

통과된	통과되/VV+ㄴ/ETM
법률안	법률안/NNG
내용은	내용/NNG+은/JX
장애인	장애인/NNG
표준사업장의	표준사업장/NNG+의/JKG
경영안정화를	경영안정화/NNG+를/JKO
도모하기	도모하/VV+기/ETN
위해	위하/VV+여/EC
공공기관의	공공기관/NNG+의/JKG
장애인	장애인/NNG
표준사업장	표준사업장/NNG
생산품	생산품/NNG
우선구매	우선구매/NNG
의무화,	의무화/NNG+,/SP
수의계약을	수의계약/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
구매계약	구/XPN+매계약/NNG
허용,	허용/NNG+,/SP
장애인	장애인/NNG
표준사업장의	표준사업장/NNG+의/JKG
체계적	체계적/NNG
운영과	운영/NNG+과/JC
관리를	관리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
인증	인증/NNG
및	및/MAG
인증취소	인증취소/NNG
제도	제도/NNG
도입,	도입/NNG+,/SP
부당	부당/NNG
융자	융자/NNG
또는	또는/MAG
지원금	지원금/NNG
등의	등/NNB+의/JKG
징수	징수/NNG
및	및/MAG
지급제한	지급제한/NNG
관련	관련/NNG
규정	규정/NNG
등이	등/NNB+이/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EC

또한	또한/MAG
기타공공기관과	기타공공기관/NNG+과/JC
지방공사·공단·출자·출연법인(이하	지방공사/NNG+·/SP+공단/NNG+·/SP+출자/NNG+·/SP+출연법인/NNG+(/SS+이하/NNG
기타공공기관	기타공공기관/NNG
등)의	등/NNB+)/SS+의/JKG
장애인	장애인/NNG
의무고용률을	의무고용률/NNG+을/JKO
3%로	3/SN+%/SW+로/JKB
상향조정,	상향조정/NNG+,/SP
장애인고용부담금	장애인고용부담금/NNG
등	등/NNB
국세	국세/NNG
및	및/MAG
지방세를	지방세/NNG+를/JKO
제외한	제외하/VV+ㄴ/ETM
다른	다른/MM
채권보다	채권/NNG+보다/JKB
우선	우선/MAG
징수	징수/NNG
등도	등/NNB+도/JX
함께	함께/MAG
담겨있다	담기/VV+어/EC+있/VX+다/EC
