농아협	농아협/NNP
변승일	변승일/NNG
회장,	회장/NNG+,/SP
박근혜	박근혜/NNP
후보	후보/NNG
지지	지지/NNG
호소	호소/NNG

한국농아인협회	한국농아인협회/NNP
변승일	변승일/NNP
회장이	회장/NNG+이/JKS
오는	오/VV+는/ETM
19일	19/SN+일/NNB
치러지는	치르/VV+어/EC+지/VX+는/ETM
대통령	대통령/NNG
선거에서	선거/NNG+에서/JKB
유권자들이	유권자/NNG+들/XSN+이/JKS
기호	기호/NNG
1번	1/SN+번/NNB
새누리당	새누리당/NNP
박근혜	박근혜/NNP
후보를	후보/NNG+를/JKO
지지해줄	지지하/VV+여/EC+주/VX+ㄹ/EC
것을	것/NNB+을/JKO
호소하고	호소하/VV+고/EC
나섰다	나서/VV+었/EP+다/EF

변승일	변승일/NNG
회장은	회장/NNG+은/JX
3일	3/SN+일/NNB
오후	오후/NNG
8시	8/SN+시/NNB
KBS-TV에	KBS/SL+-/SO+TV/SL+에/JKB
박	박/NNP
후보의	후보/NNG+의/JKG
두	두/MM
번째	번째/NNB
TV	TV/SL
찬조연설자로	찬조연설자/NNG+로/JKB
나서	나서/VV+어/EC
“새누리당	“/SN+새누리당/NNP
박근혜	박근혜/NNP
후보가	후보/NNG+가/JKS
농아인들의	농아인/NNG+들/XSN+의/JKG
삶을	삶/NNG+을/JKO
축복으로	축복/NNG+으로/JKB
여기며	여기/VV+며/EC
살아가는	살아가/VV+는/ETM
나라로	나라/NNG+로/JKB
만들	만들/VV+ㄹ/ETM
것이라	것/NNB+이/VCP+라/EC
믿든다”고	믿/VV+든다/EC+”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

박	박/NNP
후보는	후보/NNG+는/JX
어린이날	어린이날/NNP
아이를	아이/NNG+를/JKO
잃은	잃/VV+은/ETM
부모를	부모/NNG+를/JKO
만나	만나/VV+아/EC
실종아동을	실종아동/NNG+을/JKO
찾는	찾/VV+는/ETM
시스템을	시스템/NNG+을/JKO
만들겠다고	만들/VV+겠/EP+다고/EC
약속한	약속하/VV+ㄴ/ETM
후	후/NNG
‘실종아동법을	‘/SN+실종아동법/NNG+을/JKO
제정’하는	제정’하/VV+는/ETM
등	등/NNB
한번	한/MM+번/NNB
약속한	약속하/VV+ㄴ/ETM
것은	것/NNB+은/JX
반드시	반드시/MAG
지킨다는	지키/VV+ㄴ다는/ETM
것	것/NNB

앞서	앞서/MAG
새누리당은	새누리당/NNP+은/JX
2012대선장애인연대의	2012/SN+대선장애인연대/NNG+의/JKG
장애계	장애/NNG+계/XSN
12대	12/SN+대/NNB
요구	요구/NNG
공약을	공약/NNG+을/JKO
대부분	대부분/NNG
수용,	수용/NNG+,/SP
‘한국수화언어기본법’	‘/SL+한국/NNP+수화언어기본법/NNG+’/SL
제정과	제정/NNG+과/JC
농교육	농교육/NNG
환경	환경/NNG
개선에	개선/NNG+에/JKB
노력하기로	노력하/VV+기/ETN+로/JKB
했다또한	하/VV+였/EP+다/EC+또/MAG+하/VV+ㄴ/ETM
장애인권리보장법	장애인권리보장법/NNG
제정·장애등급제	제정/NNG+·/SP+장애등급/NNG+제/XSN
폐지	폐지/NNG
추진,	추진/NNG+,/SP
중증장애인	중증장애인/NNG
활동지원	활동지원/NNG
하루	하루/NNG
24시간	24/SN+시간/NNB
보장,	보장/NNG+,/SP
장애인	장애인/NNG
고용의무	고용의무/NNG
활성화,	활성화/NNG+,/SP
저상버스	저상버스/NNG
및	및/MAG
특별교통수단	특별교통수단/NNG
법정	법정/NNG
수준	수준/NNG
확충을	확충/NNG+을/JKO
추진하기로	추진하/VV+기/ETN+로/JKB
공약했다	공약하/VV+였/EP+다/EC

변승일	변승일/NNP
회장은	회장/NNG+은/JX
“농아인들이	“/SL+농아/NNG+인들/XSN+이/JKS
겪는	겪/VV+는/ETM
소통의	소통/NNG+의/JKG
장애는	장애/NNG+는/JX
가족	가족/NNG
안에서	안/NNG+에서/JKB
뿐만이	뿐/NNB+만/JX+이/JKC
아니다	아니/VCN+다/EC

어는	얼/VV+는/ETM
곳에	곳/NNG+에/JKB
가든	가/VV+든/EC
누구를	누구/NP+를/JKO
만나든	만나/VV+든/EC
소통의	소통/NNG+의/JKG
장벽이	장벽/NNG+이/JKS
가로막고	가로막/VV+고/EC
있다	있/VX+다/EC

그	그/MM
장벽을	장벽/NNG+을/JKO
새누리당이	새누리당/NNP+이/JKS
무너트리려	무너트리/VV+려/EC
하고	하/VX+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
변승일	변승일/NNG
회장은	회장/NNG+은/JX
“다수의	“/SN+다수/NNG+의/JKG
정당들이	정당/NNG+들/XSN+이/JKS
선거	선거/NNG
때가	때/NNG+가/JKC
되면	되/VV+면/EC
장애인	장애인/NNG
정책을	정책/NNG+을/JKO
공약으로	공약/NNG+으로/JKB
내세우면서도	내세우/VV+면서/EC+도/JX
지켜지지	지키/VV+어/EC+지/VX+지/EC
않고	않/VX+고/EC
있다	있/VX+다/EC

신뢰가	신뢰/NNG+가/JKS
안가는	안/MAG+가/VV+는/ETM
정당은	정당/NNG+은/JX
국민에	국민/NNG+에/JKB
외면당한다	외면/NNG+당하/XSV+ㄴ다/EF

박	박/NNP
후보는	후보/NNG+는/JX
작은	작/VA+은/ETM
약속이라도	약속/NNG+이라도/JX
반드시	반드시/MAG
지키는	지키/VV+는/ETM
후보”라고	후보”/NNG+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

한편	한편/MAG
변승일	변승일/NNP
회장은	회장/NNG+은/JX
이날	이날/NNG
자신은	자신/NNG+은/JX
물론,	물론/MAG+,/SP
동생과	동생/NNG+과/JC
부인,	부인/NNG+,/SP
첫째	첫째/NR
아들과	아들/NNG+과/JC
딸도	딸/NNG+도/JX
농아인	농아/NNG+인/XSN
이라고	이라고/JKQ
밝히며	밝히/VV+며/EC
자신이	자신/NNG+이/JKS
농아인으로서	농아/NNG+인/XSN+으로서/JKB
살면서	살/VV+면서/EC
