'제18대	'/SS+제/XPN+18/SN+대/NNG
대선	대선/NNG
후보	후보/NNG
토론회'	토론회/NNG+'/SS
4일	4/SN+일/NNB
열려	열리/VV+어/EC

중앙선거방송토론위원회(위원장	중앙선거방송토론위원회/NNG+(/SS+위원장/NNG
유일상)는	유일상/NNP+)/SS+는/JX
오는	오/VV+는/ETM
4일	4/SN+일/NNB
오후	오후/NNG
8시부터	8/SN+시/NNB+부터/JX
MBC	MBC/SL
스튜디오에서	스튜디오/NNG+에서/JKB
제18대	제/XPN+18/SN+대/NNG
대통령선거의	대통령선거/NNG+의/JKG
첫	첫/MM
번째	번째/NNB
후보자	후보자/NNG
토론회가	토론회/NNG+가/JKS
개최된다	개최되/VV+ㄴ다/EF

이번	이번/NNG
토론회에는	토론회/NNG+에/JKB+는/JX
새누리당	새누리당/NNP
박근혜,	박근혜/NNP+,/SP
민주통합당	민주통합당/NNP
문재인,	문재인/NNG+,/SP
통합진보당	통합진보/NNG+당/XSN
이정희	이정희/NNP
후보자가	후보자/NNG+가/JKS
참석해	참석하/VV+여/EC
대국민질문	대/XPN+국민질문/NNG
공모를	공모/NNG+를/JKO
통해	통하/VV+여/EC
선정된	선정되/VV+ㄴ/ETM
‘정치쇄신	‘/SL+정치쇄신/NNG
방안’과	방안’/NNG+과/JC
‘권력형	‘/SN+권력/NNG+형/XSN
비리	비리/NNG
근절	근절/NNG
방안’,	방안/NNG+’/SL+,/SP
‘대북정책	‘/SN+대북정책/NNG
방향’,	방향/NNG+’/SL+,/SP
‘한반도	‘/SL+한반도/NNP
주변국과의	주변/NNG+국/XSN+과/JKB+의/JKG
외교정책	외교정책/NNG
방향’을	방향/NNG+’/SL+을/JKO
주제로	주제/NNG+로/JKB
열띤	열띠/VA+ㄴ/ETM
토론을	토론/NNG+을/JKO
벌일	벌이/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

특히	특히/MAG
지난	지나/VV+ㄴ/ETM
17대	17/SN+대/NNG
대선	대선/NNG
토론회의	토론회/NNG+의/JKG
경직된	경직되/VV+ㄴ/ETM
진행방식에	진행방식/NNG+에/JKB
벗어나,	벗어나/VV+아/EC+,/SP
1:1로	1/SN+:/SP+1/SN+로/JKB
3분씩	3/SN+분/NNB+씩/XSN
6분간	6/SN+분/NNB+간/XSN
반론과	반론/NNG+과/JC
재반론을	재/XPN+반론/NNG+을/JKO
자유롭게	자유롭/VA+게/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘국민공모	‘/SL+국민공모/NNG
질문	질문/NNG
후	후/NNG
자유토론’	자유토론/NNG+’/SL
방식으로	방식/NNG+으로/JKB
진행된다	진행되/VV+ㄴ다/EC

다음날인	다음날/NNG+이/VCP+ㄴ/ETM
5일	5/SN+일/NNB
오후	오후/NNG
11시부터는	11/SN+시/NNB+부터는/JX
무소속	무소속/NNG
박종선,	박종선/NNP+,/SP
무소속	무소속/NNG
김소연,	김소연/NNP+,/SP
무소속	무소속/NNG
김순자	김순자/NNP
후보자(기호순)가	후보자/NNG+(/SS+기호순/NNP+)/SS+가/JKS
참석하는	참석하/VV+는/ETM
후보자	후보자/NNG
토론회도	토론회/NNG+도/JX
열린다	열리/VV+ㄴ다/EF

후보자	후보자/NNG
토론회는	토론회/NNG+는/JX
KBS와	KBS/SL+와/JC
MBC,	MBC/SL+,/SP
SBS과	SBS/SL+과/JC
라디오를	라디오/NNG+를/JKO
통해	통하/VV+여/EC
동시에	동시/NNG+에/JKB
생중계되며,	생중계되/VV+며/EC+,/SP
재외국민을	재외국민/NNG+을/JKO
위해	위하/VV+여/EC
KBS	KBS/SL
월드를	월드/NNG+를/JKO
통해	통하/VV+여/EC
73개국에	73/SN+개국/NNB+에/JKB
동시	동시/NNG
중계될	중계되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
