통합진보당,	통합진보당/NNP+,/SP
대선	대선/NNG
장애인	장애인/NNG
공약(안)	공약/NNG+(/SS+안/NNG+)/SS
발표	발표/NNG

제18대	제/XPN+18/SN+대/NNG
대선이	대선/NNG+이/JKS
40여일	40/SN+여/XSN+일/NNB
앞으로	앞/NNG+으로/JKB
다가온	다가오/VV+ㄴ/ETM
가운데	가운데/NNG
통합진보당	통합진보/NNG+당/XSN
장애인위원회가	장애인위원회/NNG+가/JKS
5일	5/SN+일/NNB
오후	오후/NNG
진보정책연구원에서	진보정책연구원/NNG+에서/JKB
1차	1/SN+차/NNB
장애인	장애인/NNG
대선공약을	대선공약/NNG+을/JKO
발표하고,	발표하/VV+고/EC+,/SP
장애	장애/NNG
단체의	단체/NNG+의/JKG
의견을	의견/NNG+을/JKO
수렴했다	수렴하/VV+였/EP+다/EF

이날	이날/NNG
진보정책연구원	진보정책연구원/NNG
김애화	김애화/NNP
연구위원은	연구위원/NNG+은/JX
‘장애인과	‘/SN+장애인/NNG+과/JKB
함께	함께/MAG
하는	하/VV+는/ETM
지역사회	지역사회/NNG
실현’이라는	실현’/NNG+이/VCP+라는/ETM
슬로건	슬로건/NNG
아래	아래/NNG
통합진보당의	통합진보당/NNP+의/JKG
대선	대선/NNG
장애인정책	장애인정책/NNG
9개	9/SN+개/NNB
공약을	공약/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

이	이/MM
공약에는	공약/NNG+에/JKB+는/JX
자립생활	자립생활/NNG
보장	보장/NNG
장애등급제	장애등급/NNG+제/XSN
폐지	폐지/NNG
의무고용	의무고용/NNG
확대와	확대/NNG+와/JC
의무고용	의무고용/NNG
할증제	할증제/NNG
도입	도입/NNG
최저임금	최저임금/NNG
보장	보장/NNG
및	및/MAG
산재장애인	산재장애인/NNG
지원	지원/NNG
강화	강화/NNG
건강권,	건강/NNG+권/XSN+,/SP
성적	성적/NNG
자기결정권,	자기결정권/NNG+,/SP
교육권,	교육권/NNG+,/SP
정보	정보/NNG
접근권	접근권/NNG
및	및/MAG
문화권	문화권/NNG
강화	강화/NNG
취약한	취약하/VA+ㄴ/ETM
장애유형에	장애유형/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기본적	기본적/NNG
권리와	권리/NNG+와/JC
지원	지원/NNG
보장(발달장애인,	보장/NNG+(/SS+발달장애인/NNG+,/SP
여성장애인,	여성장애인/NNG
정신장애인)	정신장애인/NNG+)/SS
대통령산하	대통령산하/NNG
장애인위원회	장애인위원회/NNG
상설화	상설/NNG+화/XSN
장애인지	장애/NNG+이/VCP+ㄴ지/EC
예산	예산/NNG
도입	도입/NNG
및	및/MAG
유엔장애인권리협약의	유엔/NNP+장애인권리협약/NNG+의/JKG
유부조항	유부조항/NNG
및	및/MAG
선택의정서	선택의정/NNG+서/JKB
비준	비준/NNG
정치	정치/NNG
참여	참여/NNG
확대가	확대/NNG+가/JKS
포함됐다	포함되/VV+었/EP+다/EF

■탈시설-자립생활	■/SW+탈시설/NNG+-/SO+자립생활/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
제도정비=통합진보당은	제도정비/NNG+=/SW+통합진보당/NNG+은/JX
‘시설로부터	‘/SL+시설/NNG+로부터/JKB
지역사회로’를	지역사회/NNG+로/JKB+’/SL+를/JKO
지향하며,	지향하/VV+며/EC+,/SP
장애인의	장애인/NNG+의/JKG
자립생활	자립생활/NNG
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
주거권,	주거/NNG+권/XSN+,/SP
이동권을	이동/NNG+권/XSN+을/JKO
보장을	보장/NNG+을/JKO
목표로	목표/NNG+로/JKB
공약을	공약/NNG+을/JKO
마련했다	마련하/VV+였/EP+다/EC

또한	또한/MAG
자립생활	자립생활/NNG
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
‘자립생활보장법’을	‘/SL+자립생활보장법’/NNG+을/JKO
제정하고,	제정하/VV+고/EC+,/SP
자립생활을	자립생활/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
계획을	계획/NNG+을/JKO
수립할	수립하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

이를	이/NP+를/JKO
위해	위하/VV+여/EC
먼저	먼저/MAG
신규시설	신규시설/NNG
설립을	설립/NNG+을/JKO
금지시키고,	금지/NNG+시키/XSV+고/EC+,/SP
시설폐쇄	시설폐쇄/NNG
5개년	5/SN+개년/NNB
계획	계획/NNG
수립,	수립/NNG+,/SP
탈시설	탈시설/NNG
전환국을	전환국/NNG+을/JKO
설치한다	설치하/VV+ㄴ다/EC

장애인	장애인/NNG
주거권	주거/NNG+권/XSN
보장을	보장/NNG+을/JKO
위해서	위하/VV+여서/EC
장애인가구	장애인가구/NNG
주택	주택/NNG
우선	우선/NNG
공급으로	공급/NNG+으로/JKB
장애인	장애인/NNG
주거	주거/NNG
문제	문제/NNG
해소,	해소/NNG+,/SP
자가주택에	자가주택/NNG+에/JKB
편의시설	편의시설/NNG
설치	설치/NNG
시	시/NNG
무상으로	무상/NNG+으로/JKB
지원하겠다는	지원하/VV+겠/EP+다는/ETM
내용도	내용/NNG+도/JX
담았다	담/VV+았/EP+다/EC

더불어	더불/VV+어/EC
이동권	이동/NNG+권/XSN
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
단기적으로	단기적/NNG+으로/JKB
2016년까지	2016/SN+년/NNB+까지/JX
전국	전국/NNG
50%	50/SN+%/SW
이상을	이상/NNG+을/JKO
저상버스를	저상버스/NNG+를/JKO
도입,	도입/NNG+,/SP
장기적으로는	장기적/NNG+으로/JKB+는/JX
전국	전국/NNG
버스의	버스/NNG+의/JKG
100%를	100/SN+%/SW+를/JKO
저상버스	저상버스/NNG
도입,	도입/NNG+,/SP
‘교통약자이동편의증진법’	‘/SN+교통약자이동편의증진법/NNG+’/SN
시행규칙	시행규칙/NNG
개정도	개정/NNG+도/JX
하겠다는	하/VV+겠/EP+다는/ETM
입장이다	입장/NNG+이/VCP+다/EC

■장애등급제	■/SW+장애등급/NNG+제/XSN
폐지=현재	폐지/NNG+=/SW+현재/MAG
중장기적으로	중장기적/NNG+으로/JKB
1급	1/SN+급/NNG
장애인으로만	장애인/NNG+으로/JKB+만/JX
제한하고	제한하/VV+고/EC
있는	있/VX+는/ETM
활동보조	활동보조/NNG
대상	대상/NNG
제한을	제한/NNG+을/JKO
폐지하고,	폐지하/VV+고/EC+,/SP
신청자격을	신청자격/NNG+을/JKO
확대해	확대하/VV+여/EC
필요도가	필요도/NNG+가/JKS
인정되는	인정되/VV+는/ETM
장애인에게	장애인/NNG+에게/JKB
서비스	서비스/NNG
제공하려는	제공하/VV+려는/ETM
의미가	의미/NNG+가/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EF

이를	이/NP+를/JKO
위해	위하/VV+여/EC
장애인활동지원법을	장애인활동지원법/NNG+을/JKO
개정하고,	개정하/VV+고/EC+,/SP
장애등급에	장애등급/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
서비스	서비스/NNG
자격제한을	자격제한/NNG+을/JKO
폐지할	폐지하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

■실질적	■/SW+실질/NNG+적/XSN
소득보장=특히	소득보장/NNG+=/SW+특히/MAG
장애인	장애인/NNG
관련	관련/NNG
서비스	서비스/NNG
자격기준	자격기준/NNG
적용	적용/NNG
시	시/NNG
부양의무자	부양의무자/NNG
기준을	기준/NNG+을/JKO
폐지하고,	폐지하/VV+고/EC+,/SP
상대적	상대적/NNG
빈곤선을	빈곤선/NNG+을/JKO
도입한다	도입하/VV+ㄴ다/EF

장애인	장애인/NNG
연금을	연금/NNG+을/JKO
실질적으로	실질적/NNG+으로/JKB
보장하기	보장하/VV+기/ETN
위해	위하/VV+여/EC
소득하위	소득하위/NNG
80%	80/SN+%/SW
이상으로	이상/NNG+으로/JKB
대상을	대상/NNG+을/JKO
확대하고	확대하/VV+고/EC
연금기준을	연금기준/NNG+을/JKO
최저임금의	최저임금/NNG+의/JKG
1/3	1/SN+//SP+3/SN
수준까지	수준/NNG+까지/JX
인상할	인상하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

장애인연금의	장애인연금/NNG+의/JKG
지급대상	지급대상/NNG
결정을	결정/NNG+을/JKO
장애등급이	장애등급/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
소득능력이나	소득능력/NNG+이나/JC
노동능력	노동능력/NNG
등을	등/NNB+을/JKO
고려해	고려하/VV+여/EC
대상자를	대상자/NNG+를/JKO
선정할	선정하/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

■의무고용	■/SW+의무고용/NNG
확대와	확대/NNG+와/JC
의무고용	의무고용/NNG
할증제	할증제/NNG
도입=현재	도입/NNG+=/SW+현재/MAG
지켜지지	지키/VV+어/EC+지/VX+지/EC
않고	않/VX+고/EC
있는	있/VX+는/ETM
장애인	장애인/NNG
의무고용률	의무고용/NNG+률/XSN
상향준수를	상향준수/NNG+를/JKO
위해	위하/VV+여/EC
공공부문에서	공공부문/NNG+에서/JKB
3%에서	3/SN+%/SW+에서/JKB
5%로	5/SN+%/SW+로/JKB
장애인	장애인/NNG
의무고용율을	의무고용/NNG+율/XSN+을/JKO
상향조정	상향조정/NNG
한다	하/VV+ㄴ다/EF

노동부	노동부/NNG
산하	산하/NNG
고용지원센터	고용지원센터/NNG
내	내/NNB
장애인전담팀	장애인전담팀/NNG
신설	신설/NNG
등	등/NNB
고용전달체계를	고용전달체계/NNG+를/JKO
개편할	개편하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

중증장애인	중증장애인/NNG
및	및/MAG
여성장애인	여성장애인/NNG
고용활성화를	고용활성화/NNG+를/JKO
위해	위하/VV+여/EC
고용했을	고용하/VV+였/EP+을/ETM
때	때/NNG
'더블	'/SS+더블/NNG
카운트제도'를	카운트제도/NNG+'/SS+를/JKO
도입한다	도입하/VV+ㄴ다/EF

경증	경증/NNG
장애남성을	장애남성/NNG+을/JKO
1명으로	1/SN+명/NNB+으로/JKB
했을	하/VV+였/EP+을/ETM
때	때/NNG
중증장애	중증장애/NNG
남성	남성/NNG
및	및/MAG
장애여성은	장애여성/NNG+은/JX
1	1/SN

25명,	25/SN+명/NNB+,/SP
중증	중증/NNG
장애여성은	장애여성/NNG+은/JX
1	1/SN

5명을	5/SN+명/NNB+을/JKO
도입한	도입하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
인정하는	인정하/VV+는/ETM
것이다	것/NNB+이/VCP+다/EC

더불어	더불/VV+어/EC
50인	50/SN+이/VCP+ㄴ/ETM
이상	이상/NNG
