'장애아동재활치료'사업	'/SS+장애아동재활치료/NNG+'/SS+사업/NNG
근로자	근로자/NNG
처우	처우/NNG
'열악'	'/SS+열악/NNG+'/SS

장애아동재활치료사업의	장애아동재활치료사업/NNG+의/JKG
근로자들이	근로자/NNG+들/XSN+이/JKS
4년간	4/SN+년/NNB+간/XSN
임금동결이	임금동결/NNG+이/JKC
되거나	되/VV+거나/EC
야간·휴일	야간/NNG+·/SP+휴일/NNG
가산	가산/NNG
수당조차	수당/NNG+조차/JX
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
등	등/NNB
처우가	처우/NNG+가/JKS
매우	매우/MAG
열악한	열악하/VA+ㄴ/ETM
상황인	상황/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
파악됐다	파악되/VV+었/EP+다/EF

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
민현주(새누리당)	민현주/NNP+(/SS+새누리당/NNP+)/SS
의원은	의원/NNG+은/JX
8일	8/SN+일/NNB
국정감사에서	국정감사/NNG+에서/JKB
보건복지부	보건복지부/NNG
'사회서비스	'/SS+사회서비스/NNG
일자리	일자리/NNG
사업'	사업/NNG+'/SS
종사자들의	종사자/NNG+들/XSN+의/JKG
처우	처우/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+여/EC
지적했다	지적하/VV+였/EP+다/EF

현재	현재/MAG
보건복지부	보건복지부/NNG
사회서비스	사회서비스/NNG
일자리	일자리/NNG
사업(바우처사업)은	사업/NNG+(/SS+바우처/NNP+사업/NNG+)/SS+은/JX
노인돌봄,	노인돌봄/NNG+,/SP
가사·간병	가사/NNG+·/SP+간병/NNG
도우미,	도우미/NNG+,/SP
장애인활동지원,	장애인활동지원/NNG+,/SP
장애아동재활치료	장애아동재활치료/NNG
등	등/NNB
총	총/MM
6개	6/SN+개/NNB
사업이며,	사업/NNG+이/VCP+며/EC+,/SP
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
기준	기준/NNG
6만	6/SN+만/NR
5,385명의	5,385/SN+명/NNB+의/JKG
근로자들이	근로자/NNG+들/XSN+이/JKS
