'공천관련	'/SS+공천관련/NNG
금품수수'	금품수수/NNG+'/SS
장향숙	장향숙/NNP
前의원	前/SL+의원/NNG
불구속	불구속/NNG
기소	기소/NNG

(부산=연합뉴스)	(/SS+부산/NNP+=/SW+연합뉴스/NNP+)/SS
민영규	민영규/NNP
기자	기자/NNG
=	=/SW
부산지검	부산/NNP+지검/NNG
공안부(이태승	공안부/NNG+(/SS+이태승/NNP
부장검사)는	부장검사/NNG+)/SS+는/JX
8일	8/SN+일/NNB
오후	오후/NNG
민주통합당	민주통합당/NNP
비례대표	비례대표/NNG
공천	공천/NNG
청탁대가로	청탁대가/NNG+로/JKB
금품을	금품/NNG+을/JKO
받은	받/VV+은/ETM
혐의(공직선거법	혐의/NNG+(/SS+공직선거법/NNG
위반)로	위반/NNG+)/SS+로/JKB
장향숙	장향숙/NNP
전	전/MM
의원을	의원/NNG+을/JKO
불구속	불구속/NNG
기소할	기소하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

장	장/NNP
전	전/MM
의원은	의원/NNG+은/JX
권모(59)	권/NNP+모/NP+(/SS+59/SN+)/SS
전	전/MM
한국시각장애인연합회장으로부터	한국/NNP+시각장애인연합회장/NNG+으로부터/JKB
민주당	민주당/NNP
비례대표로	비례대표/NNG+로/JKB
추천해달라는	추천하/VV+여/EC+달/VX+라는/ETM
부탁과	부탁/NNG+과/JKB
함께	함께/MAG
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
부산의	부산/NNP+의/JKG
한	한/MM
호텔에서	호텔/NNG+에서/JKB
300만원,	300/SN+만/NR+원/NNB+,/SP
2월	2/SN+월/NNB
자신의	자신/NNG+의/JKG
부산	부산/NNP
금정구	금정구/NNP
4·11	4/SN+·/SP+11/SN
총선	총선/NNG
예비후보자	예비후보자/NNG
선거사무소에서	선거사무소/NNG+에서/JKB
3천만원을	3/SN+천만/NR+원/NNB+을/JKO
각각	각각/MAG
받은	받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

검찰은	검찰/NNG+은/JX
이에	이/NP+에/JKB
따라	따르/VV+아/EC
권씨도	권/NNP+씨/NNB+도/JX
선거법	선거법/NNG
위반혐의로	위반혐의/NNG+로/JKB
불구속	불구속/NNG
기소할	기소하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

장	장/NNP
전	전/MM
의원에게	의원/NNG+에게/JKB
공천로비	공천로비/NNG
대가로	대가/NNG+로/JKB
금품을	금품/NNG+을/JKO
제공한	제공하/VV+ㄴ/ETM
의혹을	의혹/NNG+을/JKO
받은	받/VV+은/ETM
민주당	민주당/NNP
최동익(비례대표)	최/XPN+동익/NNG+(/SS+비례대표/NNG+)/SS
의원에	의원/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
무혐의	무혐의/NNG
처분할	처분하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

최	최/NNP
의원은	의원/NNG+은/JX
자신의	자신/NNG+의/JKG
후원회장인	후원회장/NNG+이/VCP+ㄴ/ETM
강모(57·여)	강/NNP+모/NP+(/SS+57/SN+·/SP+여/NNG+)/SS
전	전/MM
한국시각장애인연합회	한국/NNP+시각장애인연합/NNG+회/XSN
간부와	간부/NNG+와/JKB
함께	함께/MAG
장	장/NNP
전	전/MM
의원에게	의원/NNG+에게/JKB
민주당	민주당/NNP
비례대표	비례대표/NNG
후보로	후보/NNG+로/JKB
공천받을	공천/NNG+받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와달라는	돕/VV+아/EC+달/VX+라는/ETM
부탁과	부탁/NNG+과/JKB
함께	함께/MAG
지난	지나/VV+ㄴ/ETM
3~4월	3/SN+~/SO+4/SN+월/NNB
3차례에	3/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
7천만원을	7/SN+천만/NR+원/NNB+을/JKO
전달한	전달하/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받았다	받/VV+았/EP+다/EC

검찰은	검찰/NNG+은/JX
강씨가	강/NNP+씨/NNB+가/JKS
장	장/NNP
전	전/MM
의원에게	의원/NNG+에게/JKB
7천만원을	7/SN+천만/NR+원/NNB+을/JKO
전달한	전달하/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
확인했지만	확인하/VV+였/EP+지만/EC
두	두/MM
사람이	사람/NNG+이/JKS
개인적인	개인적/NNG+이/VCP+ㄴ/ETM
금전거래라고	금전거래/NNG+이/VCP+라고/EC
주장하면서	주장하/VV+면서/EC
차용증을	차용증/NNG+을/JKO
제시한데다	제시하/VV+ㄴ데/EC+다/JX
이	이/MM
돈이	돈/NNG+이/JKS
최	최/NNP
의원	의원/NNG
공천과	공천/NNG+과/JKB
관련됐다는	관련되/VV+었/EP+다는/ETM
증거를	증거/NNG+를/JKO
찾지	찾/VV+지/EC
못한	못하/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다	전하/VV+여/EC+지/VX+었/EP+다/EF

