찜통더위	찜통더위/NNG
속	속/NNG
폭염환자	폭염환자/NNG
5년간	5/SN+년/NNB+간/XSN
57%증가	57/SN+%/SW+증가/NNG

지구온난화	지구온난화/NNG
등	등/NNB
이상기온	이상기온/NNG
현상으로	현상/NNG+으로/JKB
연일	연일/NNG
무더위가	무더위/NNG+가/JKS
계속되는	계속되/VV+는/ETM
가운데	가운데/NNG
노인	노인/NNG
등	등/NNB
사회취약계층을	사회취약계층/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
맞춤별	맞춤/NNG+별/XSN
폭염예방	폭염예방/NNG
대책이	대책/NNG+이/JKS
시급히	시급히/MAG
마련되야	마련되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
제기됐다	제기되/VV+었/EP+다/EF

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
소속	소속/NNG
김정록	김정록/NNP
의원(새누리당)은	의원/NNG+(/SS+새누리당/NNP+)/SS+은/JX
건강보험심사평가원에서	건강보험심사평가/NNG+원/XSN+에서/JKB
제출받은	제출/NNG+받/VV+은/ETM
‘폭염진료환자	‘/SL+폭염진료환자/NNG
현황’자료를	현황/NNG+’/SL+자료/NNG+를/JKO
살펴본	살펴보/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
우리나라	우리나라/NNG
폭염환자가	폭염환자/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
8191명에서	8191/SN+명/NNB+에서/JKB
2009년	2009/SN+년/NNB
1만1306명,	1/SN+만/NR+1306/SN+명/NNB+,/SP
2011년	2011/SN+년/NNB
1만3868명으로	1/SN+만/NR+3868/SN+명/NNB+으로/JKB
최근	최근/NNG
5년간	5/SN+년/NNB+간/XSN
57%증가한	57/SN+%증가한/SW
것으로	것/NNB+으로/JKB
나타났다고	나타나/VV+았/EP+다고/EC
25일	25/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

지난해	지난해/NNG
폭염환자	폭염환자/NNG
중	중/NNB
성별로	성별/NNG+로/JKB
보면	보/VV+면/EC
총	총/MM
1만2856명	1/SN+만/NR+2856/SN+명/NNB
중	중/NNB
여성이	여성/NNG+이/JKS
7014명(54%)로	7014/SN+명/NNB+(/SS+54/SN+%/SW+)/SS+로/JKB
남성	남성/NNG
진료환자보다	진료환자/NNG+보다/JKB
많았다	많/VA+았/EP+다/EC

특히	특히/MAG
연령별로	연령/NNG+별/XSN+로/JKB
보면	보/VV+면/EC
전체적으로	전체적/NNG+으로/JKB
70세	70/SN+세/NNB
이상	이상/NNG
노인이	노인/NNG+이/JKS
2057명(16%)로	2057/SN+명/NNB+(/SS+16/SN+%/SW+)/SS+로/JKB
가장	가장/MAG
많았으며,	많/VA+았/EP+으며/EC+,/SP
남성의	남성/NNG+의/JKG
경우	경우/NNG
0~9세	0/SN+~/SO+9/SN+세/NNB
아동이	아동/NNG+이/JKS
1026명으로	1026/SN+명/NNB+으로/JKB
가장	가장/MAG
많았고,	많/VA+았/EP+고/EC+,/SP
여성은	여성/NNG+은/JX
70세	70/SN+세/NNB
이상의	이상/NNG+의/JKG
