장총련,	장총련/NNP+,/SP
장애계	장애/NNG+계/XSN
공약	공약/NNG
대선후보들에	대선후보/NNG+들/XSN+에/JKB
전달	전달/NNG

한국장애인단체총연합회(이하	한국장애인단체총연합회/NNP+(/SS+이하/NNG
장총련)가	장총련/NNP+)/SS+가/JKS
12일	12/SN+일/NNB
새누리당	새누리당/NNP
박근혜,	박근혜/NNP+,/SP
민주통합당	민주통합당/NNP
문재인,	문재인/NNG+,/SP
무소속	무소속/NNG
안철수	안철수/NNP
대선	대선/NNG
예비후보에게	예비후보/NNG+에게/JKB
15개	15/SN+개/NNB
장애계	장애/NNG+계/XSN
과제(공약)가	과제/NNG+(/SS+공약/NNG+)/SS+가/JKS
담긴	담기/VV+ㄴ/ETM
‘18대	‘/SL+18/SN+대/NNG
대선공약	대선공약/NNG
제안	제안/NNG
자료집’을	자료집/NNG+’/SL+을/JKO
전달했다	전달하/VV+였/EP+다/EC

장총련은	장총련/NNP+은/JX
지난	지나/VV+ㄴ/ETM
9일과	9/SN+일/NNB+과/JC
10일	10/SN+일/NNB
양일에	양/MM+일/NNB+에/JKB
걸쳐	걸치/VV+어/EC
대선공약	대선공약/NNG
개발에	개발/NNG+에/JKB
착수	착수/NNG
고용분야,	고용분야/NNG+,/SP
교육분야,	교육분야/NNG+,/SP
복지분야	복지분야/NNG
별로	별/XSN+로/JKB
향후	향후/NNG
대선후보들이	대선후보/NNG+들/XSN+이/JKS
장애계를	장애/NNG+계/XSN+를/JKO
위해	위하/VV+여/EC
힘써주길	힘쓰/VV+어/EC+주/VX+기/ETN+ㄹ/JKO
바라는	바라/VV+는/ETM
‘15개	‘/SL+15/SN+개/NNB
장애계	장애/NNG+계/XSN
과제’를	과제’/NNG+를/JKO
최종	최종/NNG
마련했다	마련하/VV+였/EP+다/EF

자료집에는	자료집/NNG+에/JKB+는/JX
장애인일자리	장애인일자리/NNG
5만개(중증장애인	5/SN+만/NR+개/NNB+(/SS+중증장애인/NNG
3만개)	3/SN+만/NR+개/NNB+)/SS
창출,	창출/NNG+,/SP
국가	국가/NNG
및	및/MAG
공공기관	공공기관/NNG
장애인	장애인/NNG
의무고용율	의무고용/NNG+율/XSN
4%	4/SN+%/SW
확대	확대/NNG
장애인연금(차차상위자까지	장애인연금/NNG+(/SS+차차상위자/NNG+까지/JX
확대)	확대/NNG+)/SS
매년	매년/MAG
3만원	3/SN+만/NR+원/NNB
인상	인상/NNG
여성장애인	여성장애인/NNG
위한	위하/VV+ㄴ/ETM
자녀양육과	자녀양육/NNG+과/JC
여성장애인	여성장애인/NNG
역량강화	역량강화/NNG
프로그램	프로그램/NNG
강화	강화/NNG
저상버스	저상버스/NNG
대중교통의	대중교통/NNG+의/JKG
50%	50/SN+%/SW
이상	이상/NNG
도입	도입/NNG
및	및/MAG
특별운송수단	특별운송수단/NNG
중증장애인	중증장애인/NNG
100명당	100/SN+명/NNB+당/XSN
1대	1/SN+대/NNB
운영	운영/NNG
장애인	장애인/NNG
자립생활위한	자립생/NNG+활위하/VA+ㄴ/ETM
주택	주택/NNG
1만호	1/SN+만/NR+호/NNB
보급	보급/NNG
및	및/MAG
주거수당	주거수당/NNG
신설이	신설/NNG+이/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EC

또한	또한/MAG
전국권역별	전/MM+국권역별/NNG
재활병원	재활병원/NNG
육성	육성/NNG
및	및/MAG
재활호스트	재활호스트/NNG
설치운영	설치운영/NNG
장애인활동지원서비스	장애인활동지원서비스/NNG
전	전/MM
중증장애인에	중증장애인/NNG+에/JKB
확대	확대/NNG
및	및/MAG
최중증장애인에	최/XPN+중증장애인/NNG+에/JKB
24시간	24/SN+시간/NNB
보장	보장/NNG
산재장애인	산재장애인/NNG
일자리	일자리/NNG
활성화와	활성화/NNG+와/JC
사회복귀	사회복귀/NNG
프로그램	프로그램/NNG
지원위한	지원/NNG+위하/VV+ㄴ/ETM
산재청	산재청/NNG
신설	신설/NNG
척수장애	척수장애/NNG
독립분류	독립분류/NNG
등	등/NNB
장애유형	장애유형/NNG
확대	확대/NNG
및	및/MAG
분류	분류/NNG
체계	체계/NNG
재정립	재정립/NNG
국제장애인권리협약	국제장애인권리협약/NNG
국내	국내/NNG
이행을	이행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
법안	법안/NNG
마련과	마련/NNG+과/JC
선택의정서	선택의정/NNG+서/XSN
비준을	비준/NNG+을/JKO
포함하고	포함하/VV+고/EC
있다	있/VX+다/EC

이외	이외/NNG
장애인	장애인/NNG
인권침해예방센터	인권침해예방센터/NNG
지역별	지역/NNG+별/XSN
설치운영	설치운영/NNG
및	및/MAG
인권교육	인권교육/NNG
연수원	연수원/NNG
설치운영	설치운영/NNG
장애인	장애인/NNG
문화향유권	문화향유권/NNP
전감기관	전감기관/NNG
신설	신설/NNG
및	및/MAG
장애인	장애인/NNG
문화바우처	문화바우처/NNP
독립운영	독립운영/NNG
원스톱서비스	원스톱서비스/NNG
전달체계	전달체계/NNG
확립	확립/NNG
특수교사	특수교사/NNG
6천명	6/SN+천/NR+명/NNB
확충	확충/NNG
및	및/MAG
