“장애인	“/SL+장애인/NNG
의무고용율,	의무고용/NNG+율/XSN+,/SP
정부부터	정부/NNG+부터/JX
지켜라”	지켜라”/VV

지난달	지난달/NNG
발표된	발표되/VV+ㄴ/ETM
장애인의무고용률에	장애인의무고용률/NNG+에/JKB
미달한	미달하/VV+ㄴ/ETM
정부기관들이	정부기관/NNG+들/XSN+이/JKS
여전히	여전히/MAG
존재하자,	존재하/VV+자/EC+,/SP
주무기관인	주무기관/NNG+이/VCP+ㄴ/ETM
장애인고용공단이	장애인고용공단/NNG+이/JKS
고용율을	고용율/NNG+을/JKO
높이기	높이/VV+기/ETN
위해	위하/VV+여/EC
더욱	더욱/MAG
더	더/MAG
솔선수범해야	솔선수범하/VV+여야/EC
한다는	하/VX+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
제기됐다	제기되/VV+었/EP+다/EF

국회	국회/NNG
환경노동위원회	환경노동위원회/NNG
소속	소속/NNG
김상민	김상민/NNP
의원(새누리당)은	의원/NNG+(/SS+새누리당/NNP+)/SS+은/JX
27일	27/SN+일/NNB
열린	열리/VV+ㄴ/ETM
상임위	상임위/NNG
전체회의에서	전체회의/NNG+에서/JKB
장애인고용율	장애인고용/NNG+율/XSN
미달	미달/NNG
국가기관인	국가기관/NNG+이/VCP+ㄴ/ETM
기획재정부,	기획재정부/NNG+,/SP
기상청,	기상청/NNG+,/SP
특허청	특허청/NNG
등을	등/NNB+을/JKO
언급하며	언급하/VV+며/EC
정부조차	정부/NNG+조차/JX
법을	법/NNG+을/JKO
지키지	지키/VV+지/EC
않는다면	않/VX+는다면/EC
민간기관은	민간기관/NNG+은/JX
더	더/MAG
지키지	지키/VV+지/EC
않을	않/VX+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
강하게	강하/VA+게/EC
질타했다	질타하/VA+었/EP+다/EC

앞서	앞서/MAG
고용부가	고용부/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
장애인	장애인/NNG
의무고용율	의무고용/NNG+율/XSN
미달	미달/NNG
