새누리당,	새누리당/NNP+,/SP
5년	5/SN+년/NNB
간	간/XSN
특수교사	특수교사/NNG
7000명	7000/SN+명/NNB
증원	증원/NNG

국회의원	국회의원/NNG
울린	울리/VV+ㄴ/ETM
‘영혼의	‘/SN+영혼/NNG+의/JKG
소리로’	소리/NNG+로/JKB+’/SN
합창단이	합창단/NNG+이/JKS
큰	크/VA+ㄴ/ETM
이슈화가	이슈/NNG+화/XSN+가/JKC
되고	되/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
새누리당이	새누리당/NNP+이/JKS
장애인의	장애인/NNG+의/JKG
꿈이	꿈/NNG+이/JKS
실현되는	실현되/VV+는/ETM
맞춤정책을	맞춤정책/NNG+을/JKO
추진한다는	추진하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

새누리당은	새누리당/NNP+은/JX
14일	14/SN+일/NNB
논평을	논평/NNG+을/JKO
통해	통하/VV+여/EC
“지난	“/SL+지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
홀트일산복지타운에서	홀트일산복지타운/NNP+에서/JKB
실시된	실시되/VV+ㄴ/ETM
국정감사에선	국정감사/NNG+에서/JKB+이/VCP+ㄴ/EC
여야	여야/NNG
의원들이	의원/NNG+들/XSN+이/JKS
단체로	단체/NNG+로/JKB
눈물을	눈물/NNG+을/JKO
흘렸다고	흘리/VV+었/EP+다고/EC
한다”며	하/VV+ㄴ다/EF+”/VV+며/EC
“합창단원	“/SN+합창단/NNG+원/XSN
중엔	중/NNB+에/JKB+ㄴ/JX
짧은	짧/VA+은/ETM
동요	동요/NNG
한곡을	한/MM+곡/NNG+을/JKO
외우는	외우/VV+는/ETM
데	데/NNB
한	한/MM
달이나	달/NNB+이나/JX
걸릴	걸리/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
중증장애를	중증장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
이들도	이/NP+들/XSN+도/JX
있지만	있/VA+지만/EC
이들	이/NP+들/XSN
단원이	단원/NNG+이/JKS
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
자활의지와	자활의지/NNG+와/JC
하모니가	하모니/NNG+가/JKS
의원들의	의원/NNG+들/XSN+의/JKG
심금을	심금/NNG+을/JKO
울렸기에	울리/VV+었/EP+기에/EC
국감장이	국감장/NNG+이/JKS
눈물바다가	눈물바다/NNG+가/JKC
됐다고	되/VV+었/EP+다고/EC
생각한다”고	생각하/VV+ㄴ다”고/EC
첫	첫/MM
마디를	마디/NNG+를/JKO
뗐다	떼/VV+었/EP+다/EC

이어	이어/MAG
“우리	“/SN+우리/NP
사회의	사회/NNG+의/JKG
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식과	인식/NNG+과/JC
처우가	처우/NNG+가/JKS
많이	많이/MAG
개선된	개선되/VV+ㄴ/ETM
것은	것/NNB+은/JX
사실이다	사실/NNG+이/VCP+다/EC

그러나	그러나/MAJ
아직까지	아직/MAG+까지/JX
제도의	제도/NNG+의/JKG
미비와	미비/NNG+와/JC
사회적	사회적/NNG
편견으로	편견/NNG+으로/JKB
고통을	고통/NNG+을/JKO
받는	받/VV+는/ETM
장애인들이	장애인/NNG+들/XSN+이/JKS
많은	많/VA+은/ETM
것도	것/NNB+도/JX
사실이다”며	사실/NNG+이/VCP+다/EC+”/VX+며/EC
“신체적	“/SL+신체/NNG+적/XSN
다름을	다르/VA+ㅁ/ETN+을/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
뿐이지	뿐/NNB+이/VCP+지/EC
차별의	차별/NNG+의/JKG
조건이	조건/NNG+이/JKC
되어서는	되/VV+어서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
걸	것/NNB+ㄹ/JKO
의원들은	의원/NNG+들/XSN+은/JX
‘영혼의	‘/SL+영혼/NNG+의/JKG
소리로’	소리/NNG+로/JKB+’/VCP
합창단의	합창단/NNG+의/JKG
아름다운	아름답/VA+ㄴ/ETM
영혼을	영혼/NNG+을/JKO
목격하면서	목격하/VV+면서/EC
실감했을	실감하/VV+였/EP+을/ETM
걸로	것/NNB+ㄹ/JKO+로/JKB
본다”고	보/VV+ㄴ다/EC+”/VV+고/EC
말했다	말하/VV+였/EP+다/EC

또한	또한/MAG
새누리당은	새누리당/NNP+은/JX
장애	장애/NNG
아동의	아동/NNG+의/JKG
정규	정규/NNG
교육	교육/NNG
강화를	강화/NNG+를/JKO
위해	위하/VV+여/EC
향후	향후/NNG
5년간	5/SN+년/NNB+간/XSN
특수교사	특수교사/NNG
7000여명을	7000/SN+여/XSN+명/NNB+을/JKO
증원하고	증원하/VV+고/EC
특수학교·학급을	특수학교/NNG+·/SP+학급/NNG+을/JKO
증설,	증설/NNG+,/SP
장애대학생	장애대학생/NNP
학습도우미	학습도우미/NNP
지원	지원/NNG
사업을	사업/NNG+을/JKO
전국의	전국/NNG+의/JKG
대학과	대학/NNG+과/JC
전문대학에서	전문대학/NNG+에서/JKB
의무적으로	의무적/NNG+으로/JKB
실행할	실행하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
것	것/NNB
등을	등/NNB+을/JKO
해나갈	하/VV+여/EC+나가/VX+ㄹ/ETM
계획임을	계획/NNG+이/VCP+ㅁ/ETN+을/JKO
밝혔다	밝히/VV+었/EP+다/EC

새누리당은	새누리당/NNP+은/JX
“장애인	“/SN+장애인/NNG
연금을	연금/NNG+을/JKO
현실화하고	현실화하/VV+고/EC
장애인이	장애인/NNG+이/JKS
기초생활보장	기초생활보장/NNG
수급자에서	수급자/NNG+에서/JKB
벗어날	벗어나/VV+ㄹ/ETM
경우	경우/NNG
의료비를	의료비/NNG+를/JKO
2년간	2/SN+년/NNB+간/XSN
지원하는	지원하/VV+는/ETM
‘이행급여제’를	‘/SL+이행급여제/NNG+’/SL+를/JKO
시행하는	시행하/VV+는/ETM
등	등/NNB
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
맞춤	맞춤/NNG
복지도	복지/NNG+도/JX
강화해	강화하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
방침”이라며	방침”/NNG+이/VCP+라며/EC
“장애인을	“/SL+장애인/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
사회적	사회적/NNG
약자들이	약자/NNG+들/XSN+이/JKS
차별받지	차별/NNG+받/VV+지/EC
않고	않/VX+고/EC
사회의	사회/NNG+의/JKG
당당한	당당하/VA+ㄴ/ETM
구성원으로	구성원/NNG+으로/JKB
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
사회적	사회적/NNG
기반을	기반/NNG+을/JKO
정비함으로써	정비하/VV+ㅁ/ETN+으로써/JKB
‘100%	‘/SL+100/SN+%/SW
대한민국’을	대한민국/NNP+’/SL+을/JKO
만드는데	만들/VV+는데/EC
최선의	최선/NNG+의/JKG
노력을	노력/NNG+을/JKO
다할	다하/VV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
약속한다”고	약속하/VV+ㄴ다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF
