당정	당정/NNG
성폭력	성폭력/NNG
근절	근절/NNG
대책	대책/NNG
어떤	어떤/MM
내용	내용/NNG
담겼나(종합)	담기/VV+었/EP+나/EF+(/SS+종합/NNG+)/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
장하나	장/NNG+하나/NR
기자	기자/NNG
=	=/SW
최근	최근/NNG
경남	경남/NNP
통영	통영/NNP
초등생	초등/NNG+생/XSN
살해사건과	살해사건/NNG+과/JKB
제주	제주/NNP
올레길	올레길/NNP
여성	여성/NNG
관광객	관광객/NNG
살해사건이	살해사건/NNG+이/JKS
잇따라	잇따르/VV+아/EC
발생하면서	발생하/VV+면서/EC
국민	국민/NNG
불안이	불안/NNG+이/JKS
커지자	커지/VV+자/EC
정부와	정부/NNG+와/JC
새누리당이	새누리당/NNP+이/JKS
26일	26/SN+일/NNB
성범죄	성범죄/NNG
근절대책을	근절대책/NNG+을/JKO
내놨다	내놓/VV+았/EP+다/EF

지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
안양	안양/NNP
초등생	초등/NNG+생/XSN
납치살인사건을	납치살인사건/NNG+을/JKO
계기로	계기/NNG+로/JKB
성범죄자	성범죄자/NNG
신상공개와	신상공개/NNG+와/JC
전자발찌	전자발찌/NNG
제도	제도/NNG
등이	등/NNB+이/JKS
시행됐지만	시행되/VV+었/EP+지만/EC
이번	이번/NNG
통영	통영/NNP
사건에서는	사건/NNG+에서/JKB+는/JX
살해	살해/NNG
용의자가	용의자/NNG+가/JKS
법망을	법망/NNG+을/JKO
모두	모두/MAG
비켜가	비키/VV+어/EC+가/VX+아/EC
제도상의	제도/NNG+상/XSN+의/JKG
한계를	한계/NNG+를/JKO
드러냈기	드러내/VV+었/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
대책은	대책/NNG+은/JX
제도의	제도/NNG+의/JKG
`사각지대'를	`/SW+사각지대/NNG+'/SS+를/JKO
줄이고	줄이/VV+고/EC
성범죄의	성범죄/NNG+의/JKG
재발을	재발/NNG+을/JKO
막는데	막/VV+는데/EC
초점이	초점/NNG+이/JKS
맞춰졌다	맞추/VV+어/EC+지/VX+었/EP+다/EF

◇성범죄	◇/SW+성범죄/NNG
예방ㆍ재범	예방/NNG+ㆍ/SP+재범/NNG
방지	방지/NNG
=	=/SW
통영	통영/NNP
초등생	초등/NNG+생/XSN
살해	살해/NNG
용의자	용의자/NNG
김모씨는	김/NNP+모/NP+씨/NNB+는/JX
7년	7/SN+년/NNB
전	전/NNG
60대	60/SN+대/NNG
여성을	여성/NNG+을/JKO
성폭행한	성폭행하/VV+ㄴ/ETM
전과가	전과/NNG+가/JKS
있었지만	있/VA+었/EP+지만/EC
신상공개나	신상공개/NNG+나/JC
전자발찌	전자발찌/NNG
부착	부착/NNG
대상에	대상/NNG+에/JKB
해당하지	해당하/VV+지/EC
않았다	않/VX+았/EP+다/EC

신상공개는	신상공개/NNG+는/JX
법	법/NNG
시행(작년	시행/NNG+(/SS+작년/NNG
4월)	4/SN+월/NNB+)/SS
후	후/NNG
최초로	최초/NNG+로/JKB
유죄	유죄/NNG
판결이	판결/NNG+이/JKS
확정된	확정되/VV+ㄴ/ETM
사람으로	사람/NNG+으로/JKB
대상을	대상/NNG+을/JKO
한정했고,	한정하/VV+였/EP+고/EC+,/SP
전자발찌	전자발찌/NNG
제도는	제도/NNG+는/JX
2010년	2010/SN+년/NNB
7월을	7/SN+월/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
출소	출소/NNG
후	후/NNG
3년이	3/SN+년/NNB+이/JKC
안	안/MAG
된	되/VV+ㄴ/ETM
범죄자에	범죄자/NNG+에/JKB
한해	한하/VV+여/EC
소급입법이	소급입법/NNG+이/JKS
시행됐지만,	시행되/VV+었/EP+지만/EC+,/SP
김씨의	김/NNP+씨/NNB+의/JKG
경우	경우/NNG
요건이	요건/NNG+이/JKS
충족되지	충족되/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

새누리당	새누리당/NNP
권성동	권성동/NNP
정책위부의장은	정책위부의장/NNG+은/JX
당정협의	당정협의/NNG
후	후/NNG
가진	가지/VV+ㄴ/ETM
브리핑에서	브리핑/NNG+에서/JKB
"신상정보	"/SS+신상정보/NNG
공개	공개/NNG
대상을	대상/NNG+을/JKO
법	법/NNG
시행	시행/NNG
이전	이전/NNG
범죄자까지	범죄자/NNG+까지/JX
확대하기로	확대하/VV+기/ETN+로/JKB
했다"고	하/VV+였/EP+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

전자발찌와	전자발찌/NNG+와/JKB
동일하게	동일하/VA+게/EC
3년	3/SN+년/NNB
소급	소급/NNG
적용하겠다는	적용하/VV+겠/EP+다는/ETM
의미다	의미/NNG+이/VCP+다/EF

정부는	정부/NNG+는/JX
이후	이후/NNG
관계장관회의를	관계장관회의/NNG+를/JKO
하고	하/VV+고/EC
당정협의	당정협의/NNG
논의를	논의/NNG+를/JKO
감안해	감안하/VV+여/EC
추후	추후/NNG
관계부처와	관계부처/NNG+와/JKB
전문가가	전문가/NNG+가/JKS
참여하는	참여하/VV+는/ETM
태스크포스(TF)를	태스크포스/NNG+(/SS+TF/SL+)/SS+를/JKO
꾸려	꾸리/VV+어/EC
이를	이/NP+를/JKO
적극	적극/NNG
논의하기로	논의하/VV+기/ETN+로/JKB
했다고	하/VV+였/EP+다고/EC
설명했다	설명하/VV+었/EP+다/EC

헌법재판소에	헌법재판소/NNG+에/JKB
전자발찌	전자발찌/NNG
소급적용에	소급적용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
위헌	위헌/NNG
소송이	소송/NNG+이/JKS
계류	계류/NNG
중인데다	중/NNB+이/VCP+ㄴ데/EC+다/JX
소급	소급/NNG
적용에	적용/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
부정적	부정적/NNG
시각도	시각/NNG+도/JX
있는	있/VA+는/ETM
만큼	만큼/NNB
TF	TF/SL
논의	논의/NNG
과정에서	과정/NNG+에서/JKB
진통이	진통/NNG+이/JKS
예상된다	예상되/VV+ㄴ다/EF

최근	최근/NNG
잇따른	잇따르/VV+ㄴ/ETM
사건으로	사건/NNG+으로/JKB
접속이	접속/NNG+이/JKS
폭주한	폭주하/VV+ㄴ/ETM
`성범죄자	`/SW+성범죄자/NNG
알림e'에	알림/NNG+e/SL+'/SS+에/JKB
보다	보다/MAG
쉽게	쉽/VA+게/EC
접속할	접속하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
실명인증절차를	실명인증절차/NNG+를/JKO
폐지하고	폐지하/VV+고/EC
스마트폰을	스마트폰/NNG+을/JKO
활용한	활용하/VV+ㄴ/ETM
모바일	모바일/NNG
서비스를	서비스/NNG+를/JKO
제공한다	제공하/VV+ㄴ다/EF

성범죄자의	성범죄자/NNG+의/JKG
신상정보에서도	신상정보/NNG+에서/JKB+도/JX
새주소	새주소/NNG
체계에	체계/NNG+에/JKB
따라	따르/VV+아/EC
`00구	`/SW+00/SN+구/NNG
00동	00/SN+동/NNG
00로'까지	00/SN+로/JKB+'/SS+까지/JX
공개하는	공개하/VV+는/ETM
등	등/NNB
구체적	구체적/NNG
주소까지	주소/NNG+까지/JX
공개하는	공개하/VV+는/ETM
내용이	내용/NNG+이/JKS
포함됐다	포함되/VV+었/EP+다/EF

아동	아동/NNG
음란물	음란물/NNG
관련	관련/NNG
형량을	형량/NNG+을/JKO
강화하는	강화하/VV+는/ETM
내용도	내용/NNG+도/JX
담겼다	담기/VV+었/EP+다/EF

현재는	현재/NNG+는/JX
아동	아동/NNG
음란물을	음란물/NNG+을/JKO
제작ㆍ수입ㆍ수출한	제작/NNG+ㆍ/SP+수입/NNG+ㆍ수출하/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
5년	5/SN+년/NNB
이하의	이하/NNG+의/JKG
징역,	징역/NNG+,/SP
영리	영리/NNG
목적으로	목적/NNG+으로/JKB
유통ㆍ소지한	유통/NNG+ㆍ/SE+소지하/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
7년	7/SN+년/NNB
이하의	이하/NNG+의/JKG
징역에	징역/NNG+에/JKB
처하도록	처하/VV+도록/EC
돼	되/VV+어/EC
있지만	있/VX+지만/EC
이를	이/NP+를/JKO
10년	10/SN+년/NNB
이상	이상/NNG
징역과	징역/NNG+과/JC
10년	10/SN+년/NNB
이하	이하/NNG
징역으로	징역/NNG+으로/JKB
강화하기로	강화하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

여성가족부와	여성가족부/NNG+와/JC
경찰청이	경찰청/NNG+이/JKS
협력해	협력하/VV+여/EC
아동	아동/NNG
음란물	음란물/NNG
위반	위반/NNG
사범에	사범/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
단속과	단속/NNG+과/JC
처벌도	처벌/NNG+도/JX
지속적으로	지속적/NNG+으로/JKB
추진하기로	추진하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

SOS	SOS/SL
국민안심서비스도	국민안심서비스/NNG+도/JX
내년	내년/NNG
1월	1/SN+월/NNB
전국으로	전국/NNG+으로/JKB
확대하고	확대하/VV+고/EC
서비스	서비스/NNG
이용자도	이용자/NNG+도/JX
현재	현재/MAG
