안철수,	안철수/NNP+,/SP
"장애인	"/SS+장애인/NNG
바라보는	바라보/VV+는/ETM
'시각'	'/SS+시각/NNG+'/SS
바꿔야"	바꾸/VV+어야/EF+"/SS

무소속	무소속/NNG
안철수	안철수/NNP
대선후보가	대선후보/NNG+가/JKS
15일	15/SN+일/NNB
‘흰	‘/SL+희/VA+ㄴ/ETM
지팡이의	지팡이/NNG+의/JKG
날’을	날/NNG+’/SL+을/JKO
맞아	맞/VV+아/EC
장애인을	장애인/NNG+을/JKO
바라보는	바라보/VV+는/ETM
사회의	사회/NNG+의/JKG
‘시각’이	‘/SL+시각/NNG+’/SL+이/JKS
바뀌어야	바뀌/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
말해	말하/VV+여/EC
눈길을	눈길/NNG+을/JKO
끌고	끌/VV+고/EC
있다	있/VX+다/EC

안	안/NNP
후보는	후보/NNG+는/JX
안철수	안철수/NNP
진심캠프	진심캠프/NNG
페이스북을	페이스북/NNG+을/JKO
통해	통하/VV+여/EC
15일	15/SN+일/NNB
‘흰	‘/SL+희/VA+ㄴ/ETM
지팡이’를	지팡이’/NNG+를/JKO
통해	통하/VV+여/EC
세상을	세상/NNG+을/JKO
보는	보/VV+는/ETM
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
날이라고	날/NNG+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
그는	그/NP+는/JX
“흰	“/SL+희/VA+ㄴ/ETM
지팡이,	지팡이/NNG+,/SP
점자를	점자/NNG+를/JKO
넘어서	넘/VV+어서/EC
최근의	최근/NNG+의/JKG
과학,	과학/NNG+,/SP
IT	IT/SL
기술	기술/NNG
발달은	발달/NNG+은/JX
시각장애인의	시각장애인/NNG+의/JKG
더	더/MAG
나은	낫/VA+은/ETM
자립	자립/NNG
가능성을	가능성/NNG+을/JKO
열고	열/VV+고/EC
있다”면서도	있/VX+다/EC+”/VV+면서/EC+도/JX
“중요한	“/SL+중요하/VA+ㄴ/ETM
것은	것/NNB+은/JX
‘기술’의	‘/SL+기술/NNG+’/SL+의/JKG
문제가	문제/NNG+가/JKC
아니라	아니/VCN+라/EC
장애인을	장애인/NNG+을/JKO
바라보는	바라보/VV+는/ETM
사회의	사회/NNG+의/JKG
‘시각’이	‘/SL+시각/NNG+’/SL+이/JKS
바뀌어야	바뀌/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
피력했다	피력하/VV+었/EP+다/EC

우리	우리/NP
사회가	사회/NNG+가/JKS
아직	아직/MAG
장애인을	장애인/NNG+을/JKO
도와야	돕/VV+아야/EC
할	하/VX+ㄹ/ETM
대상으로만	대상/NNG+으로/JKB+만/JX
보고	보/VV+고/EC
있다는	있/VX+다는/ETM
것이	것/NNB+이/JKS
문제라는	문제/NNG+이/VCP+라는/ETM
것	것/NNB

안	안/NNP
후보는	후보/NNG+는/JX
“우리	“/SL+우리/NP
