인천시선관위	인천시선관위/NNP
"장애인	"/SS+장애인/NNG
참정권	참정권/NNG
확실하게	확실하/VA+게/EC
보장"	보장/NNG+"/SS

(인천=연합뉴스)	(/SS+인천/NNP+=/SW+연합뉴스/NNP+)/SS
강종구	강종구/NNP
기자	기자/NNG
=	=/SW
인천시선거관리위원회는	인천시/NNP+선거관리위원회/NNG+는/JX
오는	오/VV+는/ETM
19일	19/SN+일/NNB
제18대	제/XPN+18/SN+대/NNG
대통령선거에서	대통령선거/NNG+에서/JKB
장애인	장애인/NNG
유권자의	유권자/NNG+의/JKG
참정권	참정권/NNG
보장을	보장/NNG+을/JKO
위해	위하/VV+여/EC
다양한	다양하/VA+ㄴ/ETM
편의를	편의/NNG+를/JKO
제공한다고	제공하/VV+ㄴ다고/EC
17일	17/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

시선관위는	시선관위/NNG+는/JX
인천지역	인천/NNP+지역/NNG
투표소	투표소/NNG
656곳	656/SN+곳/NNG
중	중/NNB
장애인	장애인/NNG
통행에	통행/NNG+에/JKB
어려움이	어려움/NNG+이/JKS
예상되는	예상되/VV+는/ETM
투표소	투표소/NNG
183곳에	183/SN+곳/NNG+에/JKB
임시	임시/NNG
경사로를	경사로/NNG+를/JKO
설치,	설치/NNG+,/SP
휠체어	휠체어/NNG
이동에	이동/NNG+에/JKB
불편이	불편/NNG+이/JKS
없도록	없/VA+도록/EC
했다	하/VX+였/EP+다/EC

또	또/MAG
지하나	지하/NNG+나/JC
고층에	고층/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
투표소는	투표소/NNG+는/JX
모두	모두/MAG
승강기를	승강기/NNG+를/JKO
갖춘	갖추/VV+ㄴ/ETM
곳을	곳/NNG+을/JKO
지정했고	지정하/VV+였/EP+고/EC
유일하게	유일하/VA+게/EC
승강기가	승강기/NNG+가/JKS
없는	없/VA+는/ETM
백령1투표소(백령면	백령/NNP+1/SN+투표소/NNG+(/SS+백령면/NNP
9호대피소)에는	9/SN+호/NNB+대피소/NNG+)/SS+에/JKB+는/JX
1층에	1/SN+층/NNG+에/JKB
장애인	장애인/NNG
임시	임시/NNG
기표소를	기표소/NNG+를/JKO
설치했다	설치하/VV+였/EP+다/EC

이와	이/NP+와/JKB
함께	함께/MAG
모든	모든/MM
투표소에는	투표소/NNG+에/JKB+는/JX
시각장애	시각장애/NNG
유권자의	유권자/NNG+의/JKG
편의를	편의/NNG+를/JKO
위해	위하/VV+여/EC
시각장애인용	시각장애인용/NNG
투표보조용구를	투표보조용구/NNG+를/JKO
비치하고	비치하/VV+고/EC
장애인	장애인/NNG
기표대도	기표대/NNG+도/JX
설치했다	설치하/VV+였/EP+다/EC

이밖에	이/NP+밖에/JX
거동이	거동/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
투표소까지	투표소/NNG+까지/JX
이동할	이동하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
휠체어리프트	휠체어리프트/NNG
차량과	차량/NNG+과/JC
투표활동	투표활동/NNG
보조인도	보조인/NNG+도/JX
지원할	지원하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

관련	관련/NNG
서비스를	서비스/NNG+를/JKO
원하는	원하/VV+는/ETM
장애인은	장애인/NNG+은/JX
각	각/MM
군·구	군/NNG+·/SP+구/XPN
선거관리위원회(선거콜센터	선거관리위원회/NNG+(/SS+선거콜센터/NNG
1390)에	1390/SN+)/SS+에/JKB
연락하면	연락하/VV+면/EC
된다	되/VV+ㄴ다/EF

인천시선관위는	인천시선관위/NNP+는/JX
전체	전체/NNG
투표소에	투표소/NNG+에/JKB
각각	각각/MAG
2명씩	2/SN+명/NNB+씩/XSN
배치되는	배치되/VV+는/ETM
투표	투표/NNG
안내	안내/NNG
도우미에	도우미/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
장애인	장애인/NNG
투표	투표/NNG
안내	안내/NNG
교육을	교육/NNG+을/JKO
실시하는	실시하/VV+는/ETM
등	등/NNB
장애인	장애인/NNG
투표에	투표/NNG+에/JKB
차질이	차질/NNG+이/JKS
없도록	없/VA+도록/EC
만반의	만반/NNG+의/JKG
준비를	준비/NNG+를/JKO
했다고	하/VV+였/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

inyon@yna	inyon/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
