개인운영	개인운영/NNG
장애인복지시설	장애인복지시설/NNG
중소기업으로	중소기업/NNG+으로/JKB
봐야	보/VV+아야/EF

개인이	개인/NNG+이/JKS
설치·운영하는	설치/NNG+·/SP+운영하/VV+는/ETM
장애인복지시설을	장애인복지시설/NNG+을/JKO
중소기업으로	중소기업/NNG+으로/JKB
봐야	보/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
법령	법령/NNG
해석이	해석/NNG+이/JKS
나왔다	나오/VV+았/EP+다/EF

법제처는	법제처/NNG+는/JX
중소기업청이	중소기업청/NNG+이/JKS
요청한	요청하/VV+ㄴ/ETM
‘중소기업제품	‘/SL+중소기업제품/NNG
구매촉진	구매촉진/NNG
및	및/MAG
판로지원에	판로지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률(이하	법률/NNG+(/SS+이하/NNG
중소기업제품구매법)’	중소기업제품구매법/NNG+)/SS+’/SL
해석	해석/NNG
안건에	안건/NNG+에/JKB
대해	대하/VV+여/EC
이	이/NP
같이	같이/MAG
심의·의결하고	심의/NNG+·/SP+의결하/VV+고/EC
회신했다고	회신하/VV+었/EP+다고/EC
30일	30/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

법제처에	법제처/NNG+에/JKB
따르면	따르/VV+면/EC
중소기업청은	중소기업청/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
‘국가를	‘/SN+국가/NNG+를/JKO
당사자로	당사자/NNG+로/JKB
하는	하/VV+는/ETM
계약에	계약/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률(이하	법률/NNG+(/SS+이하/NNG
국가계약법)	국가계약법/NNG+)/SS
시행령’	시행령/NNG+’/SN
중	중/NNB
장애인복지법에	장애인복지법/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
법인·단체	법인/NNG+·/SP+단체/NNG
외	외/NNB
개인이	개인/NNG+이/JKS
설치·운영하는	설치/NNG+·/SP+운영하/VV+는/ETM
장애인복지시설도	장애인복지시설/NNG+도/JX
중소기업제품구매법의	중소기업제품구매법/NNG+의/JKG
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
중소기업으로	중소기업/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있는지를	있/VA+는지/EC+를/JKO
자문했다	자문하/VV+였/EP+다/EC

이에	이/NP+에/JKB
법제처는	법제처/NNG+는/JX
장애인복지법에	장애인복지법/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
장애인복지시설	장애인복지시설/NNG
중	중/NNB
개인이	개인/NNG+이/JKS
설치·운영하는	설치/NNG+·/SP+운영하/VV+는/ETM
장애인복지시설은	장애인복지시설/NNG+은/JX
중소기업제품구매법	중소기업제품구매법/NNG
시행령에	시행령/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
법인이나	법인/NNG+이나/JC
단체에	단체/NNG+에/JKB
해당한다고	해당하/VV+ㄴ다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
회답했다	회답하/VV+였/EP+다/EC

이는	이/NP+는/JX
중소기업제품구매법	중소기업제품구매법/NNG
시행령에는	시행령/NNG+에/JKB+는/JX
‘대통령령으로	‘/SL+대통령령/NNG+으로/JKB
정하는	정하/VV+는/ETM
법인이나	법인/NNG+이나/JC
단체’로	단체’/NNG+로/JKB
‘국가계약법	‘/SN+국가계약법/NNG
시행령에	시행령/NNG+에/JKB
해당하는	해당하/VV+는/ETM
법인이나	법인/NNG+이나/JC
단체’를	단체’/NNG+를/JKO
규정하고	규정하/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
