‘유엔에스캅	‘/SN+유엔에스캅/NNP
정부간고위급회의’	정부간고위급회의/NNG+’/SL
개막	개막/NNG

“아태지역은	“/SL+아태/NNP+지역/NNG+은/JX
장애인의	장애인/NNG+의/JKG
권리를	권리/NNG+를/JKO
위해	위하/VV+여/EC
노력했다	노력하/VV+였/EP+다/EF

하지만	하지만/MAJ
많은	많/VA+은/ETM
업적에도	업적/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
해결해야	해결하/VV+여야/EC
할	하/VX+ㄹ/ETM
일들이	일/NNG+들/XSN+이/JKS
여전히	여전히/MAG
산적해	산적하/VV+여/EC
있다	있/VX+다/EF

우리는	우리/NP+는/JX
이	이/MM
때문에	때문/NNB+에/JKB
오늘	오늘/NNG
이	이/MM
자리에	자리/NNG+에/JKB
모였다	모이/VV+었/EP+다/EC

”유엔에스캅	”/SL+유엔에스캅/NNP
션이치	션이치/NNP
무라타(shun-ichi	무라타/NNP+(/SS+shun/SL+-/SO+ichi/SL
Murata)	Murata/SL+)/SS
사무차장은	사무차장/NNG+은/JX
29일	29/SN+일/NNB
오전	오전/NNG
인천	인천/NNP
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
유엔에스캅	유엔에스캅/NNP
정부간고위급회의	정부간고위급회/NNG+의/JKG
개막식에서	개막식/NNG+에서/JKB
이번	이번/NNG
회의의	회의/NNG+의/JKG
의미를	의미/NNG+를/JKO
이	이/NP
같이	같이/MAG
밝혔다	밝히/VV+었/EP+다/EC

이번	이번/NNG
유엔에스캅	유엔에스캅/NNP
정부간고위급회의는	정부간고위급회의/NNG+는/JX
지난	지나/VV+ㄴ/ETM
‘제2차	‘/SL+제/XPN+2/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년’을	10/SN+년/NNB+’/SL+을/JKO
평가하고	평가하/VV+고/EC
다가오는	다가오/VV+는/ETM
‘제3차	‘/SL+제/XPN+3/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년’을	10/SN+년/NNB+’/SL+을/JKO
선언하기	선언하/VV+기/ETN
위한자리다	위하/VV+ㄴ/ETM+자리/NNG+이/VCP+다/EF

개막식을	개막식/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
31일까지	31/SN+일/NNB+까지/JX
열리는	열리/VV+는/ETM
‘고위급회의’에서는	‘/SN+고위급회의’/NNG+에서/JKB+는/JX
제2차	제/XPN+2/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년에	10/SN+년/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
평가와	평가/NNG+와/JC
향후	향후/NNG
10년간	10/SN+년/NNB+간/XSN
아시아태평양	아시아태평양/NNP
국가들이	국가/NNG+들/XSN+이/JKS
추진할	추진하/VV+ㄹ/ETM
전략에	전략/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
검토가	검토/NNG+가/JKS
진행된다	진행되/VV+ㄴ다/EC

이어	이어/MAG
11월	11/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
2일까지	2/SN+일/NNB+까지/JX
열리는	열리/VV+는/ETM
‘장관급회의’에서는	‘/SN+장관급회의’/NNG+에서/JKB+는/JX
에스캅	에스캅/NNG
회원국의	회원국/NNG+의/JKG
각료급	각료급/NNG
대표단이	대표단/NNG+이/JKS
참석,	참석/NNG+,/SP
인천전략	인천/NNP+전략/NNG
실행을	실행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국가별	국가/NNG+별/XSN
발언이	발언/NNG+이/JKS
진행된	진행되/VV+ㄴ/ETM
후	후/NNG
인천전략이	인천/NNP+전략/NNG+이/JKS
최종	최종/NNG
선포된다	선포되/VV+ㄴ다/EF

유엔은	유엔/NNP+은/JX
1982년	1982/SN+년/NNB
장애에	장애/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세계	세계/NNG
행동프로그램의	행동프로그램/NNG+의/JKG
선언에	선언/NNG+에/JKB
뒤이어	뒤잇/VV+어/EC
‘장애인에	‘/SL+장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세계	세계/NNG
행동프로그램의’	행동프로그램/NNG+의/JKG+’/SL
이행을	이행/NNG+을/JKO
모니터링하기	모니터링/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
목적에서	목적/NNG+에서/JKB
‘국제장애인	‘/SN+국제장애인/NNG
10년(1983~1992년)’을	10/SN+년/NNB+(/SS+1983/SN+~/SO+1992/SN+년/NNB+)/SS+’/SL+을/JKO
선포됐다	선포되/VV+었/EP+다/EF

하지만	하지만/MAJ
각국에서는	각국/NNG+에서/JKB+는/JX
장애인	장애인/NNG
권익을	권익/NNG+을/JKO
증진하는	증진하/VV+는/ETM
데	데/NNB
지역차원에서의	지역차원/NNG+에서/JKB+의/JKG
좀더	좀더/MAG
구체적인	구체적/NNG+이/VCP+ㄴ/ETM
행동계획의	행동계획/NNG+의/JKG
