수급장애인,	수급장애인/NNG+,/SP
재판정	재판정/NNG
검사비	검사/NNG+비/XSN
지원	지원/NNG
현실화	현실화/NNG
권고	권고/NNG

국민권익위원회는	국민권익위원회/NNG+는/JX
기초생활수급자인	기초생활수급/NNG+자/XSN+이/VCP+ㄴ/ETM
장애인에게	장애인/NNG+에게/JKB
장애	장애/NNG
의무	의무/NNG
재판정시	재판정/NNG+시/NNB
필요한	필요하/VA+ㄴ/ETM
검사비용을	검사비용/NNG+을/JKO
국가에서	국가/NNG+에서/JKB
지원할	지원하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
제도를	제도/NNG+를/JKO
마련할	마련하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
보건복지부에	보건복지부/NNG+에/JKB
권고했다고	권고하/VV+였/EP+다고/EC
28일	28/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

장애인은	장애인/NNG+은/JX
'장애인복지법'에	'/SS+장애인복지법/NNG+'/SS+에/JKB
따라	따르/VV+아/EC
첫	첫/MM
장애판정	장애판정/NNG
이후에	이후/NNG+에/JKB
평균	평균/NNG
2년	2/SN+년/NNB
주기로	주기/NNG+로/JKB
장애	장애/NNG
재판정을	재판정/NNG+을/JKO
받기	받/VV+기/ETN
위한	위하/VV+ㄴ/ETM
검사를	검사/NNG+를/JKO
의무적으로	의무적/NNG+으로/JKB
해야	하/VV+여야/EC
한다	하/VX+ㄴ다/EF

재판정을	재판정/NNG+을/JKO
받지	받/VV+지/EC
않으면	않/VX+으면/EC
장애인	장애인/NNG
등록이	등록/NNG+이/JKS
취소되기	취소되/VV+기/ETN
때문에	때문/NNB+에/JKB
꼭	꼭/MAG
의무적으로	의무적/NNG+으로/JKB
받아야	받/VV+아야/EC
한다	하/VX+ㄴ다/EF

현재	현재/MAG
기초생활수급자인	기초생활수급/NNG+자/XSN+이/VCP+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
신규	신규/NNG
등록과	등록/NNG+과/JC
재판정을	재판정/NNG+을/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
경우	경우/NNG
국가가	국가/NNG+가/JKS
기준비용(지적장애·자폐성장애	기준비용/NNG+(/SS+지적장애/NNG+·/SP+자폐성장애/NNG
4만원,	4/SN+만/NR+원/NNB+,/SP
기타장애	기타장애/NNG
1만	1/SN+만/NR
5천원)	5/SN+천/NR+원/NNB+)/SS
범위	범위/NNG
내에서	내/NNB+에서/JKB
장애진단서	장애진단서/NNP
발급비용을	발급비용/NNG+을/JKO
지원하고	지원하/VV+고/EC
있다	있/VX+다/EC

하지만	하지만/MAJ
재판정을	재판정/NNG+을/JKO
받기	받/VV+기/ETN
위해서는	위하/VV+여서/EC+는/JX
최소	최소/NNG
1만원에서	1/SN+만/NR+원/NNB+에서/JKB
최대	최대/NNG
20만원(중복장애의	20/SN+만/NR+원/NNB+(/SS+중복장애/NNG+의/JKG
경우)	경우/NNG+)/SS
이상	이상/NNG
소요되고	소요되/VV+고/EC
있어	있/VX+어/EC
취약계층인	취약계층/NNG+이/VCP+ㄴ/ETM
장애인에게는	장애인/NNG+에게/JKB+는/JX
경제적으로	경제적/NNG+으로/JKB
부담이	부담/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없다	없/VA+다/EC

장애인	장애인/NNG
중	중/NNB
기초생활수급가구는	기초생활수급가구/NNG+는/JX
약	약/MM
17%인	17/SN+%/SW+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
집계됐다	집계되/VV+었/EP+다/EF

한편	한편/MAG
권익위는	권익위/NNG+는/JX
장애인	장애인/NNG
등급	등급/NNG
판정	판정/NNG
시	시/NNG
대면심사·직접진단을	대면심사/NNG+·/SP+직접진단/NNG+을/JKO
확대하기	확대하/VV+기/ETN
위해	위하/VV+여/EC
복지부에	복지부/NNG+에/JKB
국민연금공단의	국민연금공단/NNP+의/JKG
장애등급심사위원회를	장애등급심사위원회/NNG+를/JKO
권역별로	권역/NNG+별/XSN+로/JKB
확대해	확대하/VV+여/EC
나가는	나가/VX+는/ETM
방안도	방안/NNG+도/JX
권고했다	권고하/VV+였/EP+다/EC
