“새로운	“/SL+새롭/VA+ㄴ/ETM
10년	10/SN+년/NNB
실질적	실질적/NNG
성과	성과/NNG
거두는데	거두/VV+는데/EC
역점”	역점/NNG+”/SN

“제3차	“/SL+제/XPN+3/SN+차/NNB
아태장애인	아태장애인/NNG
10년을	10/SN+년/NNB+을/JKO
위해	위하/VV+여/EC
그동안	그동안/NNG
많은	많/VA+은/ETM
정부와	정부/NNG+와/JC
민간	민간/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
모여논의	모여논/VV+의/JKG
했다	하/VV+였/EP+다/EC

새로운	새롭/VA+ㄴ/ETM
10년은	10/SN+년/NNB+은/JX
보다	보다/MAG
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
성과를	성과/NNG+를/JKO
거두고	거두/VV+고/EC
측정(평가)되는데	측정/NNG+(/SS+평가/NNG+)/SS+되/XSV+는데/EC
역점을	역점/NNG+을/JKO
둘	두/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

”보건복지부	”/SN+보건복지부/NNG
임채민	임채민/NNP
장관은	장관/NNG+은/JX
1일	1/SN+일/NNB
오전	오전/NNG
유엔에스캅	유엔에스캅/NNP
장관급	장관급/NNG
회의가	회의/NNG+가/JKS
열리기	열리/VV+기/ETN
전	전/NNG
언론사들과의	언론사/NNG+들/XSN+과/JKB+의/JKG
기자간담회에서	기자간담회/NNG+에서/JKB
이같이	이같이/MAG
피력했다	피력하/VV+었/EP+다/EC

임	임/NNP
장관은	장관/NNG+은/JX
“한국이	“/SL+한국/NNP+이/JKS
아태장애인	아태장애인/NNG
10년을	10/SN+년/NNB+을/JKO
위해	위하/VV+여/EC
노력했지만	노력하/VV+였/EP+지만/EC
여전히	여전히/MAG
부족하다는	부족하/VA+다는/ETM
것을	것/NNB+을/JKO
알고	알/VV+고/EC
있다	있/VX+다/EC

장애인의	장애인/NNG+의/JKG
권익증진,	권익증진/NNG+,/SP
공평한	공평하/VA+ㄴ/ETM
기회제공	기회제공/NNG
등을	등/NNB+을/JKO
위해	위하/VV+여/EC
선도적	선도적/NNG
역할하고	역할하/VV+고/EC
아태지역으로	아태/NNP+지역/NNG+으로/JKB
확산하고자	확산하/VV+고자/EC
한다”고	하/VX+ㄴ다”고/EC
강조했다	강조하/VV+였/EP+다/EC

특히	특히/MAG
임	임/NNP
장관은	장관/NNG+은/JX
“정부와	“/SL+정부/NNG+와/JC
민간의	민간/NNG+의/JKG
노력을	노력/NNG+을/JKO
하나로	하나/NNG+로/JKB
모으겠다	모으/VV+겠/EP+다/EC

아태지역이	아태/NNP+지역/NNG+이/JKS
노력할	노력하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한국이	한국/NNP+이/JKS
모범을	모범/NNG+을/JKO
보이겠다”고	보이/VV+겠/EP+다/EC+”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

장애인	장애인/NNG
당사자들의	당사자/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
수렴하는	수렴하/VV+는/ETM
장치를	장치/NNG+를/JKO
만드는데	만들/VV+는/ETM+데/NNB
노력하고	노력하/VV+고/EC

그런	그런/MM
경험을	경험/NNG+을/JKO
다른	다른/MM
회원국에	회원국/NNG+에/JKB
전달하겠다는	전달하/VV+겠/EP+다는/ETM
것이다	것/NNB+이/VCP+다/EC

이날	이날/NNG
임	임/NNP
장관은	장관/NNG+은/JX
제3차	제/XPN+3/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년의	10/SN+년/NNB+의/JKG
실효적	실효/NNG+적/XSN
이행을	이행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
기금과	기금/NNG+과/JC
관련해서도	관련하/VV+여서/EC+도/JX
언급했다	언급하/VV+였/EP+다/EC

임	임/NNP
장관은	장관/NNG+은/JX
“민관	“/SL+민관/NNG
공동으로	공동/NNG+으로/JKB
기금을	기금/NNG+을/JKO
조성하는	조성하/VV+는/ETM
계획을	계획/NNG+을/JKO
수립하고	수립하/VV+고/EC
있다	있/VX+다/EC

여러	여러/MM
분야에	분야/NNG+에/JKB
지원할	지원하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
펀드를	펀드/NNG+를/JKO
조성하는	조성하/VV+는/ETM
것도	것/NNB+도/JX
중요하지만	중요하/VA+지만/EC
장애계,	장애/NNG+계/XSN+,/SP
사회복지계	사회복지/NNG+계/XSN
등이	등/NNB+이/JKS
펀드에	펀드/NNG+에/JKB
참여하는	참여하/VV+는/ETM
것도	것/NNB+도/JX
중요하다”고	중요하/VA+다”/ETM+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
“펀드는	“/SN+펀드/NNG+는/JX
정책개발	정책개발/NNG
사업	사업/NNG
등에	등/NNB+에/JKB
지원되는	지원/NNG+되/XSV+는/ETM
의미	의미/NNG
있는	있/VA+는/ETM
시드머니가	시드머니/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

인천선언이	인천/NNP+선언/NNG+이/JKS
채택이	채택/NNG+이/JKS
되면	되/VV+면/EC
