“아·태장애인10년	“/SL+아/VCN+·/SP+태장애인/NNG+10/SN+년/NNB
국가보고서	국가보고서/NNG
제출	제출/NNG
필요”	필요”/NNG

제3차	제/XPN+3/SN+차/NNB
아태장애인	아태장애인/NNG
10년인	10/SN+년/NNB+이/VCP+ㄴ/ETM
인천전략(이하	인천/NNP+전략/NNG+(/SS+이하/NNG
인천전략)의	인천/NNP+전략/NNG+)/SS+의/JKG
실효성을	실효성/NNG+을/JKO
확보하기	확보하/VV+기/ETN
위해	위하/VV+여/EC
의무적으로	의무적/NNG+으로/JKB
정부	정부/NNG
보고서가	보고서/NNG+가/JKS
유엔에스캅에	유엔/NNP+에스캅/NNG+에/JKB
제출돼야	제출되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
주장이다	주장/NNG+이/VCP+다/EC

2012아태장애인대회	2012/SN+아태장애인대회/NNG
이틀째인	이틀/NNG+째/XSN+이/VCP+ㄴ/ETM
25일	25/SN+일/NNB
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
인천전략	인천전략/NNP
초안	초안/NNG
검토회의에서	검토회의/NNG+에서/JKB
아이코	아이코/NNP
아키야마	아키야마/NNP
ESCAP	ESCAP/SL
사회개발부장은	사회개발부장/NNG+은/JX
‘인천전략	‘/SN+인천/NNP+전략/NNG
초안’을	초안’/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

이날	이날/NNG
자리는	자리/NNG+는/JX
다가오는	다가오/VV+는/ETM
유엔에스캅고위급회의를	유엔에스/NNP+캅고위급회의/NNG+를/JKO
앞두고	앞두/VV+고/EC
재점검	재점검/NNG
차원에서	차원/NNG+에서/JKB
마련됐다	마련되/VV+었/EP+다/EF

인천전략	인천/NNP+전략/NNG
초안은	초안/NNG+은/JX
배경,	배경/NNG+,/SP
주요원칙과	주요원칙/NNG+과/JC
정책방향,	정책방향/NNG+,/SP
인천전략	인천/NNP+전략/NNG
목표	목표/NNG
및	및/MAG
세부목표,	세부목표/NNG+,/SP
효과적인	효과적/NNG+이/VCP+ㄴ/ETM
아태	아태/NNP
10년	10/SN+년/NNB
이해을	이해/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
협력	협력/NNG
세부원칙(국가,	세부원칙/NNG+(/SS+국가/NNG+,/SP
하위지역,	하위지역/NNG+,/SP
및	및/MAG
지역수준)	지역수준/NNG+)/SS
등으로	등/NNB+으로/JKB
구성돼	구성되/VV+어/EC
있다	있/VX+다/EF

하지만	하지만/MAJ
아이코	아이코/NNP
아키야마	아키야마/NNP
부장의	부장/NNG+의/JKG
인천전략	인천/NNP+전략/NNG
초안	초안/NNG
발표	발표/NNG
후	후/NNG
아태장애인대회	아태장애인대회/NNG
참가자들은	참가자/NNG+들/XSN+은/JX
인천전략	인천/NNP+전략/NNG
이행,	이행/NNG+,/SP
성과를	성과/NNG+를/JKO
평가할	평가하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방법들이	방법/NNG+들/XSN+이/JKS
배재돼	배재되/VV+어/EC
있다고	있/VX+다고/EC
목소리를	목소리/NNG+를/JKO
높였다	높이/VV+었/EP+다/EF

어떤	어떤/MM
국가는	국가/NNG+는/JX
목표를	목표/NNG+를/JKO
충족한	충족하/VA+ㄴ/ETM
국가가	국가/NNG+가/JKS
있는	있/VA+는/ETM
반면	반면/NNG
충족하지	충족하/VV+지/EC
못한	못하/VX+ㄴ/ETM
국가도	국가/NNG+도/JX
있을	있/VA+을/ETM
텐데	터/NNB+이/VCP+ㄴ데/EC
10년을	10/SN+년/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
해마다	해마다/MAG
달성률이	달성률/NNG+이/JKS
어떻게	어떻/VA+게/EC
되는지	되/VV+는지/EC
궁금하지만	궁금하/VA+지만/EC
방법이	방법/NNG+이/JKS
없다는	없/VA+다는/ETM
것	것/NNB

또한	또한/MAG
이행성과가	이행성과/NNG+가/JKS
떨어지는	떨어지/VV+는/ETM
국가에	국가/NNG+에/JKB
대해서는	대하/VV+여서/EC+는/JX
어떠한	어떠하/VA+ㄴ/ETM
조치를	조치/NNG+를/JKO
취할	취하/VV+ㄹ/ETM
수	수/NNB
있는지도	있/VA+는지/EC+도/JX
애매모호	애매모호/NNG
하다는	하/VV+다는/ETM
것이다	것/NNB+이/VCP+다/EC

이에	이/NP+에/JKB
아이코	아이코/NNP
아키야마	아키/VCN+야마/EC
부장은	부장/NNG+은/JX
“모든	“/SL+모/NP+든/JX
국가마다	국가/NNG+마다/JX
상황이	상황/NNG+이/JKS
다를	다르/VA+ㄹ/ETM
것이다	것/NNB+이/VCP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이행	이행/NNG
속도도	속도/NNG+도/JX
다를	다르/VA+ㄹ/ETM
것이고	것/NNB+이/VCP+고/EC
성과	성과/NNG
내용도	내용/NNG+도/JX
다를	다르/VA+ㄹ/ETM
것이다”며	것/NNB+이/VCP+다/EC+”/VX+며/EC
사실상	사실상/NNG
어려울	어렵/VA+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
