朴	朴/SL
당선인	당선/NNG+이/VCP+ㄴ/ETM
인수위원장에	인수위원장/NNG+에/JKB
'김용준	'/SS+김용준/NNP
前헌재소장'	前/SL+헌재소장/NNG+'/SS

박근혜	박근혜/NNP
대통령	대통령/NNG
당선인은	당선인/NNG+은/JX
27일	27/SN+일/NNB
제	제/XPN
18대	18/SN+대/NNB
대통령직	대통령직/NNG
인수위원장에	인수위원장/NNG+에/JKB
김용준	김용준/NNP
전	전/MM
헌법재판소장을	헌법재판소/NNG+장/XSN+을/JKO
임명했다	임명하/VV+였/EP+다/EC

박	박/NNP
당선인	당선/NNG+이/VCP+ㄴ/ETM
측	측/NNB
윤창중	윤창중/NNP
수석대변인은	수석대변인/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
서울	서울/NNP
여의도	여의도/NNP
당사에서	당사/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
열고	열/VV+고/EC
이	이/NP
같은	같/VA+은/ETM
내용의	내용/NNG+의/JKG
1차	1/SN+차/NNB
인수위원회	인수위원회/NNG
인선안을	인선안/NNG+을/JKO
발표했다	발표하/VV+였/EP+다/EC

윤	윤/NNP
대변인은	대변인/NNG+은/JX
김용준	김용준/NNP
전	전/MM
헌재소장	헌재소장/NNG
임명에	임명/NNG+에/JKB
대해	대하/VV+여/EC
“당선인의	“/SL+당선인/NNG+의/JKG
법치와	법치/NNG+와/JC
사회	사회/NNG
안전에	안전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
확고한	확고하/VA+ㄴ/ETM
소신을	소신/NNG+을/JKO
뒷받침하고,	뒷받침하/VV+고/EC+,/SP
대통령직	대통령직/NNG
인수위를	인수위/NNG+를/JKO
통해	통하/VV+여/EC
새	새/MM
정부가	정부/NNG+가/JKS
원활하게	원활하/VA+게/EC
출범할	출범하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
준비해	준비하/VV+여/EC
줄	주/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다”고	기대하/VV+ㄴ다/EC+”/VX+고/EC
밝혔다	밝히/VV+었/EP+다/EC

소아마비	소아마비/NNG
장애인인	장애인/NNG+이/VCP+ㄴ/ETM
김	김/NNP
위원장(74)은	위원장/NNG+(/SS+74/SN+)/SS+은/JX
서울출신으로	서울/NNP+출신/NNG+으로/JKB
지난	지나/VV+ㄴ/ETM
1960년	1960/SN+년/NNB
대구지방법원	대구/NNP+지방법원/NNG
판사로	판사/NNG+로/JKB
법조계에	법조계/NNG+에/JKB
입문했다	입문하/VV+였/EP+다/EF

이후,	이후/NNG+,/SP
서울고법	서울/NNP+고법/NNG
부장판사,	부장판사/NNG+,/SP
서울가정법원장을	서울/NNP+가정법원장/NNG+을/JKO
거쳐	거치/VV+어/EC
1994년	1994/SN+년/NNB
대법관에서	대법관/NNG+에서/JKB
퇴임했으며,	퇴임하/VV+였/EP+으며/EC+,/SP
같은	같/VA+은/ETM
해	해/NNG
제2대	제/XPN+2/SN+대/NNB
헌법재판소	헌법재판소/NNG
소장으로	소장/NNG+으로/JKB
취임해	취임하/VV+여/EC
2000년	2000/SN+년/NNB
임기	임기/NNG
만료로	만료/NNG+로/JKB
물러났다	물러나/VV+았/EP+다/EF

<1차	</SS+1/SN+차/NNB
인수위	인수위/NNG
인선	인선/NNG
명단>인수위원회위원장	명단/NNG+>/SS+인수위원회위원장/NNG
김용준	김용준/NNP
전	전/MM
헌법재판소장	헌법재판소/NNG+장/XSN
부위원장	부위원장/NNG
진영	진영/NNP
새누리당	새누리당/NNP
정책위의장	정책위의장/NNG
국민대통합위원회	국민대/NNP+통합위원회/NNG
위원장	위원장/NNG
한광옥	한광옥/NNP
전	전/MM
민주당	민주당/NNP
대표	대표/NNG
수석부위원장	수석부위원장/NNG
김경재	김경재/NNP
전	전/MM
의원	의원/NNG
부위원장	부위원장/NNG
인요한	인요하/VV+ㄴ/ETM
연세대	연세대/NNP
교수윤주경	교수윤주경/NNG
매헌기념사업회	매헌기념사업회/NNG
이사	이사/NNG
김중태	김중태/NNP
전	전/MM
서울대민족주의비교연구회	서울/NNP+대민족주의비교연구회/NNG
회장	회장/NNG
청년특별위원회	청년특별위원회/NNG
위원장	위원장/NNG
김상민	김상민/NNP
의원	의원/NNG
위원	위원/NNG
정현호	정현호/NNP
전	전/MM
전국대학총학생회모임	전국대학총학생회모임/NNP
집행의장	집행의장/NNG
위원	위원/NNG
윤상규	윤상규/NNP
네오위즈게임즈	네오위즈게임즈/NNP
대표이사	대표이사/NNG
위원	위원/NNG
박칼린	박칼린/NNP
킥뮤지컬스튜디오	킥/SL+뮤지컬스튜디오/NNG
예술감독	예술감독/NNG
위원	위원/NNG
하지원	하지원/NNP
에코맘코리아	에코맘코리아/NNP
대표	대표/NNG
위원	위원/NNG
오신환	오신환/NNP
새누리당	새누리당/NNP
중앙청년위원장	중앙청년위원장/NNG
위원	위원/NNG
이종식	이종식/NNP
채널A	채널/NNG+A/SL
기자	기자/NNG
