與	與/SL
'기회균등위	'/SS+기회균등위/NNG
신설'	신설/NNG+'/SS
'대통령	'/SS+대통령/NNG
인사권	인사권/NNG
분산'	분산/NNG+'/SS
제시(종합)	제시/NNG+(/SS+종합/NNG+)/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
김화영	김화영/NNP
박성민	박성민/NNP
기자	기자/NNG
=	=/SW
새누리당	새누리당/NNP
대선기구인	대선기구/NNG+이/VCP+ㄴ/ETM
정치쇄신특위는	정치쇄신특위/NNG+는/JX
27일	27/SN+일/NNB
여성,	여성/NNG+,/SP
다문화	다/XPN+문화/NNG
가정,	가정/NNG+,/SP
장애인,	장애인/NNG+,/SP
젊은	젊/VA+은/ETM
층	층/NNG
등	등/NNB
사회적	사회적/NNG
소수자	소수자/NNG
배려를	배려/NNG+를/JKO
위해	위하/VV+여/EC
정부에	정부/NNG+에/JKB
`기회균등위원회'를	`/SW+기회균등위원회/NNG+'/SS+를/JKO
신설하는	신설하/VV+는/ETM
방안을	방안/NNG+을/JKO
박근혜	박근혜/NNP
후보의	후보/NNG+의/JKG
12월	12/SN+월/NNB
대선	대선/NNG
공약으로	공약/NNG+으로/JKB
제시했다	제시하/VV+였/EP+다/EF

안대희	안대희/NNP
특위	특위/NNG
위원장은	위원장/NNG+은/JX
이날	이날/NNG
여의도	여의도/NNP
당사에서	당사/NNG+에서/JKB
가진	가지/VV+ㄴ/ETM
활동	활동/NNG
경과보고	경과보고/NNG
브리핑을	브리핑/NNG+을/JKO
통해	통하/VV+여/EC
이같이	이같이/MAG
제안하며	제안하/VV+며/EC
"앞으로	"/SS+앞/NNG+으로/JKB
정부가	정부/NNG+가/JKS
국민대통합의	국민대/NNP+통합/NNG+의/JKG
기치	기치/NNG
아래	아래/NNG
진정하고	진정하/VA+고/EC
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
헌법과	헌법/NNG+과/JC
법률에	법률/NNG+에/JKB
따라	따르/VV+아/EC
운영돼야	운영되/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
특위의	특위/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
모아	모으/VV+아/EC
박	박/NNP
후보에게	후보/NNG+에게/JKB
건의했다"고	건의하/VV+였/EP+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
박	박/NNP
후보는	후보/NNG+는/JX
조윤선	조윤선/NNP
당	당/NNG
공동대변인을	공동대변인/NNG+을/JKO
통해	통하/VV+여/EC
"그동안	"/SS+그동안/NNG
생각해온	생각하/VV+여/EC+오/VX+ㄴ/ETM
정치쇄신의	정치쇄신/NNG+의/JKG
방향과	방향/NNG+과/JKB
일치한다	일치하/VV+ㄴ다/EF

안	안/NNP
위원장의	위원장/NNG+의/JKG
제안을	제안/NNG+을/JKO
흔쾌히	흔쾌히/MAG
수락한다"고	수락하/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

정부조직법에	정부조직법/NNG+에/JKB
근거해	근거하/VV+여/EC
설치되는	설치되/VV+는/ETM
기회균등위는	기회균등위/NNG+는/JX
매년	매년/MAG
인사균형지표를	인사균형지표/NNG+를/JKO
조사,	조사/NNG+,/SP
사회적	사회적/NNG
소수자	소수자/NNG
배려가	배려/NNG+가/JKS
정부	정부/NNG
각	각/MM
부처의	부처/NNG+의/JKG
인사나	인사/NNG+나/JC
사회	사회/NNG
전반의	전반/NNG+의/JKG
각종	각종/NNG
기회에	기회/NNG+에/JKB
충실히	충실히/MAG
반영되어	반영되/VV+어/EC
있는지를	있/VX+는지/EC+를/JKO
확인,	확인/NNG+,/SP
감독해	감독하/VV+여/EC
발표하게	발표하/VV+게/EC
된다	되/VV+ㄴ다/EF

아울러	아울러/MAG
특정	특정/NNG
지역이나	지역/NNG+이나/JC
대학	대학/NNG
출신자가	출신자/NNG+가/JKS
공직이나	공직/NNG+이나/JC
공공기관에	공공기관/NNG+에/JKB
과도하게	과도하/VA+게/EC
분포하거나	분포하/VV+거나/EC
편중돼	편중되/VV+어/EC
있지	있/VX+지/EC
않은지도	않/VX+은지/EC+도/JX
지속	지속/NNG
감시하는	감시하/VV+는/ETM
기능을	기능/NNG+을/JKO
맡는다고	맡/VV+는다고/EC
특위는	특위/NNG+는/JX
설명했다	설명하/VV+었/EP+다/EC

안	안/NNP
위원장은	위원장/NNG+은/JX
"그동안	"/SS+그동안/NNG
특정	특정/NNG
지역	지역/NNG
출신이나	출신/NNG+이나/JC
특정	특정/NNG
종교를	종교/NNG+를/JKO
믿는	믿/VV+는/ETM
사람이	사람/NNG+이/JKS
(쏠려	(/SS+쏠리/VV+어/EC
있다는)	있/VX+다는/ETM+)/SS
지적이	지적/NNG+이/JKS
있었다"며	있/VA+었/EP+다/EF+"/SS+며/EC
"그런	"/SS+그런/MM
부분에	부분/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
객관적인	객관적/NNG+이/VCP+ㄴ/ETM
수치를	수치/NNG+를/JKO
본다는	보/VV+ㄴ다는/ETM
것보다	것/NNB+보다/JKB
진정	진정/NNG
능력이	능력/NNG+이/JKS
있는	있/VA+는/ETM
사람이	사람/NNG+이/JKS
갈	가/VV+ㄹ/ETM
수	수/NNB
있도록,	있/VA+도록/EC+,/SP
명목상으로	명목/NNG+상/XSN+으로/JKB
맞춰놓은	맞추/VV+어/EC+놓/VX+은/ETM
인사가	인사/NNG+가/JKC
아닌지를	아니/VCN+ㄴ지/EC+를/JKO
살핀다는	살피/VV+ㄴ다는/ETM
의미"라고	의미/NNG+"/SS+라고/JKQ
설명했다	설명하/VV+었/EP+다/EC

특위는	특위/NNG+는/JX
나아가	나아가/VV+아/EC
"정파ㆍ계파에	"/SS+정파/NNG+ㆍ/SP+계파/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
인사가	인사/NNG+가/JKC
아니라,	아니/VCN+라/EC+,/SP
능력	능력/NNG
위주로	위주/NNG+로/JKB
국민통합인사를	국민통합인사/NNG+를/JKO
시행할	시행하/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"덕망과	"/SS+덕망/NNG+과/JC
능력이	능력/NNG+이/JKS
있는	있/VA+는/ETM
분이면	분/NNB+이/VCP+면/EC
정치	정치/NNG
성향과	성향/NNG+과/JKB
관계없이	관계없이/MAG
발탁하도록	발탁하/VV+도록/EC
하겠다"고	하/VX+겠/EP+다/EF+"/SS+고/JKQ
탕평인사의	탕평인사/NNG+의/JKG
원칙도	원칙/NNG+도/JX
제시했다	제시하/VV+였/EP+다/EC

특위는	특위/NNG+는/JX
또	또/MAG
책임총리제와	책임총리/NNG+제/XSN+와/JC
책임장관제를	책임장관제/NNG+를/JKO
실시해	실시하/VV+여/EC
총리의	총리/NNG+의/JKG
국무위원	국무위원/NNG
제청권과	제청/NNG+권/XSN+과/JC
같이	같이/MAG
헌법과	헌법/NNG+과/JC
법률에	법률/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
실질적	실질적/NNG
권한과	권한/NNG+과/JC
책임을	책임/NNG+을/JKO
부여하겠다고	부여하/VV+겠/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

특히	특히/MAG
총리에게	총리/NNG+에게/JKB
3배수	3/SN+배수/NNG
정도의	정도/NNG+의/JKG
국무위원	국무위원/NNG
제청권을	제청/NNG+권/XSN+을/JKO
보장,	보장/NNG+,/SP
총리의	총리/NNG+의/JKG
제청에	제청/NNG+에/JKB
따라	따르/VV+아/EC
대통령이	대통령/NNG+이/JKS
국무위원을	국무위원/NNG+을/JKO
임명하고,	임명하/VV+고/EC+,/SP
장관에게도	장관/NNG+에게/JKB+도/JX
부처	부처/NNG
및	및/MAG
산하기관장	산하기관장/NNG
인사권을	인사권/NNG+을/JKO
보장하는	보장하/VV+는/ETM
방안을	방안/NNG+을/JKO
제도화할	제도화하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

특위는	특위/NNG+는/JX
"총리	"/SS+총리/NNG
제청권이나	제청/NNG+권/XSN+이나/JC
장관	장관/NNG
인사권	인사권/NNG
행사에는	행사/NNG+에/JKB+는/JX
지연과	지연/NNG+과/JC
학연을	학연/NNG+을/JKO
혁파하고	혁파하/VV+고/EC
사회적	사회적/NNG
소수자를	소수자/NNG+를/JKO
배려하기	배려하/VV+기/ETN
위해	위하/VV+여/EC
기회균등위의	기회균등위/NNG+의/JKG
검토를	검토/NNG+를/JKO
거치도록	거치/VV+도록/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
전했다	전하/VV+었/EP+다/EC

이외에도	이외/NNG+에/JKB+도/JX
국회를	국회/NNG+를/JKO
존중하는	존중하/VV+는/ETM
차원에서	차원/NNG+에서/JKB
임기	임기/NNG
중	중/NNB
매년	매년/MAG
정기국회	정기국회/NNG
정례연설을	정례연설/NNG+을/JKO
하고,	하/VV+고/EC+,/SP
여야	여야/NNG
정당	정당/NNG
및	및/MAG
의회	의회/NNG
지도부와	지도부/NNG+와/JC
격의	격의/NNG
없는	없/VA+는/ETM
정책간담회를	정책간담회/NNG+를/JKO
정례화하는	정례/NNG+화/XSN+하/XSV+는/ETM
등	등/NNB
대통령이	대통령/NNG+이/JKS
수시로	수시로/MAG
여의도를	여의도/NNP+를/JKO
먼저	먼저/MAG
찾도록	찾/VV+도록/EC
하겠다고	하/VX+겠/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

국민의	국민/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
현장에서	현장/NNG+에서/JKB
듣기	듣/VV+기/ETN
위해	위하/VV+여/EC
대통령이	대통령/NNG+이/JKS
직접	직접/MAG
지방에서	지방/NNG+에서/JKB
`찾아가는	`/SW+찾아가/VV+는/ETM
국무회의'를	국무회의/NNG+'/SS+를/JKO
개최하기로	개최하/VV+기/ETN+로/JKB
했고,	하/VV+였/EP+고/EC+,/SP
국민ㆍ공무원과	국민/NNP+ㆍ/SP+공무원/NNG+과/JC
소통을	소통/NNG+을/JKO
용이하게	용이하/VA+게/EC
한다는	하/VX+ㄴ다는/ETM
의미에서	의미/NNG+에서/JKB
대통령이	대통령/NNG+이/JKS
청와대	청와대/NNP
비서관ㆍ보좌관과	비서관/NNG+ㆍ/SP+보좌관/NNG+과/JKB
함께	함께/MAG
일할	일하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
청와대	청와대/NNP
집무실	집무실/NNG
이전	이전/NNG
방안도	방안/NNG+도/JX
내놓았다	내놓/VV+았/EP+다/EC

특히	특히/MAG
안대희	안대희/NNP
위원장은	위원장/NNG+은/JX
당내	당내/NNG
소통	소통/NNG
부족을	부족/NNG+을/JKO
간접적으로	간접적/NNG+으로/JKB
지적한	지적하/VV+ㄴ/ETM
뒤	뒤/NNG
"대선	"/SS+대선/NNG
선대위를	선대위/NNG+를/JKO
구성,	구성/NNG+,/SP
운영함에	운영하/VV+ㅁ/ETN+에/JKB
있어서도	있/VA+어서/EC+도/JX
소통의	소통/NNG+의/JKG
기본을	기본/NNG+을/JKO
살려	살리/VV+어/EC
내부	내부/NNG
기구	기구/NNG
상호간의	상호/NNG+간/NNB+의/JKG
균형은	균형/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
기구와	기구/NNG+와/JC
후보	후보/NNG
사이에도	사이/NNG+에/JKB+도/JX
원활한	원활하/VA+ㄴ/ETM
소통이	소통/NNG+이/JKS
이뤄지는	이루어지/VV+는/ETM
선대위가	선대위/NNG+가/JKC
돼야	되/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
후보에게	후보/NNG+에게/JKB
건의했다"고	건의하/VV+였/EP+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

min22@yna	min/SL+22/SN+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
