10년	10/SN+년/NNB
간	간/XSN
피땀으로	피땀/NNG+으로/JKB
제정된	제정되/VV+ㄴ/ETM
‘장애인	‘/SN+장애인/NNG
법’	법/NNG+’/SN

장애인	장애인/NNG
대표언론	대표언론/NNG
에이블뉴스가	에이블뉴스/NNG+가/JKS
10살이	10/SN+살/NNB+이/JKC
됐다	되/VV+었/EP+다/EC

지난	지나/VV+ㄴ/ETM
2002년	2002/SN+년/NNB
12월	12/SN+월/NNB
창간된	창간되/VV+ㄴ/ETM
에이블뉴스는	에이블뉴스/NNP+는/JX
발	발/NNG
빠르고,	빠르/VA+고/EC+,/SP
심층적인	심층/NNG+적/XSN+이/VCP+ㄴ/ETM
보도로	보도/NNG+로/JKB
480만	480/SN+만/NR
장애인들의	장애인/NNG+들/XSN+의/JKG
든든한	든든하/VA+ㄴ/ETM
언론으로	언론/NNG+으로/JKB
자리	자리/NNG
잡았다	잡/VV+았/EP+다/EC

에이블뉴스가	에이블뉴스/NNP+가/JKS
장애인과	장애인/NNG+과/JKB
마주한지	마주하/VV+ㄴ/ETM+지/NNB
10년,	10/SN+년/NNB+,/SP
그동안	그동안/NNG
장애계에서는	장애/NNG+계/XSN+에서/JKB+는/JX
‘사람답게	‘/SN+사람/NNG+답/XSA+게/EC
살기위한’	살/VV+기/ETN+위하/VV+ㄴ/ETM+’/SN
법	법/NNG
개정을	개정/NNG+을/JKO
위해	위하/VV+여/EC
정부를	정부/NNG+를/JKO
상대로	상대/NNG+로/JKB
투쟁해왔으며,	투쟁하/VV+여/EC+오/VX+았/EP+으며/EC+,/SP
10년이	10/SN+년/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
현재도	현재/NNG+도/JX
진행	진행/NNG
중이다	중/NNB+이/VCP+다/EC

본지는	본지/NNG+는/JX
그간	그간/NNG
10년간	10/SN+년/NNB+간/XSN
조사한	조사하/VV+ㄴ/ETM
장애인계	장애인계/NNG
최고	최고/NNG
키워드에	키워드/NNG+에/JKB
담긴	담기/VV+ㄴ/ETM
헌신과	헌신/NNG+과/JC
투쟁으로	투쟁/NNG+으로/JKB
제정을	제정/NNG+을/JKO
이끌어낸	이끌/VV+어/EC+내/VX+ㄴ/ETM
피땀	피땀/NNG
맺힌	맺히/VV+ㄴ/ETM
4개의	4/SN+개/NNB+의/JKG
주요	주요/NNG
법안을	법안/NNG+을/JKO
소개하려	소개하/VV+려/EC
한다	하/VX+ㄴ다/EF

■2008년	■/SW+2008/SN+년/NNB
장애인차별금지법=“어쩜	장애인차별금지법/NNG+=/SW+“/SN+어/XSN+쩜/SL
이리도	이리/NNG+도/JX
힘들고,	힘들/VA+고/EC+,/SP
어려웠을까	어렵/VA+었/EP+을까/EC

”	”/SL
