장애인들	장애인/NNG+들/XSN
‘장애인복지법	‘/SN+장애인복지법/NNG
개정’	개정’/NNG
화요집회	화요집회/NNG
돌입	돌입/NNG

한국장애인단체총연합회와	한국장애인단체총연합회/NNP+와/JC
한국장애인자립생활센터총연합회(이하	한국장애인자립생활센터총연합회/NNP+(/SS+이하/NNG
한자연)가	한자연/NNP+)/SS+가/JKS
중증장애인의	중증장애인/NNG+의/JKG
자립생활	자립생활/NNG
실현을	실현/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
장애인복지법	장애인복지법/NNG
개정	개정/NNG
촉구	촉구/NNG
릴레이	릴레이/NNG
화요집회에	화요집회/NNG+에/JKB
돌입했다	돌입하/VV+였/EP+다/EC

이들	이/NP+들/XSN
단체의	단체/NNG+의/JKG
회원	회원/NNG
170여명은	170/SN+여/XSN+명/NNB+은/JX
9일	9/SN+일/NNB
오후	오후/NNG
2시께	2/SN+시/NNB+께/XSN
이룸센터	이룸센터/NNG
앞에서	앞/NNG+에서/JKB
‘제1차	‘/SN+제/XPN+1/SN+차/NNB
장애인복지법	장애인복지법/NNG
개정	개정/NNG
촉구	촉구/NNG
화요집회’를	화요집회/NNG+’/SL+를/JKO
가졌다	가지/VV+었/EP+다/EC

화요집회에	화요집회/NNG+에/JKB
돌입한	돌입하/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
지난달	지난달/NNG
24일	24/SN+일/NNB
새누리당	새누리당/NNP
김정록	김정록/NNP
국회의원이	국회의원/NNG+이/JKS
장애인의	장애인/NNG+의/JKG
자립생활	자립생활/NNG
지원	지원/NNG
내용을	내용/NNG+을/JKO
담아	담/VV+아/EC
발의한	발의하/VV+ㄴ/ETM
장애인복지법	장애인복지법/NNG
개정안이	개정안/NNG+이/JKS
올해	올해/NNG
안에	안/NNG+에/JKB
국회를	국회/NNG+를/JKO
통과하길	통과하/VV+기/ETN+ㄹ/JKO
바라는	바라/VV+는/ETM
마음에서다	마음/NNG+에서/JKB+다/JX

김	김/NNP
의원이	의원/NNG+이/JKS
발의한	발의하/VV+ㄴ/ETM
개정안에는	개정안/NNG+에/JKB+는/JX
장애인정책종합계획에	장애인정책종합계획/NNG+에/JKB
장애인의	장애인/NNG+의/JKG
자립생활에	자립생활/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
사항을	사항/NNG+을/JKO
포함시켰고,	포함/NNG+시키/XSV+었/EP+고/EC+,/SP
국가와	국가/NNG+와/JC
지방자치단체가	지방자치단체/NNG+가/JKS
장애인의	장애인/NNG+의/JKG
자립생활	자립생활/NNG
실현을	실현/NNG+을/JKO
위해	위하/VV+여/EC
장애인에게	장애인/NNG+에게/JKB
공공주택을	공공주택/NNG+을/JKO
우선	우선/MAG
분양	분양/NNG
및	및/MAG
임대하도록	임대하/VV+도록/EC
했다	하/VX+였/EP+다/EC

또한	또한/MAG
장애인복지시설에	장애인복지시설/NNG+에/JKB
장애인자립생활센터를	장애인자립생활센터/NNG+를/JKO
포함하고	포함하/VV+고/EC
동료상담,	동료상담/NNG+,/SP
활동보조	활동보조/NNG
등의	등/NNB+의/JKG
자립생활서비스를	자립생활서비스/NNG+를/JKO
제공하는	제공하/VV+는/ETM
내용이	내용/NNG+이/JKS
명시함으로써	명시하/VV+ㅁ/ETN+으로써/JKB
중증장애인이	중증장애인/NNG+이/JKS
지역사회에서	지역사회/NNG+에서/JKB
‘인간답게’	‘/SN+인간/NNG+답/XSA+게/EC+’/JX
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고	하/VX+고/EC
있다	있/VX+다/EC

이날	이날/NNG
부산시	부산시/NNP
사상구장애인자립생활센터	사상구장애인자립생활센터/NNG
노경수	노경수/NNP
소장은	소장/NNG+은/JX
“18년	“/SL+18/SN+년/NNB
동안	동안/NNG
재가장애인으로	재가장애인/NNG+으로/JKB
사는	살/VV+는/ETM
동안	동안/NNG
국가는	국가/NNG+는/JX
아무런	아무런/MM
관심도	관심/NNG+도/JX
기울이지	기울이/VV+지/EC
않았으며,	않/VX+았/EP+으며/EC+,/SP
시설에서	시설/NNG+에서/JKB
지내는	지내/VV+는/ETM
동안에는	동안/NNG+에/JKB+는/JX
장애인이	장애인/NNG+이/JKS
생활교사에게	생활교사/NNG+에게/JKB
억울하게	억울하/VA+게/EC
맞아	맞/VV+아/EC
죽는	죽/VV+는/ETM
모습과	모습/NNG+과/JC
장애인의	장애인/NNG+의/JKG
노동력을	노동력/NNG+을/JKO
착취하는	착취하/VV+는/ETM
모습을	모습/NNG+을/JKO
보았다“고	보/VV+았/EP+다/EC+“/VX+고/EC
언급했다	언급하/VV+였/EP+다/EF

이어	이어/MAG
노	노/NNP
소장은	소장/NNG+은/JX
“이후	“/SL+이후/NNG
시설에서	시설/NNG+에서/JKB
나와	나오/VV+아/EC
자립생활(IL)을	자립생활/NNG+(/SS+IL/SL+)/SS+을/JKO
접하게	접하/VV+게/EC
됐고	되/VV+었/EP+고/EC
자립생활만이	자립생활/NNG+만/JX+이/JKS
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
삶의	삶/NNG+의/JKG
대안으로	대안/NNG+으로/JKB
생각하고	생각하/VV+고/EC
자립생활	자립생활/NNG
운동을	운동/NNG+을/JKO
해왔지만	하/VV+여/EC+오/VX+았/EP+지만/EC
