유명무실	유명무실/NNG
‘장애인활동지원’	‘/SN+장애인활동지원/NNG+’/SN

[창간	[/SS+창간/NNG
10주년	10/SN+주년/NNB
특집]	특집/NNG+]/SS
키워드로	키워드/NNG+로/JKB
되돌아본	되돌아보/VV+ㄴ/ETM
10년-⑤장애인	10/SN+년/NNB+-/SO+⑤/SN+장애인/NNG
대표언론	대표언론/NNG
에이블뉴스가	에이블뉴스/NNG+가/JKS
10살이	10/SN+살/NNB+이/JKC
됐다	되/VV+었/EP+다/EC

지난	지나/VV+ㄴ/ETM
2002년	2002/SN+년/NNB
12월	12/SN+월/NNB
창간된	창간되/VV+ㄴ/ETM
에이블뉴스는	에이블뉴스/NNP+는/JX
발	발/NNG
빠르고,	빠르/VA+고/EC+,/SP
심층적인	심층/NNG+적/XSN+이/VCP+ㄴ/ETM
보도로	보도/NNG+로/JKB
480만	480/SN+만/NR
장애인들의	장애인/NNG+들/XSN+의/JKG
든든한	든든하/VA+ㄴ/ETM
언론으로	언론/NNG+으로/JKB
자리	자리/NNG
잡았다	잡/VV+았/EP+다/EC

에이블뉴스가	에이블뉴스/NNP+가/JKS
장애인과	장애인/NNG+과/JKB
마주한지	마주하/VV+ㄴ/ETM+지/NNB
10년,	10/SN+년/NNB+,/SP
그동안	그동안/NNG
장애계에서는	장애/NNG+계/XSN+에서/JKB+는/JX
중증장애인의	중증장애인/NNG+의/JKG
일상생활	일상생활/NNG
지원을	지원/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
장애인활동지원제도(장애인활동지원서비스)가	장애인활동지원제도/NNG+(/SS+장애인활동지원서비스/NNG+)/SS+가/JKS
큰	크/VA+ㄴ/ETM
주목을	주목/NNG+을/JKO
끌었다	끌/VV+었/EP+다/EC

이는	이/NP+는/JX
장애인의	장애인/NNG+의/JKG
일상생활,	일상생활/NNG+,/SP
사회생활과	사회생활/NNG+과/JC
밀접하게	밀접하/VA+게/EC
관련돼	관련되/VV+어/EC
있기	있/VX+기/ETN
때문	때문/NNB

하지만	하지만/MAJ
내용면에서	내용면/NNG+에서/JKB
여전히	여전히/MAG
부족하다는	부족하/VA+다는/ETM
목소리가	목소리/NNG+가/JKS
높다	높/VA+다/EC

에이블뉴스가	에이블뉴스/NNP+가/JKS
장애인활동지원제도의	장애인활동지원제도/NNG+의/JKG
발자취를	발자취/NNG+를/JKO
되짚어	되짚/VV+어/EC
봤다	보/VX+았/EP+다/EF

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
회원	회원/NNG
20여명이	20/SN+여/XSN+명/NNB+이/JKS
2006년	2006/SN+년/NNB
1월	1/SN+월/NNB
3일	3/SN+일/NNB
정부과천종합청사	정부과천종합청사/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
서비스	서비스/NNG
제도화를	제도화/NNG+를/JKO
촉구하고	촉구하/VV+고/EC
있다	있/VX+다/EC

'장애인활동지원서비스'는	'/SS+장애인활동지원서비스/NNG+'/SS+는/JX
지난	지나/VV+ㄴ/ETM
2007년	2007/SN+년/NNB
전국적으로	전국적/NNG+으로/JKB
시행에	시행/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
뒤	뒤/NNG
지난해	지난해/NNG
10월부터	10/SN+월/NNB+부터/JX
장애인활동지원제도로	장애인활동지원제도/NNG+로/JKB
변경돼	변경되/VV+어/EC
확대	확대/NNG
시행되고	시행되/VV+고/EC
있다	있/VX+다/EC

혼자서	혼자/NNG+서/JKS
일상생활과	일상생활/NNG+과/JC
사회생활이	사회생활/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
중증장애인에게	중증장애인/NNG+에게/JKB
활동지원	활동지원/NNG
급여(시간)를	급여/NNG+(/SS+시간/NNG+)/SS+를/JKO
제공,	제공/NNG+,/SP
장애인의	장애인/NNG+의/JKG
자립을	자립/NNG+을/JKO
지원하고	지원하/VV+고/EC
그	그/MM
가족의	가족/NNG+의/JKG
부담을	부담/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
장애계의	장애/NNG+계/XSN+의/JKG
관심이	관심/NNG+이/JKS
클	크/VA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다	없/VA+다/EC

이를	이/NP+를/JKO
반증하듯	반증하/VV+듯/EC
지난	지나/VV+ㄴ/ETM
2006년부터	2006/SN+년/NNB+부터/JX
지난해까지	지난해/NNG+까지/JX
에이블뉴스가	에이블뉴스/NNP+가/JKS
진행한	진행하/VV+ㄴ/ETM
'올해의	'/SS+올해/NNG+의/JKG
10대	10/SN+대/NNG
키워드	키워드/NNG
설문조사'	설문조사/NNG+'/SS
결과	결과/NNG
매번	매번/MAG
상위에	상위/NNG+에/JKB
랭크됐다	랭크되/VV+었/EP+다/EF

그렇다면	그렇/VA+다면/EC
장애계에서	장애/NNG+계/XSN+에서/JKB
장애인활동지원의	장애인활동지원/NNG+의/JKG
필요성이	필요성/NNG+이/JKS
본격적으로	본격적/NNG+으로/JKB
부각되기	부각되/VV+기/ETN
시작한	시작하/VV+ㄴ/ETM
것은	것/NNB+은/JX
언제부터	언제/NP+부터/JX
일까?	이/VCP+ㄹ까/EF+?/SF
장애인활동지원의	장애인활동지원/NNG+의/JKG
필요성은	필요성/NNG+은/JX
2005년	2005/SN+년/NNB
12월	12/SN+월/NNB
대두됐다	대두되/VV+었/EP+다/EF

이는	이/NP+는/JX
당시	당시/NNG
경남	경남/NNP
함안군에	함안군/NNP+에/JKB
거주하던	거주하/VV+던/ETM
근무력증	근무력증/NNG
장애인	장애인/NNG
조모(남·지체5급)씨가	조/NNP+모/NP+(/SS+남/NNG+·/SP+지체/NNP+5/SN+급/NNG+)/SS+씨/NNB+가/JKS
홀로	홀로/MAG
거주하던	거주하/VV+던/ETM
집에서	집/NNG+에서/JKB
동사한	동사하/VV+ㄴ/ETM
채	채/NNB
발견되면서	발견되/VV+면서/EC
부터다	부터/VA+다/EC

조씨는	조/NNP+씨/NNB+는/JX
강추위에	강추위/NNG+에/JKB
수도배관이	수도배관/NNG+이/JKS
동파하면서	동파하/VV+면서/EC
터져	터지/VV+어/EC
나온	나오/VV+ㄴ/ETM
물에	물/NNG+에/JKB
대처하지	대처하/VV+지/EC
못했고,	못하/VX+였/EP+고/EC+,/SP
결국	결국/NNG
차가운	차갑/VA+ㄴ/ETM
물은	물/NNG+은/JX
이불을	이불/NNG+을/JKO
흠뻑	흠뻑/MAG
적셨다	적/VV+시었/EP+다/EF

조씨는	조/NNP+씨/NNB+는/JX
119에	119/SN+에/JKB
신고	신/VA+고/EC
조자할	조자하/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
만큼	만큼/NNB
중증장애인이었다	중증장애인/NNG+이/VCP+었/EP+다/EF

한	한/MM
중증장애인의	중증장애인/NNG+의/JKG
처참한	처참하/VA+ㄴ/ETM
죽음에	죽음/NNG+에/JKB
충격	충격/NNG
받은	받/VV+은/ETM
장애계는	장애/NNG+계/XSN+는/JX
2006년	2006/SN+년/NNB
중증장애인들을	중증장애인/NNG+들/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
활동보조인서비스	활동보조인서비스/NNG
제도화를	제도화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
범	범/XPN
장애계적	장애계적/NNG
투쟁에	투쟁/NNG+에/JKB
나섰다	나서/VV+었/EP+다/EF

장애계는	장애/NNG+계/XSN+는/JX
서울시청	서울/NNP+시청/NNG
등	등/NNB
전국	전국/NNG
각지에서	각지/NNG+에서/JKB
무기한	무기한/NNG
천막농성을	천막농성/NNG+을/JKO
벌였고,	벌이/VV+었/EP+고/EC+,/SP
한강대교를	한강대교/NNG+를/JKO
기어서	기/VV+어서/EC
건너다니는	건너다니/VV+는/ETM
투쟁도	투쟁/NNG+도/JX
벌였다	벌이/VV+었/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
장애계의	장애/NNG+계/XSN+의/JKG
투쟁에	투쟁/NNG+에/JKB
서울,	서울/NNP+,/SP
인천,	인천/NNP+,/SP
대구	대구/NNP
등	등/NNB
지자체는	지자체/NNG+는/JX
조례제정	조례제정/NNG
제도화를	제도화/NNG+를/JKO
약속했고,	약속하/VV+였/EP+고/EC+,/SP
