아동ㆍ장애인ㆍ노인	아동/MAG+ㆍ/SN+장애인ㆍ노인/NNG
학대	학대/NNG
신고	신고/NNG
의무화(종합)	의무화/NNG+(/SS+종합/NNG+)/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
이한승	이한승/NNP
기자	기자/NNG
=	=/SW
앞으로는	앞/NNG+으로/JKB+는/JX
복지시설	복지시설/NNG
종사자가	종사자/NNG+가/JKS
아동ㆍ장애인ㆍ노인에	아동ㆍ장애인ㆍ노인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
학대	학대/NNG
사실을	사실/NNG+을/JKO
신고하지	신고하/VV+지/EC
않으면	않/VX+으면/EC
과태료를	과태료/NNG+를/JKO
물게	물/VV+게/EC
된다	되/VV+ㄴ다/EF

정부는	정부/NNG+는/JX
16일	16/SN+일/NNB
세종로	세종로/NNP
정부중앙청사에서	정부중앙청사/NNG+에서/JKB
국무회의를	국무회의/NNG+를/JKO
열어	열/VV+어/EC
이	이/NP
같은	같/VA+은/ETM
내용이	내용/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
아동복지법	아동복지법/NNG
개정안,	개정안/NNG+,/SP
장애인	장애인/NNG
복지법	복지법/NNG
개정안,	개정안/NNG+,/SP
노인복지법	노인복지법/NNG
개정안의	개정안/NNG+의/JKG
공포안을	공포안/NNG+을/JKO
각각	각각/MAG
처리했다	처리하/VV+였/EP+다/EC

아동복지법	아동복지법/NNG
개정	개정/NNG
공포안에	공포안/NNG+에/JKB
따르면	따르/VV+면/EC
가정위탁지원센터,	가정위탁지원센터/NNG+,/SP
청소년시설	청소년시설/NNG
및	및/MAG
청소년단체,	청소년단체/NNG+,/SP
성폭력피해상담소	성폭력피해상담소/NNG
및	및/MAG
성폭력피해	성폭/NNG+력피하/VA+여/EC
아동보호시설	아동보호시설/NNG
종사자	종사자/NNG
등의	등/NNB+의/JKG
아동학대	아동학대/NNG
신고	신고/NNG
의무자가	의무자/NNG+가/JKS
신고의무를	신고의무/NNG+를/JKO
위반할	위반하/VV+ㄹ/ETM
경우	경우/NNG
300만원	300/SN+만/NR+원/NNB
이하의	이하/NNG+의/JKG
과태료를	과태료/NNG+를/JKO
내야	내/VV+어야/EC
한다	하/VX+ㄴ다/EF

또	또/MAG
국가와	국가/NNG+와/JC
지방자치단체는	지방자치단체/NNG+는/JX
아동보호구역	아동보호구역/NNG
내에	내/NNB+에/JKB
CCTV를	CCTV/SL+를/JKO
설치해야	설치하/VV+여야/EC
한다	하/VX+ㄴ다/EF

장애인복지법ㆍ노인복지법	장애인복지법/NNG+ㆍ/SP+노인복지법/NNG
개정	개정/NNG
공포안도	공포안/NNG+도/JX
시설	시설/NNG
종사자를	종사자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
장애인ㆍ노인	장애인ㆍ노인/NNG
학대	학대/NNG
신고를	신고/NNG+를/JKO
의무화했고,	의무화하/VV+였/EP+고/EC+,/SP
이를	이/NP+를/JKO
위반하면	위반하/VV+면/EC
300만원	300/SN+만/NR+원/NNB
이하의	이하/NNG+의/JKG
과태료를	과태료/NNG+를/JKO
부과하도록	부과하/VV+도록/EC
했다	하/VX+였/EP+다/EC

정부는	정부/NNG+는/JX
납부	납부/NNG
능력이	능력/NNG+이/JKS
있는데도	있/VA+는데/EC+도/JX
2년이	2/SN+년/NNB+이/JKS
넘도록	넘/VV+도록/EC
5천만원	5/SN+천만/NR+원/NNB
이상의	이상/NNG+의/JKG
연금보험료	연금보험료/NNG
등을	등/NNB+을/JKO
체납한	체납하/VV+ㄴ/ETM
경우	경우/NNG
인적사항과	인적사항/NNG+과/JKB
체납액을	체납액/NNG+을/JKO
공개할	공개하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
국민연금법	국민연금법/NNG
개정	개정/NNG
공포안도	공포안/NNG+도/JX
처리했다	처리하/VV+였/EP+다/EC

지진으로	지진/NNG+으로/JKB
인한	인하/VV+ㄴ/ETM
재해를	재해/NNG+를/JKO
풍수해보험	풍수하/VV+여/EC+보험/NNG
대상에	대상/NNG+에/JKB
포함하는	포함하/VV+는/ETM
풍수해보험법	풍수하/VA+여/EC+보험법/NNG
개정	개정/NNG
공포안,	공포안/NNG+,/SP
유족연금	유족연금/NNG
지급기간을	지급기간/NNG+을/JKO
