<대선	</SS+대선/NNG
D-1>	D/SL+-/SO+1/SN+>/SS
장애인	장애인/NNG
투표	투표/NNG
편의	편의/NNG
지원	지원/NNG
소개	소개/NNG

'문재인이냐,	'/SS+문재인/NNG+이/VCP+냐/EC+,/SP
박근혜냐,	박근혜냐/NNP+,/SP
아니면	아니/VCN+면/EC
또	또/MAG
다른	다른/MM
후보냐	후보/NNG+이/VCP+냐/EC

'18대	'/SS+18/SN+대/NNG
대통령	대통령/NNG
선거일이	선거일/NNG+이/JKS
하루	하루/NNG
앞으로	앞/NNG+으로/JKB
다가왔다	다가오/VV+았/EP+다/EC

오는	오/VV+는/ETM
12월	12/SN+월/NNB
19일은	19/SN+일/NNB+은/JX
소중한	소중하/VA+ㄴ/ETM
한	한/MM
표를	표/NNG+를/JKO
선사해서	선사하/VV+여서/EC
우리나라를	우리나라/NNG+를/JKO
잘	잘/MAG
이끌어나갈	이끌/VV+어/EC+나가/VX+ㄹ/ETM
적임자를	적임자/NNG+를/JKO
뽑아야	뽑/VV+아야/EC
하는	하/VX+는/ETM
아주	아주/MAG
중요한	중요하/VA+ㄴ/ETM
날이다	날/NNG+이/VCP+다/EC

또한	또한/MAG
동시선거가	동시선거/NNG+가/JKS
실시되는	실시되/VV+는/ETM
지역에서의	지역/NNG+에서/JKB+의/JKG
지역	지역/NNG
대표자와	대표자/NNG+와/JC
교육감을	교육감/NNG+을/JKO
뽑는	뽑/VV+는/ETM
날이기도	날/NNG+이/VCP+기/ETN+도/JX
하다	하/VX+다/EC

헌법에서	헌법/NNG+에서/JKB
보장하고	보장하/VV+고/EC
있는	있/VX+는/ETM
신성한	신성하/VA+ㄴ/ETM
권리이자	권리/NNG+이/VCP+자/EC
의무인	의무/NNG+이/VCP+ㄴ/ETM
참정권을	참정권/NNG+을/JKO
행사하지	행사하/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
중증장애인들의	중증장애인/NNG+들/XSN+의/JKG
현실	현실/NNG
속,	속/NNG+,/SP
이번	이번/NNG
대선에서의	대선/NNG+에서/JKB+의/JKG
투표	투표/NNG
편의	편의/NNG
지원	지원/NNG
내용을	내용/NNG+을/JKO
소개한다	소개하/VV+ㄴ다/EF

■새벽6시부터	■/SW+새벽/NNG+6/SN+시/NNB+부터/JX
오후6시까지=투표를	오후/NNG+6/SN+시/NNB+까지/JX+=/SW+투표/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사람은	사람/NNG+은/JX
현재	현재/MAG
만	만/MM
19세	19/SN+세/NNB
이상	이상/NNG

1993년	1993/SN+년/NNB
12월20일	12/SN+월/NNB+20/SN+일/NNB
이전	이전/NNG
출생자로서	출생자/NNG+로서/JKB
선거인명부에	선거인명부/NNG+에/JKB
등재되	등재/VV+되/EC
있는	있/VX+는/ETM
사람이면	사람/NNG+이/VCP+면/EC
누구나	누구/NP+나/JX
투표가	투표/NNG+가/JKS
가능하다	가능하/VA+다/EC

장소는	장소/NNG+는/JX
선거관리위원회의	선거관리위원회/NNG+의/JKG
투표안내문을	투표안내문/NNG+을/JKO
참조하면	참조하/VV+면/EC
되고,	되/VV+고/EC+,/SP
투표장에	투표장/NNG+에/JKB
갈	가/VV+ㄹ/ETM
때는	때/NNG+는/JX
신분증명서가	신분증명서/NNG+가/JKS
없으면	없/VA+으면/EC
투표가	투표/NNG+가/JKS
불가능한	불가능하/VA+ㄴ/ETM
점을	점/NNG+을/JKO
기억해야	기억하/VV+여야/EC
한다	하/VX+ㄴ다/EF

주민등록증,	주민등록증/NNG+,/SP
여권	여권/NNG
,장애인등록증	,/SP+장애인등록증/NNG
등	등/NNB
사진이	사진/NNG+이/JKS
첨부된	첨부되/VV+ㄴ/ETM
신분증명서	신분증명서/NNG
하나를	하나/NR+를/JKO
꼭	꼭/MAG
가져가야	가져가/VV+아야/EC
하며,	하/VX+며/EC+,/SP
오전6시부터	오전/NNG+6/SN+시/NNB+부터/JX
오후	오후/NNG
6시까지	6/SN+시/NNB+까지/JX
실시하기	실시하/VV+기/ETN
때문에	때문/NNB+에/JKB
일을	일/NNG+을/JKO
마치고	마치/VV+고/EC
돌아오실	돌아오/VV+시/EP+ㄹ/ETM
때나	때/NNG+나/JX
잠깐	잠깐/MAG
틈을	틈/NNG+을/JKO
내서	내/VV+어서/EC
투표할	투표하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

■중증장애인	■/SW+중증장애인/NNG
동반투표	동반투표/NNG
가능=중증장애인	가능/NNG+=/SW+중증장애/NNG+이/VCP+ㄴ/ETM
경우,	경우/NNG+,/SP
참정권을	참정권/NNG+을/JKO
행사하지	행사하/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
것이	것/NNB+이/JKS
현실이다	현실/NNG+이/VCP+다/EC

투표소에	투표소/NNG+에/JKB
가지	가/VV+지/EC
못하는	못하/VX+는/ETM
이동권	이동/NNG+권/XSN
문제,	문제/NNG+,/SP
때로는	때로/MAG+는/JX
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
편의시설	편의시설/NNG
미비	미비/NNG
등으로	등/NNB+으로/JKB
제대로	제대로/MAG
투표조차	투표/NNG+조차/JX
행사하지	행사하/VV+지/EC
못해온	못하/VX+여/EC+오/VX+ㄴ/ETM
것	것/NNB

이에	이/NP+에/JKB
올해부터	올해/NNG+부터/JX
장애인의	장애인/NNG+의/JKG
참정권	참정권/NNG
보장을	보장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
방안이	방안/NNG+이/JKS
강화됐다	강화되/VV+었/EP+다/EF

먼저	먼저/MAG
의사결정	의사결정/NNG
능력은	능력/NNG+은/JX
있지만	있/VA+지만/EC
신체장애가	신체장애/NNG+가/JKS
심한	심하/VA+ㄴ/ETM
장애인들,	장애인/NNG+들/XSN+,/SP
해당	해당/NNG
후보자의	후보자/NNG+의/JKG
란에	란/NNG+에/JKB
직접	직접/MAG
기표할	기표하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
지적·자폐성장애인에	지적/NNG+·/SP+자폐성장애인/NNG+에/JKB
한해	한/MM+해/NNB
동반투표가	동반투표/NNG+가/JKS
허용된다	허용되/VV+ㄴ다/EF

앞서	앞서/MAG
지난해까지는	지난해/NNG+까지는/JX
공직선거법상	공직선거법/NNG+상/XSN
시각과	시각/NNG+과/JC
지체장애인에	지체장애인/NNG+에/JKB
한해	한/MM+해/NNB
동반	동반/NNG
투표가	투표/NNG+가/JKS
가능했지만,	가능하/VA+였/EP+지만/EC+,/SP
지난	지나/VV+ㄴ/ETM
4·11총선부터	4/SN+·/SP+11/SN+총선/NNG+부터/JX
타인의	타인/NNG+의/JKG
도움을	도움/NNG+을/JKO
받아	받/VV+아/EC
투표권을	투표권/NNG+을/JKO
행사할	행사하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다	되/VV+었/EP+다/EC

■투표장	■/SW+투표장/NNG
속	속/NNG
편의	편/NNG+의/JKG
보장=투표소에	보장/NNG+=/SW+투표소/NNG+에/JKB
장애인	장애인/NNG
출입통로가	출입통로/NNG+가/JKS
없거나	없/VA+거나/EC
투표소가	투표소/NNG+가/JKS
1층	1/SN+층/NNG
이외의	이외/NNG+의/JKG
곳에	곳/NNG+에/JKB
설치돼있어	설치되/VV+어/EC+있/VX+어/EC
거동이	거동/NNG+이/JKS
힘든	힘들/VA+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
1층에서	1/SN+층/NNG+에서/JKB
부득이하게	부득이하/VA+게/EC
투표를	투표/NNG+를/JKO
실시하고자	실시하/VV+고자/EC
할	하/VX+ㄹ/ETM
경우,	경우/NNG+,/SP
1층에	1/SN+층/NNG+에/JKB
별도의	별도/NNG+의/JKG
기표소를	기표소/NNG+를/JKO
임시로	임시/NNG+로/JKB
설치해	설치하/VV+여/EC
장애인이	장애인/NNG+이/JKS
투표할	투표하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지원된다	지원되/VV+ㄴ다/EF

또한	또한/MAG
직접	직접/MAG
투표소에	투표소/NNG+에/JKB
가서	가/VV+아서/EC
투표하기를	투표하/VV+기/ETN+를/JKO
희망하지만	희망하/VV+지만/EC
거동이	거동/NNG+이/JKS
힘들어	힘들/VA+어/EC
이동이	이동/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인의	중증장애인/NNG+의/JKG
경우,	경우/NNG+,/SP
이동을	이동/NNG+을/JKO
지원한다	지원하/VV+ㄴ다/EC

투표	투표/NNG
전날까지	전날/NNG+까지/JX
관할	관할/NNG
선관위에	선관위/NNG+에/JKB
전화로	전화/NNG+로/JKB
교통편의를	교통편의/NNG+를/JKO
요청하면	요청하/VV+면/EC
휠체어	휠체어/NNG
탑재가	탑재/NNG+가/JKS
가능한	가능하/VA+ㄴ/ETM
장애인	장애인/NNG
전용차량	전용차량/NNG
등을	등/NNB+을/JKO
지원받아	지원/NNG+받/VV+아/EC
자택에서	자택/NNG+에서/JKB
투표소까지	투표소/NNG+까지/JX
편리하게	편리하/VA+게/EC
이동할	이동하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

또한	또한/MAG
활동보조인을	활동보조인/NNG+을/JKO
차량	차량/NNG
1대당	1/SN+대/NNB+당/XSN
2명씩	2/SN+명/NNB+씩/XSN
배치,	배치/NNG+,/SP
장애인유권자가	장애인유권자/NNG+가/JKS
이동하는데	이동하/VV+는/ETM+데/NNB
불편이	불편/NNG+이/JKS
없도록	없/VA+도록/EC
보조하는	보조하/VV+는/ETM
등	등/NNB
투표권	투표권/NNG
행사에	행사/NNG+에/JKB
필요한	필요하/VA+ㄴ/ETM
각종	각종/NNG
편의가	편의/NNG+가/JKS
제공된다	제공되/VV+ㄴ다/EF

■시각장애인들	■/SW+시각장애인/NNG+들/XSN
편의	편의/NNG
보장=시각장애인	보장/NNG+=/SW+시각장애인/NNG
유권자를	유권자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
편의시설도	편의시설/NNG+도/JX
보장했다	보장하/VV+였/EP+다/EC

먼저	먼저/MAG
시각장애선거인에게	시각장애선거인/NNG+에게/JKB
점자	점자/NNG
투표안내문	투표안내문/NNG
발송을	발송/NNG+을/JKO
했으며,	하/VV+였/EP+으며/EC+,/SP
‘투표용지	‘/SL+투표용지/NNG
고정	고정/NNG
홈’이	홈’/NNG+이/JKS
있는	있/VA+는/ETM
시각장애인용	시각장애인용/NNG
