중앙선관위,	중앙선관위/NNG+,/SP
21~25일	21/SN+~/SO+25/SN+일/NNB
부재자신고	부재자신고/NNG
접수	접수/NNG

중앙선거관리위원회(이하	중앙선거관리위원회/NNG+(/SS+이하/NNG
중앙선관위)가	중앙선관위/NNG+)/SS+가/JKS
오는	오/VV+는/ETM
21일부터	21/SN+일/NNB+부터/JX
25일까지	25/SN+일/NNB+까지/JX
제19대	제/XPN+19/SN+대/NNG
대통령	대통령/NNG
선거	선거/NNG
부재자신고를	부재자신고/NNG+를/JKO
받는다	받/VV+는다/EC

부재자신고는	부재자신고/NNG+는/JX
부재자신고서를	부재자신고서/NNG+를/JKO
작성해	작성하/VV+여/EC
본인의	본인/NNG+의/JKG
주민등록지를	주민등록지/NNG+를/JKO
관할하는	관할하/VV+는/ETM
구·시·군의	구/NNG+·/SP+시/NNG+·/SP+군/NNG+의/JKG
장이나	장이나/NNP
읍·면·동의	읍/NNG+·/SP+면/NNG+·/SP+동/NNG+의/JKG
장에게	장/NNG+에게/JKB
25일	25/SN+일/NNB
오후	오후/NNG
6시까지	6/SN+시/NNB+까지/JX
도착하도록	도착하/VV+도록/EC
우편발송(무료)하거나	우편발송/NNG+(/SS+무료/NNG+)/SS+하/XSV+거나/EC
직접	직접/MAG
제출하면	제출하/VV+면/EC
된다	되/VV+ㄴ다/EF

부재자신고서는	부재자신고서/NNG+는/JX
전국	전국/NNG
구·시·군청이나	구/NNG+·/SP+시/NNG+·/SP+군청/NNG+이나/JC
읍·면·동사무소에	읍/NNG+·/SP+면/NNG+·/SP+동사무소/NNG+에/JKB
비치돼	비치되/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
중앙선관위	중앙선관위/NNG
홈페이지(http://www	홈페이지/NNG+(/SS+http/SL+:///SP+www/SL

nec	nec/SL

go	go/SL

kr)나	kr/SL+)/SS+나/JC
행정안전부	행정안전부/NNG
및	및/MAG
구·시·군청	구/NNG+·/SP+시/NNG+·/SP+군청/NNG
홈페이지에서도	홈페이지/NNG+에서/JKB+도/JX
내려	내리/VV+어/EC
받을	받/VV+을/ETM
수	수/NNB
있다	있/VA+다/EC

선관위는	선관위/NNG+는/JX
부재자신고를	부재자신고/NNG+를/JKO
한	하/VV+ㄴ/ETM
선거인에게	선거인/NNG+에게/JKB
12월	12/SN+월/NNB
10일까지	10/SN+일/NNB+까지/JX
부재자투표용지를	부재자투표용지/NNG+를/JKO
발송할	발송하/VV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
선거인은	선거인/NNG+은/JX
선관위에서	선관위/NNG+에서/JKB
보낸	보내/VV+ㄴ/ETM
봉투와	봉투/NNG+와/JC
부재자투표용지를	부재자투표용지/NNG+를/JKO
갖고	갖/VV+고/EC
12월	12/SN+월/NNB
13일과	13/SN+일/NNB+과/JC
14일	14/SN+일/NNB
이틀간	이틀/NNG+간/XSN
전국에	전국/NNG+에/JKB
설치돼	설치되/VV+어/EC
있는	있/VX+는/ETM
부재자투표소	부재자투표소/NNG
중	중/NNB
가까운	가깝/VA+ㄴ/ETM
곳에	곳/NNG+에/JKB
가서	가/VV+아서/EC
투표하면	투표하/VV+면/EC
된다	되/VV+ㄴ다/EF

부재자투표소에서	부재자투표소/NNG+에서/JKB
투표해야	투표하/VV+여야/EC
하는	하/VX+는/ETM
선거인이	선거인/NNG+이/JKS
부재자투표소에	부재자투표소/NNG+에/JKB
오기	오/VV+기/ETN
전에	전/NNG+에/JKB
자택	자택/NNG
등에서	등/NNB+에서/JKB
미리	미리/MAG
기표한	기표하/VV+ㄴ/ETM
투표지는	투표지/NNG+는/JX
무효이므로	무효/NNG+이/VCP+므로/EC
유의해야	유의하/VV+여야/EC
한다	하/VX+ㄴ다/EF

부재자투표소	부재자투표소/NNG
투표시간은	투표시간/NNG+은/JX
오전	오전/NNG
6시부터	6/SN+시/NNB+부터/JX
오후	오후/NNG
4시까지다	4/SN+시/NNB+까지다/JX

한편	한편/MAG
신체장애가	신체장애/NNG+가/JKS
있어	있/VA+어/EC
거동할	거동하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
사람	사람/NNG
등은	등/NNB+은/JX
소속기관·시설의	소속기관/NNG+·/SP+시설/NNG+의/JKG
장이나	장/NNG+이나/JC
통·리·반장의	통/NNG+·/SP+리/NNG+·/SP+반장/NNG+의/JKG
확인을	확인/NNG+을/JKO
받아	받/VV+아/EC
부재자신고를	부재자신고/NNG+를/JKO
하면	하/VV+면/EC
자택	자택/NNG
등	등/NNB
자신의	자신/NNG+의/JKG
거소지에서	거소지/NNG+에서/JKB
투표할	투표하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC
