새누리	새누리/NNG
대선	대선/NNG
후보에	후보/NNG+에/JKB
장애인복지	장애인복지/NNG
물으니	묻/VV+으니/EC

새누리당이	새누리당/NNP+이/JKS
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
오는	오/VV+는/ETM
19일	19/SN+일/NNB
대통령	대통령/NNG
후보	후보/NNG
경선을	경선/NNG+을/JKO
치른다	치르/VV+ㄴ다/EC

현재	현재/MAG
새누리당	새누리당/NNP
대통령	대통령/NNG
경선	경선/NNG
후보자는	후보자/NNG+는/JX
임태희,	임태희/NNP+,/SP
박근혜,	박근혜/NNP+,/SP
김태호,	김태호/NNP+,/SP
안상수,	안상수/NNP+,/SP
김문수	김문수/NNP
등	등/NNB
총	총/MM
5명이다	5/SN+명/NNB+이/VCP+다/EC

에이블뉴스는	에이블뉴스/NNP+는/JX
대통령	대통령/NNG
후보	후보/NNG
경선을	경선/NNG+을/JKO
앞두고	앞두/VV+고/EC
있는	있/VX+는/ETM
이들	이/NP+들/XSN
후보자들의	후보자/NNG+들/XSN+의/JKG
장애관련	장애관련/NNG
공약을	공약/NNG+을/JKO
들어보는	듣/VV+어/EC+보/VX+는/ETM
시간을	시간/NNG+을/JKO
가졌다	가지/VV+었/EP+다/EC

서면인터뷰는	서면인터뷰/NNG+는/JX
후보자들의	후보자/NNG+들/XSN+의/JKG
장애인공약,	장애인공약/NNG+,/SP
장애인	장애인/NNG
현실에	현실/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
개인적	개인적/NNG
의견,	의견/NNG+,/SP
지난	지나/VV+ㄴ/ETM
411총선에서	411/SN+총선/NNG+에서/JKB
장애계가	장애/NNG+계/XSN+가/JKS
제시한	제시하/VV+ㄴ/ETM
10대	10/SN+대/NNG
공약에	공약/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수용여부,	수용여부/NNG+,/SP
발달장애인지원법의	발달장애인지원법/NNG+의/JKG
필요성과	필요성/NNG+과/JC
제정	제정/NNG
현실성	현실성/NNG
등	등/NNB
총	총/MM
4가지	4/SN+가지/NNB
질문으로	질문/NNG+으로/JKB
구성됐다	구성되/VV+었/EP+다/EF

서면인터뷰에는	서면인터뷰/NNG+에/JKB+는/JX
임태희,	임태희/NNP+,/SP
김태호,	김태호/NNP+,/SP
안상수	안상수/NNP
후보가	후보/NNG+가/JKS
응답했으며	응답하/VV+였/EP+으며/EC
이외	이외/NNG
박근혜,	박근혜/NNP+,/SP
김문수	김문수/NNP
후보는	후보/NNG+는/JX
개인사정	개인사정/NNG
등의	등/NNB+의/JKG
이유로	이유/NNG+로/JKB
인터뷰에	인터뷰/NNG+에/JKB
응하지	응하/VV+지/EC
않았다	않/VX+았/EP+다/EF

서면인터뷰는	서면인터뷰/NNG+는/JX
보내온	보내오/VV+ㄴ/ETM
순서대로	순서/NNG+대로/JX
싣는다	싣/VV+는다/EF

안상수,	안상수/NNP+,/SP
장애인정책은	장애인정책/NNG+은/JX
장애인과	장애인/NNG+과/JC
그	그/MM
가족의	가족/NNG+의/JKG
입장에서	입장/NNG+에서/JKB
결정·시행돼야	결정/NNG+·/SP+시행되/VV+어야/EC
새누리당	새누리당/NNP
안상수	안상수/NNP
대통령	대통령/NNG
경선	경선/NNG
후보	후보/NNG

ⓒ새누리당	ⓒ/SL+새누리당/NNP
대통령	대통령/NNG
경선	경선/NNG
선출	선출/NNG
홈페이지	홈페이지/NNG
안상수	안상수/NNP
후보(기호4번)=현재	후보/NNG+(/SS+기호/NNG+4/SN+번/NNB+)/SS+=/SW+현재/MAG
이루어지는	이루어지/VV+는/ETM
새누리당	새누리당/NNP
경선은	경선/NNG+은/JX
당내	당내/NNG
후보를	후보/NNG+를/JKO
뽑는	뽑/VV+는/ETM
선거라는	선거/NNG+이/VCP+라는/ETM
특성상	특성/NNG+상/XSN
모든	모든/MM
분야의	분야/NNG+의/JKG
공약을	공약/NNG+을/JKO
성안해	성안하/VV+여/EC
발표하지	발표하/VV+지/EC
못했다	못하/VX+였/EP+다/EC

특히	특히/MAG
장애인	장애인/NNG
관련	관련/NNG
공약과	공약/NNG+과/JC
정책이	정책/NNG+이/JKS
없었던	없/VA+었/EP+던/ETM
점은	점/NNG+은/JX
양해해	양해하/VV+여/EC
주기	주/VX+기/ETN
바란다	바라/VV+ㄴ다/EF

장애인	장애인/NNG
정책의	정책/NNG+의/JKG
기조는	기조/NNG+는/JX
장애가	장애/NNG+가/JKS
차별이	차별/NNG+이/JKC
되게	되/VV+게/EC
하지	하/VX+지/EC
