인권위,	인권위/NNG+,/SP
‘장애인	‘/SL+장애인/NNG
인권증진	인권증진/NNG
중장기	중장기/NNG
계획’	계획/NNG+’/SL
권고	권고/NNG

국가인권위원회(위원장	국가인권위원회/NNG+(/SS+위원장/NNG
현병철)는	현병철/NNP+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
김황식	김황식/NNP
국무총리와	국무총리/NNG+와/JC
임채민	임채민/NNP
보건복지부	보건복지부/NNG
장관에게	장관/NNG+에게/JKB
‘2013-2017	‘/SL+2013/SN+-/SO+2017/SN
장애인	장애인/NNG
인권증진	인권증진/NNG
중장기	중장기/NNG
계획’을	계획/NNG+’/SL+을/JKO
수립하고	수립하/VV+고/EC
이를	이/NP+를/JKO
기초로	기초/NNG+로/JKB
장애인	장애인/NNG
인권증진	인권증진/NNG
정책을	정책/NNG+을/JKO
마련해	마련하/VV+여/EC
시행할	시행하/VV+ㄹ/ETM
것을	것/NNB+을/JKO
권고했다고	권고하/VV+였/EP+다고/EC
7일	7/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

인권위는	인권위/NNG+는/JX
장애인의	장애인/NNG+의/JKG
기본적	기본적/NNG
인권을	인권/NNG+을/JKO
보장하고	보장하/VV+고/EC
새롭게	새롭/VA+게/EC
제기되는	제기되/VV+는/ETM
장애인의	장애인/NNG+의/JKG
인권적	인권적/NNG
요구에	요구/NNG+에/JKB
부응하기	부응하/VV+기/ETN
위해	위하/VV+여/EC
‘장애인	‘/SN+장애/NNG+이/VCP+ㄴ/ETM
인권증진	인권증진/NNG
중장기	중장기/NNG
계획(안)’을	계획/NNG+(/SS+안/NNG+)/SS+’/SL+을/JKO
마련해	마련하/VV+여/EC
발표하고	발표하/VV+고/EC
각계	각계/NNG
전문가의	전문가/NNG+의/JKG
의견을	의견/NNG+을/JKO
수렴한	수렴하/VV+ㄴ/ETM
바	바/NNB
있다	있/VA+다/EF

‘장애인	‘/SL+장애인/NNG
인권증진	인권증진/NNG
중장기	중장기/NNG
계획’에는	계획/NNG+’/SL+에/JKB+는/JX
종합적이고	종합적/NNG+이/VCP+고/EC
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
국가	국가/NNG
장애인	장애인/NNG
인권	인권/NNG
정책의	정책/NNG+의/JKG
청사진으로	청사진/NNG+으로/JKB
법령?제도?정책의	법령/NNG+?/SF+제도/NNG+?/SF+정책/NNG+의/JKG
개선	개선/NNG
등	등/NNB
범정부차원에서	범/XPN+정부차원/NNG+에서/JKB
시행돼야	시행되/VV+어야/EC
할	하/VX+ㄹ/ETM
내용들이	내용/NNG+들/XSN+이/JKS
담겨	담기/VV+어/EC
있다	있/VX+다/EC

‘장애인	‘/SL+장애인/NNG
인권증진	인권증진/NNG
중장기	중장기/NNG
계획’은	계획/NNG+’/SL+은/JX
평등한	평등하/VA+ㄴ/ETM
참여를	참여/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
기반구축	기반구축/NNG
적절한	적절하/VA+ㄴ/ETM
삶의	삶/NNG+의/JKG
향유를	향유/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
기본권	기본권/NNG
보장	보장/NNG
차별시정	차별시정/NNG
및	및/MAG
예방	예방/NNG
강화	강화/NNG
다중적	다중/NNG+적/XSN
차별을	차별/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
사회적	사회적/NNG
기반구축이라는	기반구축/NNG+이/VCP+라는/ETM
기능별로	기능/NNG+별/XSN+로/JKB
분화된	분화되/VV+ㄴ/ETM
4대	4/SN+대/NNB
전략목표를	전략목표/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
21개	21/SN+개/NNB
추진목표와	추진목표/NNG+와/JC
그에	그/NP+에/JKB
따른	따르/VV+ㄴ/ETM
57개의	57/SN+개/NNB+의/JKG
주요	주요/NNG
추진	추진/NNG
과제들을	과제/NNG+들/XSN+을/JKO
연계해	연계하/VV+여/EC
마련됐다	마련되/VV+었/EP+다/EF

인권위는	인권위/NNG+는/JX
“정부의	“/SN+정부/NNG+의/JKG
‘장애인	‘/SL+장애인/NNG
인권증진	인권증진/NNG
중장기	중장기/NNG
계획’이행에	계획/NNG+’/SN+이행/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
모니터링과	모니터링/NNG+과/JC
평가를	평가/NNG+를/JKO
수행할	수행하/VV+ㄹ/ETM
예정”이라며	예정”/NNG+이/VCP+라며/EC
“이번	“/SL+이번/NNG
중장기	중장기/NNG
계획이	계획/NNG+이/JKS
시혜와	시혜/NNG+와/JC
복지	복지/NNG
차원에서	차원/NNG+에서/JKB
인식되던	인식되/VV+던/ETM
장애인	장애인/NNG
정책을	정책/NNG+을/JKO
인권의	인권/NNG+의/JKG
차원으로	차원/NNG+으로/JKB
전환하고	전환하/VV+고/EC
장애인	장애인/NNG
인권	인권/NNG
증진을	증진/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책	정책/NNG
방향을	방향/NNG+을/JKO
제시함으로써	제시하/VV+ㅁ/ETN+으로써/JKB
향후	향후/NNG
정부가	정부/NNG+가/JKS
추진할	추진하/VV+ㄹ/ETM
정책의	정책/NNG+의/JKG
청사진이	청사진/NNG+이/JKS
되기를	되/VV+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EC+”/VV+고/EC
희망했다	희망하/VV+였/EP+다/EC
