"안철수,	"/SS+안철수/NNP+,/SP
부양의무자	부양의무자/NNG
폐지	폐지/NNG
약속해야"	약속하/VV+여야/EF+"/SS

최근	최근/NNG
발표된	발표되/VV+ㄴ/ETM
무소속	무소속/NNG
안철수	안철수/NNP
대선	대선/NNG
후보의	후보/NNG+의/JKG
부양의무자	부양의무자/NNG
기준	기준/NNG
관련	관련/NNG
공약이	공약/NNG+이/JKS
미흡하다는	미흡하/VA+다는/ETM
장애단체의	장애단체/NNG+의/JKG
지적이	지적/NNG+이/JKS
나왔다	나오/VV+았/EP+다/EF

전국장애인차별철폐연대,	전/MM+국장애인차별철폐연대/NNG+,/SP
빈곤사회연대는	빈곤사회연대/NNG+는/JX
14일	14/SN+일/NNB
논평을	논평/NNG+을/JKO
통해	통하/VV+여/EC
안	안/NNP
후보가	후보/NNG+가/JKS
발표한	발표하/VV+ㄴ/ETM
공약	공약/NNG
중	중/NNB
부양의무자	부양의무자/NNG
기준이	기준/NNG+이/JKS
완화가	완화/NNG+가/JKS
아닌	아니/VCN+ㄴ/ETM
폐지로	폐지/NNG+로/JKB
수정되야	수정되/VV+어야/EC
함을	하/VX+ㅁ/ETN+을/JKO
촉구했다	촉구하/VV+였/EP+다/EC

앞서	앞서/MAG
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
안철수	안철수/NNP
후보는	후보/NNG+는/JX
‘안철수의	‘/SN+안철수/NNP+의/JKG
약속’이라는	약속’/NNG+이/VCP+라는/ETM
대선정책공약집을	대선정책공약집/NNG+을/JKO
발표를	발표/NNG+를/JKO
통해	통하/VV+여/EC
‘인간존엄성을	‘/SN+인간존엄성/NNG+을/JKO
지켜주는	지키/VV+어/EC+주/VX+는/ETM
나라’라는	나라’/NNG+이/VCP+라는/ETM
비젼을	비전/NNG+을/JKO
제시하며,	제시하/VV+며/EC+,/SP
‘노인과	‘/SL+노인/NNG+과/JC
장애인,	장애인/NNG+,/SP
취약계층의	취약계층/NNG+의/JKG
삶이	삶/NNG+이/JKS
보장되는	보장되/VV+는/ETM
나라’를	나라’/NNG+를/JKO
약속했다	약속하/VV+었/EP+다/EC

10개	10/SN+개/NNB
정책약속에	정책약속/NNG+에/JKB
따르면	따르/VV+면/EC
‘부양의무자	‘/SL+부양의무자/NNG
기준	기준/NNG
실질적	실질적/NNG
완화	완화/NNG
및	및/MAG
패자부활이	패자부활/NNG+이/JKS
가능한	가능하/VA+ㄴ/ETM
사회안전망’	사회안전망/NNG+’/SN
부분	부분/NNG
실천과제로	실천과제/NNG+로/JKB
현재의	현재/NNG+의/JKG
부양의무자	부양의무자/NNG
기준을	기준/NNG+을/JKO
합리적으로	합리적/NNG+으로/JKB
조정,	조정/NNG+,/SP
기존의	기존/NNG+의/JKG
보충급여	보충급여/NNG
방식(EITC)에서	방식/NNG+(/SS+EITC/SL+)/SS+에서/JKB
노동	노동/NNG
장려형	장려/NNG+형/XSN
급여	급여/NNG
방식	방식/NNG
전환	전환/NNG
검토,	검토/NNG+,/SP
의료급여의	의료급여/NNG+의/JKG
사례관리	사례관리/NNG
확대와	확대/NNG+와/JC
대상자	대상자/NNG
지원	지원/NNG
사업으로의	사업/NNG+으로/JKB+의/JKG
전환	전환/NNG
등을	등/NNB+을/JKO
제시했다	제시하/VV+였/EP+다/EC

하지만	하지만/MAJ
이	이/NP
같은	같/VA+은/ETM
실천과제는	실천과제/NNG+는/JX
현재	현재/MAG
부양의무자기준으로	부양의무자기준/NNG+으로/JKB
인해	인하/VV+여/EC
기초생활수급의	기초생활수급/NNG+의/JKG
혜택을	혜택/NNG+을/JKO
받지	받/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
100만명에	100/SN+만/NR+명/NNB+에/JKB
달하는	달하/VV+는/ETM
사각지대의	사각지대/NNG+의/JKG
해소와	해소/NNG+와/JC
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
빈곤탈출,	빈곤탈출/NNG+,/SP
아파도	아프/VA+아도/EC
병원에	병원/NNG+에/JKB
못가는	못/MAG+가/VV+는/ETM
가난한	가난하/VA+ㄴ/ETM
이들의	이/NP+들/XSN+의/JKG
건강권을	건강/NNG+권/XSN+을/JKO
실현하기에는	실현하/VV+기/ETN+에/JKB+는/JX
매우	매우/MAG
부족한	부족하/VA+ㄴ/ETM
수준이라는	수준/NNG+이/VCP+라는/ETM
설명이다	설명/NNG+이/VCP+다/EC

이들은	이/NP+들/XSN+은/JX
“부양의무자	“/SL+부양의무자/NNG
기준에서	기준/NNG+에서/JKB
비혈연	비혈연/NNG
1촌을	1/SN+촌/NNB+을/JKO
제외한	제외하/VV+ㄴ/ETM
것은	것/NNB+은/JX
지금보다	지금/NNG+보다/JKB
한발	한발/MAG
더	더/MAG
진전된	진전되/VV+ㄴ/ETM
것이나,	것/NNB+이/VCP+나/EC+,/SP
사각지대의	사각지대/NNG+의/JKG
해소에는	해소/NNG+에/JKB+는/JX
여전히	여전히/MAG
미흡하다	미흡하/VA+다/EC

이를	이/NP+를/JKO
‘부양의무자	‘/SL+부양의무자/NNG
기준을	기준/NNG+을/JKO
실질적으로	실질적/NNG+으로/JKB
폐지’하는	폐지’하/VV+는/ETM
기대효과를	기대효과/NNG+를/JKO
거둘	거두/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
밝히고	밝히/VV+고/EC
있으니	있/VX+으니/EC
과장이	과장/NNG+이/JKS
심하다”며	심하/VA+다/EC+”/VV+며/EC
“가난한	“/SN+가난하/VA+ㄴ/ETM
이들이	이/NP+들/XSN+이/JKS
보기에	보/VV+기/ETN+에/JKB
핵심이	핵심/NNG+이/JKS
빠진,	빠지/VV+ㄴ/ETM+,/SP
기대할	기대하/VV+ㄹ/ETM
것이	것/NNB+이/JKS
별로	별로/MAG
없는	없/VA+는/ETM
약속이라	약속/NNG+이/VCP+라/EC
생각된다”고	생각되/VV+ㄴ다/EC+”/VV+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“부양의무자기준	“/SL+부양의무자기준/NNG
폐지의	폐지/NNG+의/JKG
목표는	목표/NNG+는/JX
단지	단지/MAG
가난한	가난하/VA+ㄴ/ETM
사람	사람/NNG
중	중/NNB
몇	몇/MM
명에게	명/NNB+에게/JKB
수급을	수급/NNG+을/JKO
확대하기	확대하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니다	아니/VCN+다/EC

가난의	가난/NNG+의/JKG
책임을	책임/NNG+을/JKO
개인과	개인/NNG+과/JC
가족에게	가족/NNG+에게/JKB
떠넘기는	떠넘기/VV+는/ETM
무책임한	무책임하/VA+ㄴ/ETM
복지철학을	복지철학/NNG+을/JKO
바닥부터	바닥/NNG+부터/JX
뜯어	뜯/VV+어/EC
고치기	고치/VV+기/ETN
위한	위하/VV+ㄴ/ETM
첫	첫/MM
걸음이자	걸음/NNG+이/VCP+자/EC
빈곤의	빈곤/NNG+의/JKG
사슬을	사슬/NNG+을/JKO
끊어내기	끊/VV+어/EC+내/VX+기/ETN
위한	위하/VV+ㄴ/ETM
최소한의	최소한/NNG+의/JKG
조치”라며	조치”/NNG+이/VCP+라며/EC
“부양의무자기준	“/SL+부양의무자기준/NNG
폐지	폐지/NNG
없이	없이/MAG
빈곤문제	빈곤문제/NNG
해결은	해결/NNG+은/JX
없다	없/VA+다/EC

안철수	안철수/NNP
후보는	후보/NNG+는/JX
부양의무제	부양의무제/NNG
폐지를	폐지/NNG+를/JKO
약속하라”고	약속하/VV+라/EC+”/SN+고/JKQ
강조했다	강조하/VV+였/EP+다/EC
