‘부양의무제	‘/SL+부양의무제/NNG
폐지…빈곤층이	폐지/NNG+…/SE+빈곤층/NNG+이/JKS
살길’	살길/NNG+’/SN

장애등급제·부양의무제	장애등급/NNG+제/XSN+·/SP+부양의무제/NNG
폐지	폐지/NNG
공동행동(이하	공동행동/NNG+(/SS+이하/NNG
공동행동)은	공동행동/NNG+)/SS+은/JX
30일	30/SN+일/NNB
오후	오후/NNG
1시	1/SN+시/NNB
보건복지부와의	보건복지부/NNG+와/JKB+의/JKG
면담에	면담/NNG+에/JKB
앞서	앞서/VV+어/EC
기자회견을	기자회견/NNG+을/JKO
갖고	갖/VV+고/EC
복지부의	복지부/NNG+의/JKG
부양의무자	부양의무자/NNG
기준	기준/NNG
폐지를	폐지/NNG+를/JKO
촉구했다	촉구하/VV+였/EP+다/EF

이번	이번/NNG
공동행동의	공동행동/NNG+의/JKG
부양의무제	부양의무제/NNG
폐지	폐지/NNG
촉구는	촉구/NNG+는/JX
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
거제에서	거제/NNG+에서/JKB
부양의무	부양의무/NNG
기준으로	기준/NNG+으로/JKB
인해	인하/VV+여/EC
기초수급	기초수급/NNG
탈락을	탈락/NNG+을/JKO
통보	통보/NNG
받은	받/VV+은/ETM
이(70대)씨	이/NNP+(/SS+70/SN+대/NNB+)/SS+씨/NNB
노인이	노인/NNG+이/JKS
농약을	농약/NNG+을/JKO
마시고	마시/VV+고/EC
음독자살한	음독자살하/VV+ㄴ/ETM
것에	것/NNB+에/JKB
따른	따르/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

이씨는	이/NNP+씨/NNB+는/JX
부양의무자인	부양의무자/NNG+이/VCP+ㄴ/ETM
사위가	사위/NNG+가/JKS
실업상태로	실업상태/NNG+로/JKB
있다가	있/VA+다가/EC
다시	다시/MAG
일을	일/NNG+을/JKO
시작하게	시작하/VV+게/EC
되자	되/VV+자/EC
일정	일정/NNG
금액의	금액/NNG+의/JKG
소득이	소득/NNG+이/JKS
발생한	발생하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
간주돼	간주되/VV+어/EC
