최동익,	최동익/NNP+,/SP
"제2의	"/SS+제/XPN+2/SN+의/JKG
이인국	이인국/NNP
사태	사태/NNG
막아야"	막/VV+아야/EF+"/SS

민주통합당	민주통합당/NNP
최동익	최동익/NNP
의원이	의원/NNG+이/JKS
'2013	'/SS+2013/SN
평창동계스페셜올림픽'에서	평창동계스페셜올림픽/NNP+'/SS+에서/JKB
제2의	제/XPN+2/SN+의/JKG
이인국	이인국/NNP
사태가	사태/NNG+가/JKS
재발되지	재발되/VV+지/EC
않도록	않/VX+도록/EC
지적장애	지적장애/NNG
관련	관련/NNG
전문	전문/NNG
인력	인력/NNG
보충을	보충/NNG+을/JKO
주문했다	주문하/VV+였/EP+다/EF

최	최/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
열린	열리/VV+ㄴ/ETM
국회	국회/NNG
‘평창동계올림픽	‘/SL+평창동계올/NNP+림픽/NNG
및	및/MAG
국제	국제/NNG
경기대회	경기대회/NNG
지원특별위원회’에서	지원특별위원회/NNG+’/SL+에서/JKB
런던장애인올림픽	런던/NNP+장애인올림픽/NNG
대표	대표/NNG
이인국	이인국/NNP
선수의	선수/NNG+의/JKG
사례를	사례/NNG+를/JKO
설명하며,	설명하/VV+며/EC+,/SP
필요성을	필요성/NNG+을/JKO
강조했다	강조하/VV+였/EP+다/EC

이	이/MM
선수는	선수/NNG+는/JX
지난	지나/VV+ㄴ/ETM
31일(현지시간)	31/SN+일/NNB+(/SS+현지시간/NNG+)/SS
런던장애인올림픽	런던/NNP+장애인올림픽/NNG
지적장애	지적장애/NNG
S14	S/SL+14/SN
남자배영	남자배영/NNG
100m	100/SN+m/SL
예선	예선/NNG
전체	전체/NNG
1위로	1/SN+위/NNB+로/JKB
결선에	결선/NNG+에/JKB
올랐지만	오르/VV+았/EP+지만/EC
IPC(국제장애인올림픽위원회)	IPC/SL+(/SS+국제장애인올림픽위원회/NNG+)/SS
규정에	규정/NNG+에/JKB
따라	따르/VV+아/EC
실격	실격/NNG
처리됐다	처리되/VV+었/EP+다/EF

결선	결선/NNG
진출자들이	진출자/NNG+들/XSN+이/JKS
20분전까지	20/SN+분전/NNG+까지/JX
퍼스트	퍼스트/NNG
룸에	룸/NNG+에/JKB
들어가야	들어가/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
규정	규정/NNG
때문으로,	때문/NNB+으로/JKB+,/SP
이	이/MM
선수는	선수/NNG+는/JX
시간을	시간/NNG+을/JKO
초과했다	초과하/VV+였/EP+다/EC

최	최/NNP
의원은	의원/NNG+은/JX
"우리나라	"/SS+우리나라/NNG
지적장애	지적장애/NNG
선수가	선수/NNG+가/JKS
3분	3/SN+분/NNB
늦어서	늦/VA+어서/EC
(런던장애인올림픽	(/SS+런던/NNP+장애인올림픽/NNG
수영)	수영/NNG+)/SS
결선에	결선/NNG+에/JKB
진출하지	진출하/VV+지/EC
못했다"며	못하/VX+였/EP+다/EF+"/SS+며/EC
"	"/SS
(평창동계스페셜올림픽에)	(/SS+평창동계스페셜올/NNP+림픽/NNG+에/JKB+)/SS
2천여명의	2/SN+천/NR+여/XSN+명/NNB+의/JKG
지적장애인들이	지적장애인/NNG+들/XSN+이/JKS
출전하는	출전하/VV+는/ETM
만큼	만큼/NNB
원활하지	원활하/VA+지/EC
않은	않/VX+은/ETM
경기	경기/NNP
진행이	진행/NNG+이/JKS
염려	염려/NNG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
우려했다	우려하/VV+였/EP+다/EF

이어	이어/MAG
"2013평창동계스페셜올림픽조직위	"/SS+2013/SN+평/NNB+창동계스페셜올림픽조직위/NNG
내에	내/NNB+에/JKB
장애	장애/NNG
관련	관련/NNG
전문	전문/NNG
인력이	인력/NNG+이/JKS
3∼명	3/SN+∼/SO+명/NNG
밖에	밖/NNG+에/JKB
안	안/MAG
되는	되/VV+는/ETM
걸로	것/NNB+ㄹ/JKO+로/JKB
아는데,	알/VV+는데/EC+,/SP
이번처럼	이번/NNG+처럼/JKB
결선에	결선/NNG+에/JKB
진출하지	진출하/VV+지/EC
못한	못하/VX+ㄴ/ETM
선수가	선수/NNG+가/JKS
발생하지	발생하/VV+지/EC
않도록	않/VX+도록/EC
지금이라도	지금/NNG+이라도/JX
지적장애	지적장애/NNG
관련	관련/NNG
전문	전문/NNG
인력을	인력/NNG+을/JKO
확실하게	확실하/VA+게/EC
보충해주길	보충하/VV+여/EC+주/VX+기/ETN+ㄹ/JKO
바란다”고	바란다”/VV+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

이에	이/NP+에/JKB
대해	대하/VV+여/EC
조직위	조직위/NNG
임병수	임병수/NNP
부위원장은	부위원장/NNG+은/JX
“강원도	“강/SN+원/NNB+도/JX
공무원,	공무원/NNG+,/SP
대한장애인체육회	대한/NNP+장애인체육회/NNG
등에서	등/NNB+에서/JKB
파견된	파견되/VV+ㄴ/ETM
인원이	인원/NNG+이/JKS
45명	45/SN+명/NNB
정도	정도/NNG
되고,	되/VV+고/EC+,/SP
현재	현재/MAG
별도로	별도/NNG+로/JKB
장애	장애/NNG
관련	관련/NNG
인력을	인력/NNG+을/JKO
뽑고	뽑/VV+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
답변했다	답변하/VV+였/EP+다/EF

최	최/NNP
의원은	의원/NNG+은/JX
또한	또한/MAG
문화체육관광부에	문화체육관광부/NNG+에/JKB
대한장애인체육회	대한장애인체육회/NNP
산하	산하/NNG
단체의	단체/NNG+의/JKG
감사를	감사/NNG+를/JKO
철저하게	철저하/VA+게/EC
해	하/VX+여/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다	요구하/VV+었/EP+다/EC

최	최/NNP
의원은	의원/NNG+은/JX
"장애인경기단체들이	"/SS+장애인경기단체/NNG+들/XSN+이/JKS
정부	정부/NNG
예산으로	예산/NNG+으로/JKB
받은	받/VV+은/ETM
실탄	실탄/NNG
총알을	총알/NNG+을/JKO
판매	판매/NNG
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
(2010년)	(/SS+2010/SN+년/NNB+)/SS
감사에서	감사/NNG+에서/JKB
적발됐는데	적발되/VV+었/EP+는데/EC
문광부가	문광부/NNG+가/JKS
형사고발	형사고발/NNG
하지	하/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
대한장애인체육회를	대한/NNP+장애인체육/NNG+회/XSN+를/JKO
감사하니	감사하/VV+니/EC
회장이	회장/NNG+이/JKS
비리를	비리/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
것까지	것/NNB+까지/JX
적발됐다”고	적발되/VV+었/EP+다”고/EC
지적했다	지적하/VV+였/EP+다/EF

특히	특히/MAG
최	최/NNP
의원은	의원/NNG+은/JX
"장애인체육회가	"/SS+장애인체육회/NNG+가/JKS
장애인	장애인/NNG
선수들의	선수/NNG+들/XSN+의/JKG
육성	육성/NNG
계획을	계획/NNG+을/JKO
만드는	만들/VV+는/ETM
주도적인	주도적/NNG+이/VCP+ㄴ/ETM
역할을	역할/NNG+을/JKO
해야	하/VV+여야/EC
되는데,	되/VV+는데/EC+,/SP
실질적으로	실질적/NNG+으로/JKB
그	그/MM
역할을	역할/NNG+을/JKO
하지	하/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
상황으로,	상황/NNG+으로/JKB+,/SP
(문광부가)	(/SS+문광부/NNG+가/JKS+)/SS
대한장애인체육회	대한장애인체육회/NNP
산하	산하/NNG
단체의	단체/NNG+의/JKG
감사를	감사/NNG+를/JKO
철저히	철저히/MAG
해	하/VV+여/EC
달라”고	달라”/VV+고/EC
당부했다	당부하/VV+였/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
문광부	문광부/NNG
최광식	최광식/NNP
장관은	장관/NNG+은/JX
“장애인	“/SL+장애인/NNG
사격	사격/NNG
실탄	실탄/NNG
비리	비리/NNG
문제는	문제/NNG+는/JX
2010년	2010/SN+년/NNB
전	전/NNG
집행부에서	집행부/NNG+에서/JKB
있었는데,	있/VA+었/EP+는데/EC+,/SP
전	전/MM
집행부는	집행부/NNG+는/JX
모두	모두/MAG
사퇴했다”면서	사퇴하/VV+였/EP+다/EC+”/VX+면서/EC
“현재	“/SL+현재/MAG
새로운	새롭/VA+ㄴ/ETM
집행부가	집행부/NNG+가/JKS
구성됐고,	구성되/VV+었/EP+고/EC+,/SP
부당으로	부당/NNG+으로/JKB
집행된	집행되/VV+ㄴ/ETM
국고	국고/NNG
보조금은	보조금/NNG+은/JX
모두	모두/MAG
반환조치	반환조치/NNG
됐다”고	되/VV+었/EP+다”고/EC
