'발달장애인법안'	'/SS+발달장애인법안/NNG+'/SS
법안심사소위	법안심사소위/NNG
상정	상정/NNG

새누리당	새누리당/NNP
김정록	김정록/NNP
국회의원이	국회의원/NNG+이/JKS
발의한	발의하/VV+ㄴ/ETM
‘발달장애인	‘/SL+발달장애인/NNG
지원	지원/NNG
및	및/MAG
권리보장에	권리보장/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률안(이하	법률안/NNG+(/SS+이하/NNG
발달장애인법안)’이	발달장애인법안/NNG+)/SS+’/SL+이/JKS
국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
법안심사소위원회에	법안심사소위원회/NNG+에/JKB
상정됐다	상정되/VV+었/EP+다/EF

국회	국회/NNG
보건복지위원회는	보건복지위원회/NNG+는/JX
17일	17/SN+일/NNB
‘제311회	‘/SN+제/XPN+311/SN+회/NNB
국회	국회/NNG
정기회	정기회/NNG
제2차	제/XPN+2/SN+차/NNB
전체회의’를	전체회의’/NNG+를/JKO
열고	열/VV+고/EC
발달장애인법안	발달장애인법안/NNG
등을	등/NNB+을/JKO
포함해	포함하/VV+여/EC
75개	75/SN+개/NNB
법안을	법안/NNG+을/JKO
가결하고	가결하/VV+고/EC
법안심사소위원회에서	법안심사소위원회/NNG+에서/JKB
세부	세부/NNG
논의키로	논의하/VV+기/ETN+로/JKB
결정했다	결정하/VV+였/EP+다/EC

김정록	김정록/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
제19대	제/XPN+19/SN+대/NNB
국회	국회/NNG
제1호	제/XPN+1/SN+호/NNB
법안으로	법안/NNG+으로/JKB
발달장애인의	발달장애인/NNG+의/JKG
특성을	특성/NNG+을/JKO
고려한	고려하/VV+ㄴ/ETM
지원체계	지원체계/NNG
등이	등/NNB+이/JKS
담긴	담기/VV+ㄴ/ETM
발달장애인법안을	발달장애인법안/NNG+을/JKO
국회에	국회/NNG+에/JKB
제출한바	제출하/VV+ㄴ/ETM+바/NNB
있다	있/VA+다/EF

발달장애인법안에는	발달장애인법안/NNG+에/JKB+는/JX
발달장애인	발달장애인/NNG
개인별	개인별/NNG
맞춤별	맞춤/NNG+별/XSN
지원시스템,	지원시스템/NNG+,/SP
발달장애	발달장애/NNG
서비스	서비스/NNG
업무를	업무/NNG+를/JKO
통합관리·지원하는	통합관리/NNG+·/SP+지원하/VV+는/ETM
원스톱지원체계의	원스톱지원체계/NNG+의/JKG
근거가	근거/NNG+가/JKS
들어있다	들/VV+어/EC+있/VX+다/EC

또한	또한/MAG
발달장애인의	발달장애인/NNG+의/JKG
자유권	자유/NNG+권/XSN
및	및/MAG
사회권에	사회권/NNG+에/JKB
대해	대하/VV+여/EC
구체적으로	구체적/NNG+으로/JKB
명시하고,	명시하/VV+고/EC+,/SP
인권침해	인권침해/NNG
예방	예방/NNG
및	및/MAG
권리구제를	권리구제/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
권리옹호시스템	권리옹호시스템/NNG
구축	구축/NNG
등도	등/NNB+도/JX
담겨있다	담기/VV+어/EC+있/VX+다/EC

한편	한편/MAG
이날	이날/NNG
전체회의에서는	전체회의/NNG+에서/JKB+는/JX
국민기초수급자	국민기초수급자/NNP
선정조건에서	선정조건/NNG+에서/JKB
부양의무자	부양의무자/NNG
기준을	기준/NNG+을/JKO
폐지하는	폐지하/VV+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
민주통합당	민주통합당/NNP
이낙연	이낙연/NNP
의원의	의원/NNG+의/JKG
‘국민기초생활보장법	‘/SL+국민기초생활보장법/NNG
일부개정안’도	일부개정안’/NNG+도/JX
법안심사소위에	법안심사소위/NNG+에/JKB
상정됐다	상정되/VV+었/EP+다/EF

국가와	국가/NNG+와/JC
지자체,	지자체/NNG+,/SP
공공단체가	공공단체/NNG+가/JKS
장애인생산시설의	장애인생산시설/NNG+의/JKG
운영을	운영/NNG+을/JKO
담당하는	담당하/VV+는/ETM
장애인단체	장애인단체/NNG
등과	등/NNB+과/JC
수의계약	수의계약/NNG
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VX+ㄴ/EF
김정록	김정록/NNP
의원의	의원/NNG+의/JKG
‘장애인복지법	‘/SL+장애인복지법/NNG
일부개정안’도	일부개정안’/NNG+도/JX
포함됐다	포함되/VV+었/EP+다/EF

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
법안심사소위는	법안심사소위/NNG+는/JX
오는	오/VV+는/ETM
19일	19/SN+일/NNB
오전에	오전/NNG+에/JKB
열린다	열리/VV+ㄴ다/EF
