檢,	檢/SL+,/SP
공천로비	공천로비/NNG
의혹	의혹/NNG
최동익	최동익/NNP
의원	의원/NNG
다음주초	다음주초/NNG
소환	소환/NNG

(부산=연합뉴스)	(/SS+부산/NNP+=/SW+연합뉴스/NNP+)/SS
민영규	민영규/NNP
기자	기자/NNG
=	=/SW
민주통합당	민주통합당/NNP
공천로비	공천로비/NNG
의혹을	의혹/NNG+을/JKO
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
부산지검	부산/NNP+지검/NNG
공안부(이태승	공안부/NNG+(/SS+이태승/NNP
부장검사)는	부장검사/NNG+)/SS+는/JX
다음	다음/NNG
주초	주초/NNG
민주당	민주당/NNP
최동익	최동익/NNP
의원(비례대표)과	의원/NNG+(/SS+비례대표/NNG+)/SS+과/JC
장향숙	장향숙/NNP
전	전/MM
의원을	의원/NNG+을/JKO
피의자	피의자/NNG
신분으로	신분/NNG+으로/JKB
잇달아	잇달/VV+아/EC
소환할	소환하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
21일	21/SN+일/NNB
알려졌다	알려지/VV+었/EP+다/EF

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
"최	"/SS+최/NNP
의원	의원/NNG
등의	등/NNB+의/JKG
주변인	주변/NNG+이/VCP+ㄴ/ETM
수사를	수사/NNG+를/JKO
마무리해야	마무리하/VV+여야/EC
다음	다음/NNG
순서로	순서/NNG+로/JKB
넘어갈	넘어가/VV+ㄹ/ETM
수	수/NNB
있다"면서	있/VA+다/EF+"/SS+면서/EC
"이번	"/SS+이번/NNG
주말까지는	주말/NNG+까지는/JX
최	최/NNP
의원	의원/NNG
등을	등/NNB+을/JKO
소환할	소환하/VV+ㄹ/ETM
계획이	계획/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다	말하/VV+였/EP+다/EC

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이르면	이르/VA+면/EC
24일	24/SN+일/NNB
최	최/NNP
의원을	의원/NNG+을/JKO
소환하고,	소환하/VV+고/EC+,/SP
25~26일	25/SN+~/SO+26/SN+일/NNB
장	장/NNB
전	전/MM
의원을	의원/NNG+을/JKO
소환해	소환하/VV+여/EC
강도	강도/NNG
높은	높/VA+은/ETM
조사를	조사/NNG+를/JKO
벌일	벌이/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다	보일/VV+ㄴ다/EF

두	두/MM
전·현직	전/NNG+·/SP+현직/NNG
의원의	의원/NNG+의/JKG
진술이	진술/NNG+이/JKS
엇갈리면	엇갈리/VV+면/EC
다음	다음/NNG
주말께	주말/NNG+께/XSN
동시에	동시/NNG+에/JKB
소환,	소환/NNG+,/SP
대질신문도	대/XPN+질신문/NNG+도/JX
벌일	벌이/VV+ㄹ/ETM
방침이다	방침/NNG+이/VCP+다/EC

최	최/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
4·11	4/SN+·/SP+11/SN
총선	총선/NNG
직전인	직전/NNG+이/VCP+ㄴ/ETM
4월초까지	4/SN+월초/NNB+까지/JX
3차례에	3/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
한국시각장애인연합회	한국/NNP+시각장애인연합/NNG+회/XSN
간부	간부/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
강모씨와	강/NNP+모/NP+씨/NNB+와/JKB
함께	함께/MAG
장	장/NNP
전	전/MM
의원에게	의원/NNG+에게/JKB
민주당	민주당/NNP
비례대표	비례대표/NNG
후보로	후보/NNG+로/JKB
공천받을	공천/NNG+받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와달라는	돕/VV+아/EC+달/VX+라는/ETM
청탁과	청탁/NNG+과/JKB
함께	함께/MAG
7천만원을	7/SN+천만/NR+원/NNB+을/JKO
전달한	전달하/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

장	장/NNP
전	전/MM
의원은	의원/NNG+은/JX
또	또/MAG
권모	권/NNP+모/NP
전	전/MM
한국시각장애인연합회장으로부터	한국/NNP+시각장애인연합회장/NNG+으로부터/JKB
민주당	민주당/NNP
비례대표	비례대표/NNG
후보로	후보/NNG+로/JKB
추천해달라는	추천하/VV+여/EC+달/VX+라는/ETM
부탁과	부탁/NNG+과/JKB
함께	함께/MAG
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
부산의	부산/NNP+의/JKG
한	한/MM
호텔에서	호텔/NNG+에서/JKB
300만원을,	300/SN+만/NR+원/NNB+을/JKO+,/SP
2월에는	2/SN+월/NNB+에/JKB+는/JX
자신의	자신/NNG+의/JKG
부산	부산/NNP
금정구	금정구/NNP
4·11	4/SN+·/SP+11/SN
총선	총선/NNG
예비	예비/NNG
후보자	후보자/NNG
선거사무소에서	선거사무소/NNG+에서/JKB
3천만원을	3/SN+천만/NR+원/NNB+을/JKO
각각	각각/MAG
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
고발됐다	고발되/VV+었/EP+다/EF

검찰은	검찰/NNG+은/JX
이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
이번	이번/NNG
주말까지	주말/NNG+까지/JX
이번	이번/NNG
사건을	사건/NNG+을/JKO
제보한	제보하/VV+ㄴ/ETM
권씨와	권/NNP+씨/NNB+와/JC
강씨	강/NNP+씨/NNB
등을	등/NNB+을/JKO
줄소환해	줄소환하/VV+여/EC
사실	사실/MAG
관계를	관계/NNG+를/JKO
확인하고	확인하/VV+고/EC
최	최/NNP
의원	의원/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
계좌추적을	계좌추적/NNG+을/JKO
통해	통하/VV+여/EC
돈의	돈/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
파악할	파악하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

youngkyu@yna	youngkyu/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
