‘2012인천세계장애대회’	‘/SL+2012/SN+인천세계장애대회/NNG+’/SL
무엇을	무엇/NP+을/JKO
남겼나	남기/VV+었/EP+나/EC

세계	세계/NNG
장애인들의	장애인/NNG+들/XSN+의/JKG
권리향상과	권리향상/NNG+과/JC
능력증진을	능력증진/NNG+을/JKO
도모하기	도모하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
‘2012인천세계장애대회’가	‘/SL+2012/SN+인천세계장애대회/NNG+’/SL+가/JKS
2일	2/SN+일/NNB
오후	오후/NNG
인천	인천/NNP
송도컨벤시아에서의	송도컨벤시아/NNP+에서/JKB+의/JKG
유엔에스캅	유엔에스캅/NNP
정부간고위급회의	정부간고위급회/NNG+의/JKG
폐회식을	폐회식/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
공식	공식/NNG
일정을	일정/NNG+을/JKO
마무리했다	마무리하/VV+였/EP+다/EC

지난달	지난달/NNG
24일	24/SN+일/NNB
아태장애인대회	아태장애인대회/NNG
개회식을	개회식/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
열흘간	열흘/NNG+간/XSN
진행된	진행되/VV+ㄴ/ETM
인천세계장애대회는	인천/NNP+세계장애대회/NNG+는/JX
무엇보다	무엇/NP+보다/JKB
다가오는	다가오/VV+는/ETM
‘제3차	‘/SL+제/XPN+3/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년(2013~2022)’을	10/SN+년/NNB+(/SS+2013/SN+~/SO+2022/SN+)/SS+’/SL+을/JKO
실효적으로	실효/NNG+적/XSN+으로/JKB
이행하고	이행하/VV+고/EC
수립하기	수립하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
논의의	논의/NNG+의/JKG
장이었다	장/NNG+이/VCP+었/EP+다/EF

먼저	먼저/MAG
24일부터	24/SN+일/NNB+부터/JX
27일까지	27/SN+일/NNB+까지/JX
진행된	진행되/VV+ㄴ/ETM
아태장애인대회에서는	아태장애인대회/NNG+에서/JKB+는/JX
장애인	장애인/NNG
당사자들의	당사자/NNG+들/XSN+의/JKG
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
참여를	참여/NNG+를/JKO
통해	통하/VV+여/EC
형식적인	형식적/NNG+이/VCP+ㄴ/ETM
10년이	10/SN+년/NNB+이/JKC
아닌	아니/VCN+ㄴ/ETM
아태지역	아태/NNP+지역/NNG
장애인들의	장애인/NNG+들/XSN+의/JKG
인권이	인권/NNG+이/JKS
증진될	증진되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
공감대가	공감대/NNG+가/JKS
형성되고	형성되/VV+고/EC
이를	이/NP+를/JKO
위한	위하/VV+ㄴ/ETM
결의가	결의/NNG+가/JKS
있었다	있/VA+었/EP+다/EF

또한	또한/MAG
아태장애인연합(AP-DPI	아태장애인연합/NNG+(/SS+AP/SL+-/SO+DPI/SL
United)이	United/SL+)/SS+이/JKS
공식	공식/NNG
출범하면서	출범하/VV+면서/EC
유엔에스캅	유엔에스캅/NNP
실무그룹(Working	실무그룹/NNG+(/SS+Working/SL
Group)에	Group/SL+)/SS+에/JKB
참여할	참여하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자격을	자격/NNG+을/JKO
갖췄다	갖추/VV+었/EP+다/EF

지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
열린	열리/VV+ㄴ/ETM
고위급회의에서	고위급회의/NNG+에서/JKB
실무그룹	실무그룹/NNG
참여를	참여/NNG+를/JKO
희망,	희망/NNG+,/SP
신청한	신청하/VV+ㄴ/ETM
상태다	상태/NNG+이/VCP+다/EC

현재	현재/MAG
아태장애인연합에는	아태장애인연합/NNG+에/JKB+는/JX
15개국	15/SN+개국/NNB
39개	39/SN+개/NNB
단체가	단체/NNG+가/JKS
가입해있다	가입하/VV+여/EC+있/VX+다/EC

장애인의	장애인/NNG+의/JKG
권리	권리/NNG
실현	실현/NNG
행동하는	행동하/VV+는/ETM
10년이라는	10/SN+년/NNB+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
지난달	지난달/NNG
26일부터	26/SN+일/NNB+부터/JX
30일까지	30/SN+일/NNB+까지/JX
5일간	5/SN+일/NNB+간/XSN
진행된	진행되/VV+ㄴ/ETM
아태장애포럼	아태장애포럼/NNG
역시	역시/MAG
‘제2차	‘/SN+제/XPN+2/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년’의	10/SN+년/NNB+’/SL+의/JKG
평가와	평가/NNG+와/JC
새로운	새롭/VA+ㄴ/ETM
‘제3차	‘/SL+제/XPN+3/SN+차/NNB
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년’의	10/SN+년/NNB+’/SL+의/JKG
방향이	방향/NNG+이/JKS
제시됐다	제시되/VV+었/EP+다/EF

향후	향후/NNG
아태지역의	아태/NNP+지역/NNG+의/JKG
국가들이	국가/NNG+들/XSN+이/JKS
아태장애인	아태장애/NNG+이/VCP+ㄴ/ETM
10년을	10/SN+년/NNB+을/JKO
잘	잘/MAG
이행하고	이행하/VV+고/EC
있는지	있/VX+는지/EC
모니터링	모니터링/NNG
하고,	하/VV+고/EC+,/SP
준수할	준수하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
행동(투쟁)으로써	행동/NNG+(/SS+투쟁/NNG+)/SS+으로써/JKB
촉구한다는	촉구하/VV+ㄴ다는/ETM
계획이다	계획/NNG+이/VCP+다/EC

지난달	지난달/NNG
29일부터	29/SN+일/NNB+부터/JX
2일까지	2/SN+일/NNB+까지/JX
진행된	진행되/VV+ㄴ/ETM
RI세계대회는	RI/SL+세계대회/NNG+는/JX
유엔장애인권리협약과	유엔/NNP+장애인권리협약/NNG+과/JC
빈곤	빈곤/NNG
등	등/NNB
전	전/MM
세계	세계/NNG
장애인의	장애인/NNG+의/JKG
공동안건에	공동안건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
효과적	효과적/NNG
이행과	이행/NNG+과/JC
전략을	전략/NNG+을/JKO
모색하기	모색하/VV+기/ETN
위해	위하/VV+여/EC
병행됐다	병행되/VV+었/EP+다/EF

이에	이/NP+에/JKB
따라	따르/VV+아/EC
세계재활협회	세계재활협회/NNG
등은	등/NNB+은/JX
‘두드림	‘/SL+두드림/NNP
인천	인천/NNP
선언문’을	선언문’/NNG+을/JKO
채택했다	채택하/VV+였/EP+다/EC

선언문에는	선언문/NNG+에/JKB+는/JX
유엔장애인권리협약과	유엔/NNP+장애인권리협약/NNG+과/JC
선택의정서의	선택의정서/NNG+의/JKG
완전한	완전하/VA+ㄴ/ETM
비준과	비준/NNG+과/JC
이행	이행/NNG
촉구	촉구/NNG
각국	각국/NNG
정부와	정부/NNG+와/JC
국제기구에	국제기구/NNG+에/JKB
장애인	장애인/NNG
사회참여와	사회참여/NNG+와/JC
평등	평등/NNG
위한	위하/VV+ㄴ/ETM
적극적	적극적/NNG
해빌리테이션과	해빌리테이션/NNG+과/JC
리해빌리테이션	리해/NNP+빌리테이션/NNG
활동	활동/NNG
강화	강화/NNG
등이	등/NNB+이/JKS
담겨있다	담기/VV+어/EC+있/VX+다/EC

특히	특히/MAG
지난달	지난달/NNG
29일부터	29/SN+일/NNB+부터/JX
2일까지	2/SN+일/NNB+까지/JX
열린	열리/VV+ㄴ/ETM
유엔에스캅	유엔에스캅/NNP
정부간고위급회의에서는	정부간고위급회의/NNG+에서/JKB+는/JX
제3차	제/XPN+3/SN+차/NNB
아태장애인	아태장애인/NNG
10년을	10/SN+년/NNB+을/JKO
위한	위하/VV+ㄴ/ETM
인천전략을	인천/NNP+전략/NNG+을/JKO
최종	최종/NNG
채택,	채택/NNG+,/SP
선포하고	선포하/VV+고/EC
향후	향후/NNG
나아갈	나아가/VV+ㄹ/ETM
방향을	방향/NNG+을/JKO
제시했다	제시하/VV+였/EP+다/EC

최종	최종/NNG
채택된	채택되/VV+ㄴ/ETM
인천전략은	인천전략/NNP+은/JX
10개의	10/SN+개/NNB+의/JKG
목표와	목표/NNG+와/JC
