실효성	실효성/NNG
없는	없/VA+는/ETM
'장애인추천보조금'	'/SS+장애인추천보조금/NNG+'/SS

장애인의	장애인/NNG+의/JKG
정치참여확대를	정치참여확대/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
장애인추천보조금의	장애인추천보조금/NNG+의/JKG
도입	도입/NNG
취지가	취지/NNG+가/JKS
무색해지고	무색하/VA+여/EC+지/VX+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타나	나타나/VV+아/EC
대책	대책/NNG
마련이	마련/NNG+이/JKS
필요하다는	필요하/VA+다는/ETM
지적이다	지적/NNG+이/VCP+다/EC

통합진보당	통합진보당/NNP
이상규	이상규/NNP
의원(국회	의원/NNG+(/SS+국회/NNG
행정안전위원회)은	행정안전위원회/NNG+)/SS+은/JX
5일	5/SN+일/NNB
중앙선거관리위원회	중앙선거관리위원회/NNG
국정감사	국정감사/NNG
자료를	자료/NNG+를/JKO
통해	통하/VV+여/EC
“장애인추천보조금은	“/SL+장애인추천보조금/NNG+은/JX
2010년	2010/SN+년/NNB
도입된	도입되/VV+ㄴ/ETM
이후	이후/NNG
2010년	2010/SN+년/NNB
지방선거에서	지방선거/NNG+에서/JKB
민주당에	민주당/NNP+에/JKB
2억	2/SN+억/NR
2677만원이	2677/SN+만/NR+원/NNB+이/JKS
지급됐으나	지급되/VV+었/EP+으나/EC
올해	올해/NNG
지급액은	지급액/NNG+은/JX
0원”이라면서	0/SN+원/NNB+”/SN+이/VCP+라면서/EC
“장애인	“/SN+장애인/NNG
정치참여확대	정치참여확대/NNG
취지를	취지/NNG+를/JKO
무색하게	무색하/VA+게/EC
하고	하/VX+고/EC
있다”고	있/VX+다/EC+”/VV+고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

장애인추천보조금의	장애인추천보조금/NNG+의/JKG
지급기준은	지급기준/NNG+은/JX
중앙선거관리위원회가	중앙선거관리위원회/NNG+가/JKS
지역구	지역구/NNG
선출정수를	선출정수/NNG+를/JKO
기준으로	기준/NNG+으로/JKB
구간별로	구간/NNG+별/XSN+로/JKB
지급한다	지급하/VV+ㄴ다/EF

또한	또한/MAG
지급	지급/NNG
당시	당시/NNG
국회의석	국회의석/NNG
수에	수/NNG+에/JKB
따라	따르/VV+아/EC
50%를	50/SN+%/SW+를/JKO
지급하고,	지급하/VV+고/EC+,/SP
잔여분은	잔여분/NNG+은/JX
최근	최근/NNG
실시한	실시하/VV+ㄴ/ETM
임기만료에	임기만료/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
국회의원	국회의원/NNG
선거의	선거/NNG+의/JKG
득표수	득표수/NNG
비율에	비율/NNG+에/JKB
따라	따르/VV+아/EC
배분,	배분/NNG+,/SP
지급하게	지급하/VV+게/EC
되어	되/VV+어/EC
있다	있/VX+다/EC

이상규	이상규/NNP
의원은	의원/NNG+은/JX
“장애인	“/SL+장애/NNG+이/VCP+ㄴ/ETM
추천과	추천/NNG+과/JC
관련한	관련하/VV+ㄴ/ETM
해당	해당/NNG
법령이	법령/NNG+이/JKS
부재한	부재하/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
같은	같/VA+은/ETM
수의	수/NNG+의/JKG
장애인	장애인/NNG
후보를	후보/NNG+를/JKO
추천하더라도	추천하/VV+더라도/EC
지급분의	지급분/NNG+의/JKG
차액이	차액/NNG+이/JKS
발생해	발생하/VV+여/EC
거대	거대/NNG
정당에게	정당/NNG+에게/JKB
유리할	유리하/VA+ㄹ/ETM
수	수/NNB
밖에	밖에/JX
없다”면서	없/VA+다/EC+”/VX+면서/EC
“장애인추천보조금의	“/SL+장애인추천보조금/NNG+의/JKG
실효성을	실효성/NNG+을/JKO
위해서는	위하/VV+여서/EC+는/JX
정당	정당/NNG
내	내/NNB
추천비율을	추천비율/NNG+을/JKO
일정하게	일정하/VA+게/EC
도입하거나,	도입하/VV+거나/EC+,/SP
장애인	장애인/NNG
후보자에게	후보자/NNG+에게/JKB
차등	차등/NNG
없이	없이/MAG
지원하는	지원하/VV+는/ETM
방안	방안/NNG
등이	등/NNB+이/JKS
고려되어야	고려되/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SN+고/JKQ
제시했다	제시하/VV+였/EP+다/EC
