"선관위,	"/SS+선관위/NNG+,/SP
임시경사로	임시경/NNG+사/XSN+로/JKB
설치에만	설치/NNG+에/JKB+만/JX
'치중'"	'/SS+치중/NNG+'"/SS

중앙선거관리위원회가	중앙선거관리위원회/NNG+가/JKS
18대	18/SN+대/NNB
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
투표소	투표소/NNG
이동통로	이동통로/NNG
설치에만	설치/NNG+에/JKB+만/JX
치중하고	치중하/VV+고/EC
있어	있/VX+어/EC
여전히	여전히/MAG
장애인	장애인/NNG
편의시설이	편의시설/NNG+이/JKS
부족하다는	부족하/VA+다는/ETM
지적이	지적/NNG+이/JKS
나왔다	나오/VV+았/EP+다/EF

통합진보당	통합진보당/NNP
이상규	이상규/NNP
의원은	의원/NNG+은/JX
5일	5/SN+일/NNB
국회	국회/NNG
행정안전위원회	행정안전위원회/NNG
국정감사에서	국정감사/NNG+에서/JKB
“중앙선관위가	“/SN+중앙선관위/NNG+가/JKS
시도선거관리위원회에	시도선거관리위원회/NNG+에/JKB
장애인	장애인/NNG
유권자를	유권자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
투표	투표/NNG
편의시설	편의시설/NNG
지원	지원/NNG
대책을	대책/NNG+을/JKO
전달했지만	전달하/VV+였/EP+지만/EC
실제	실제/NNG
장애인에게	장애인/NNG+에게/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
만한	만하/VX+ㄴ/ETM
편의시설이	편의시설/NNG+이/JKS
부족했다”면서	부족하/VA+었/EP+다/EC+”/VV+면서/EC
“전동스쿠터	“/SL+전동스쿠터/NNG
이용	이용/NNG
장애인에게는	장애인/NNG+에게/JKB+는/JX
장애인기표대도	장애인기표대/NNG+도/JX
무용지물”이라고	무용지물”/NNG+이/VCP+라고/EC
꼬집었다	꼬집/VV+었/EP+다/EF

이	이/MM
의원에	의원/NNG+에/JKB
따르면	따르/VV+면/EC
중앙선거관리위원회가	중앙선거관리위원회/NNG+가/JKS
시도선거관리위원회에	시도선거관리위원회/NNG+에/JKB
전달한	전달하/VV+ㄴ/ETM
18대	18/SN+대/NNB
대선	대선/NNG
장애인	장애인/NNG
유권자	유권자/NNG
등	등/NNB
투표	투표/NNG
편의	편의/NNG
지원대책의	지원대책/NNG+의/JKG
주요내용은	주요내용/NNG+은/JX
투표	투표/NNG
예정	예정/NNG
투표소	투표소/NNG
13,511개소가	13,511/SN+개소/NNB+가/JKS
투표소	투표소/NNG
임시경사로	임시경/NNG+사/XSN+로/JKB
설치에만	설치/NNG+에/JKB+만/JX
치중하고	치중하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

투표소	투표소/NNG
13,511개소	13,511/SN+개소/NNB
중	중/NNB
점자블록이	점자블록/NNG+이/JKS
설치되지	설치되/VV+지/EC
않은	않/VX+은/ETM
투표소는	투표소/NNG+는/JX
8,530개소로	8,530/SN+개소/NNB+로/JKB
63	63/SN

1%나	1/SN+%/SW+나/JX
차지하고	차지하/VV+고/EC
