‘UN	‘UN/SL
장애인권리협약’	장애인권리협약/NNG+’/SL
당사국회의	당사국회의/NNG
참석	참석/NNG

보건복지부와	보건복지부/NNG+와/JC
한국장애인개발원은	한국/NNP+장애인개발/NNG+원/XSN+은/JX
오는	오/VV+는/ETM
12일부터	12/SN+일/NNB+부터/JX
14일까지	14/SN+일/NNB+까지/JX
미국	미국/NNP
뉴욕	뉴욕/NNP
유엔본부에서	유엔/NNP+본부/NNG+에서/JKB
열리는	열리/VV+는/ETM
‘제5차	‘/SL+제/XPN+5/SN+차/NNB
유엔	유엔/NNP
장애인권리협약	장애인권리협약/NNG
당사국회의’에	당사국회의’/NNG+에/JKB
한국대표단으로	한국/NNP+대표단/NNG+으로/JKB
참석한다	참석하/VV+ㄴ다/EF

이번	이번/NNG
회의에서는	회의/NNG+에서/JKB+는/JX
신임	신임/NNG
장애인권리위원(9명)	장애인권리위원/NNG+(/SS+9/SN+명/NNB+)/SS
선거와	선거/NNG+와/JKB
함께,	함께/MAG+,/SP
장애아동과	장애아동/NNG+과/JC
여성,	여성/NNG+,/SP
접근성과	접근성/NNG+과/JC
기술,	기술/NNG+,/SP
장애인복지시설	장애인복지시설/NNG
관련	관련/NNG
협약	협약/NNG
이행	이행/NNG
상황에	상황/NNG+에/JKB
대해	대하/VV+여/EC
당사국간	당사국/NNG+간/NNB
모범사례	모범사례/NNG
및	및/MAG
정보를	정보/NNG+를/JKO
교류하고,	교류하/VV+고/EC+,/SP
이행방안에	이행방안/NNG+에/JKB
대해	대하/VV+여/EC
논의한다	논의하/VV+ㄴ다/EF

개발원은	개발원/NNG+은/JX
제4차	제/XPN+4/SN+차/NNB
장애인정책발전	장애인정책발전/NNG
5개년	5/SN+개년/NNB
계획	계획/NNG
및	및/MAG
장애아동	장애아동/NNG
인권보장,	인권보장/NNG+,/SP
성년후견제	성년/NNP+후견제/NNG
등	등/NNB
장애인권리협약	장애인권리협약/NNG
이행을	이행/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
우리나라의	우리나라/NNG+의/JKG
장애인	장애인/NNG
정책을	정책/NNG+을/JKO
알릴	알리/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

또한	또한/MAG
회의참여를	회의참여/NNG+를/JKO
통해	통하/VV+여/EC
‘제3차	‘/SL+제/XPN+3/SN+차/NNB
아?태장애인	아/NNG+?/SF+태장애인/NNG
10년’을	10/SN+년/NNB+’/SL+을/JKO
이행할	이행하/VV+ㄹ/ETM
인천전략의	인천/NNP+전략/NNG+의/JKG
성공을	성공/NNG+을/JKO
위해	위하/VV+여/EC
국제적	국제적/NNG
협력관계를	협력관계/NNG+를/JKO
구축할	구축하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

뿐만	뿐/NNB+만/JX
아니라	아니/VCN+라/EC
한국	한국/NNP
대표단은	대표단/NNG+은/JX
부대행사로	부대행사/NNG+로/JKB
‘2012	‘/SL+2012/SN
유엔	유엔/NNP
에스캅	에스캅/NNG
정부간고위급회의	정부간고위급회의/NNG
및	및/MAG
인천세계장애대회’	인천/NNP+세계장애대회/NNG+’/SL
홍보영상	홍보영상/NNG
상영	상영/NNG
등	등/NNB
대회를	대회/NNG+를/JKO
알리는	알리/VV+는/ETM
다양한	다양하/VA+ㄴ/ETM
홍보	홍보/NNG
등을	등/NNB+을/JKO
전개할	전개하/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

한편,	한편/NNG+,/SP
‘2012	‘/SL+2012/SN
유엔	유엔/NNP
에스캅	에스캅/NNP
정부간고위급회의	정부간고위급회의/NNG
및	및/MAG
인천세계장애대회’는	인천/NNP+세계장애대회/NNG+’/SL+는/JX
오는	오/VV+는/ETM
10월	10/SN+월/NNB
24일부터	24/SN+일/NNB+부터/JX
11월	11/SN+월/NNB
2일까지	2/SN+일/NNB+까지/JX
인천	인천/NNP
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
개최된다	개최되/VV+ㄴ다/EF

보건복지부와	보건복지부/NNG+와/JC
인천시가	인천시/NNP+가/JKS
주최하는	주최하/VV+는/ETM
이번	이번/NNG
대회에는	대회/NNG+에/JKB+는/JX
100개국에서	100/SN+개국/NNB+에서/JKB
약	약/MM
3,000명의	3,000/SN+명/NNB+의/JKG
인사들이	인사/NNG+들/XSN+이/JKS
참여할	참여하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC
