장애인	장애인/NNG
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
1만3천여명	1/SN+만/NR+3/SN+천/NR+여/XSN+명/NNB
'부족'	'/SS+부족/NNG+'/SS

국회	국회/NNG
보건복지위원회	보건복지위원회/NNG
최동익	최동익/NNP
의원(민주통합당)은	의원/NNG+(/SS+민주통합당/NNP+)/SS+은/JX
19일	19/SN+일/NNB
1급	1/SN+급/NNG
장애인의	장애인/NNG+의/JKG
자립생활을	자립생활/NNG+을/JKO
지원하고	지원하/VV+고/EC
있는	있/VX+는/ETM
'장애인활동지원제도'가	'/SS+장애인활동지원제도/NNG+'/SS+가/JKS
활동보조인과	활동보조인/NNG+과/JC
국민연금공단의	국민연금공단/NNG+의/JKG
전담인력	전담인력/NNG
부족으로	부족/NNG+으로/JKB
실질적인	실질적/NNG+이/VCP+ㄴ/ETM
지원이	지원/NNG+이/JKS
이뤄지지	이루어지/VV+지/EC
않고	않/VX+고/EC
있다고	있/VX+다고/EC
지적했다	지적하/VV+였/EP+다/EF

최	최/NNP
의원이	의원/NNG+이/JKS
보건복지부로부터	보건복지부/NNG+로부터/JKB
제출	제출/NNG
받은	받/VV+은/ETM
‘장애인활동지원제도	‘/SN+장애인활동지원제도/NNG
이용	이용/NNG
및	및/MAG
활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
현황’(2012년	현황/NNG+’/SN+(/SS+2012/SN+년/NNB
7월	7/SN+월/NNB
기준)에	기준/NNG+)/SS+에/JKB
따르면	따르/VV+면/EC
장애인활동지원을	장애인활동지원/NNG+을/JKO
신청한	신청하/VV+ㄴ/ETM
1급	1/SN+급/NNG
장애인은	장애인/NNG+은/JX
5만192명인	5/SN+만/NR+192/SN+명/NNB+이/VCP+ㄴ/ETM
반면	반면/NNG
활동보조인은	활동보조인/NNG+은/JX
3만6,726명으로	3/SN+만/NR+6,726/SN+명/NNB+으로/JKB
1만3,466명의	1/SN+만/NR+3,466/SN+명/NNB+의/JKG
활동보조인이	활동보조인/NNG+이/JKS
부족한	부족하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

활동보조인	활동보조/NNG+이/VCP+ㄴ/ETM
부족	부족/NNG
현황을	현황/NNG+을/JKO
지역별로	지역/NNG+별/XSN+로/JKB
보면,	보/VV+면/EC+,/SP
경기도	경기도/NNP
부천시가	부천시/NNP+가/JKS
활동보조인이	활동보조인/NNG+이/JKS
가장	가장/MAG
부족한	부족하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
집계됐다	집계되/VV+었/EP+다/EF

부천시의	부천시/NNP+의/JKG
경우	경우/NNG
장애인활동지원서비스를	장애인활동지원서비스/NNG+를/JKO
신청한	신청하/VV+ㄴ/ETM
인원은	인원/NNG+은/JX
798명이었지만	798/SN+명/NNB+이/VCP+었/EP+지만/EC
등록된	등록되/VV+ㄴ/ETM
활동보조인은	활동보조인/NNG+은/JX
389명으로	389/SN+명/NNB+으로/JKB
409명이	409/SN+명/NNB+이/JKS
부족했다	부족하/VA+었/EP+다/EC

이어	이어/MAG
안산시(390명),	안산시/NNP+(/SS+390/SN+명/NNB+)/SS+,/SP
수원시(373명),	수원시/NNP+(/SS+373/SN+명/NNB+)/SS+,/SP
인천광역시	인천광역시/NNP
부평구(363명)	부평구/NNP+(/SS+363/SN+명/NNB+)/SS
순이었다	순/XSN+이/VCP+었/EP+다/EF

현재	현재/MAG
활동보조인의	활동보조인/NNG+의/JKG
질	질/NNG
관리나	관리/NNG+나/JC
서비스	서비스/NNG
제공의	제공/NNG+의/JKG
모니터링과	모니터링/NNG+과/JKB
같은	같/VA+은/ETM
서비스	서비스/NNG
대상자	대상자/NNG
관리,	관리/NNG+,/SP
활동지원기관의	활동지원기관/NNG+의/JKG
관리	관리/NNG
및	및/MAG
평가는	평가/NNG+는/JX
국민연금공단이	국민연금공단/NNP+이/JKS
전담해	전담하/VV+여/EC
오고	오/VX+고/EC
있다	있/VX+다/EC

하지만	하지만/MAJ
국민연금공단에서	국민연금공단/NNP+에서/JKB
장애인활동지원제도	장애인활동지원제/NNG+도/JX
전담인력은	전담인력/NNG+은/JX
고작	고작/MAG
