별도	별도/NNG
법	법/NNG
제정,	제정/NNG+,/SP
'한국형	'/SS+한국/NNP+형/XSN
P&A'	P/SL+&/SW+A/SL+'/SS
도입	도입/NNG
필요	필요/NNG

국가인권위원회가	국가인권위원회/NNG+가/JKS
구성되고,	구성되/VV+고/EC+,/SP
장애인차별금지법이	장애인차별금지법/NNG+이/JKS
제정됐지만	제정되/VV+었/EP+지만/EC
아직도	아직/MAG+도/JX
장애인	장애인/NNG
인권침해	인권침해/NNG
사건은	사건/NNG+은/JX
끊임없이	끊임없이/MAG
일어나고	일어나/VV+고/EC
있다	있/VX+다/EC

광주인화학교의	광주/NNP+인화학교/NNG+의/JKG
‘도가니	‘/SL+도/NNG+가니/JC
사건’	사건’/NNG
이후	이후/NNG
최근	최근/NNG
발생한	발생하/VV+ㄴ/ETM
‘원주	‘/SN+원주/NNB
사랑의	사랑/NNG+의/JKG
집	집/NNG
사건’은	사건’/NNG+은/JX
장애인이	장애인/NNG+이/JKS
인권의	인권/NNG+의/JKG
사각지대에	사각지대/NNG+에/JKB
방치되고	방치되/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
어김없이	어김없이/MAG
보여주는	보이/VV+어/EC+주/VX+는/ETM
끔찍한	끔찍하/VA+ㄴ/ETM
사건이였다	사건/NNG+이/VCP+였/EP+다/EF

지속적으로	지속적/NNG+으로/JKB
장애인계는	장애인계/NNG+는/JX
국가인권위원회와는	국가인권위원회/NNG+와/JKB+는/JX
별도로	별도/NNG+로/JKB
장애인권리옹호제도를	장애인권리옹호제도/NNG+를/JKO
만들어야	만들/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
목소리를	목소리/NNG+를/JKO
내어	내/VV+어어/EC
왔다	오/VX+았/EP+다/EF

현재	현재/MAG
다양한	다양하/VA+ㄴ/ETM
방식으로	방식/NNG+으로/JKB
장애인권리옹호	장애인권리옹호/NNP
제도화를	제도화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
방안도	방안/NNG+도/JX
논의되고	논의되/VV+고/EC
있는	있/VX+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

법무법인	법무법인/NNG
지평지성	지평지성/NNP
임성택	임성택/NNP
변호사가	변호사/NNG+가/JKS
미국의	미국/NNP+의/JKG
P&A에	P/SL+&/SW+A/SL+에/JKB
대해	대하/VV+여/EC
설명한	설명하/VV+ㄴ/ETM
뒤	뒤/NNG
한국형	한국/NNP+형/XSN
P&A	P/SL+&/SW+A/SL
제도화를	제도화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
방안을	방안/NNG+을/JKO
밝히고	밝히/VV+고/EC
있는	있/VX+는/ETM
모습	모습/NNG

법무법인	법무법인/NNG
지평지성	지평지성/NNP
임성택	임성택/NNP
변호사는	변호사/NNG+는/JX
16일	16/SN+일/NNB
국가인권위원회에서	국가인권위원회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘장애인	‘/SN+장애인/NNG
권리옹호	권리옹호/NNP
제도화	제도화/NNG
토론회’에	토론회/NNG+’/SL+에/JKB
참석해	참석하/VV+여/EC
장애인권리옹호제도	장애인권리옹호제도/NNG
도입을	도입/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
체계적인	체계적/NNG+이/VCP+ㄴ/ETM
입법	입법/NNG
틀	틀/NNG
마련을	마련/NNG+을/JKO
강조하며,	강조하/VV+며/EC+,/SP
방안을	방안/NNG+을/JKO
제시했다	제시하/VV+였/EP+다/EC

■미국의	■/SW+미국/NNP+의/JKG
P&A	P/SL+&/SW+A/SL
무엇?=임	무엇/NP+?/SF+=/SW+임/NNP
변호사는	변호사/NNG+는/JX
미국의	미국/NNP+의/JKG
장애인	장애인/NNG
권리옹호시스템인	권리옹호시스템/NNP+이/VCP+ㄴ/ETM
P&A(Protection	P/SL+&/SW+A/SL+(/SS+Protection/SL
and	and/SL
Advocacy)를	Advocacy/SL+)/SS+를/JKO
우리나라	우리나라/NNG
상황에	상황/NNG+에/JKB
맞는	맞/VV+는/ETM
장애인권리옹호체계를	장애인권리옹호체계/NNG+를/JKO
만들어야	만들/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
전제했다	전제하/VV+였/EP+다/EC

미국의	미국/NNP+의/JKG
P&A는	P/SL+&/SW+A/SL+는/JX
중앙	중앙/NNG
P&A	P/SL+&/SW+A/SL
기관과	기관/NNG+과/JC
지방	지방/NNG
P&A	P/SL+&/SW+A/SL
기관으로	기관/NNG+으로/JKB
분류된다	분류되/VV+ㄴ다/EF

중앙	중앙/NNG
P&A	P/SL+&/SW+A/SL
기관은	기관/NNG+은/JX
지방	지방/NNG
P&A기관에	P/SL+&/SW+A/SL+기관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지원,	지원/NNG+,/SP
연계체계	연계체계/NNG
구축,	구축/NNG+,/SP
프로그램	프로그램/NNG
및	및/MAG
정책개발,	정책개발/NNG+,/SP
교육	교육/NNG
등의	등/NNB+의/JKG
역할을	역할/NNG+을/JKO
수행한다	수행하/VV+ㄴ다/EC

지방	지방/NNG
P&A	P/SL+&/SW+A/SL
기관은	기관/NNG+은/JX
시도	시도/NNG
단위로	단위/NNG+로/JKB
설치되고,	설치되/VV+고/EC+,/SP
큰	크/VA+ㄴ/ETM
지자체의	지자체/NNG+의/JKG
경우	경우/NNG
지역을	지역/NNG+을/JKO
분할해	분할하/VV+여/EC
여러	여러/MM
개의	개/NNB+의/JKG
P&A기관이	P/SL+&/SW+A/SL+기관/NNG+이/JKS
설립한다	설립하/VV+ㄴ다/EF

P&A	P/SL+&/SW+A/SL
기관들은	기관/NNG+들/XSN+은/JX
장애인	장애인/NNG
학대나	학대/NNG+나/JC
방임	방임/NNG
사건이	사건/NNG+이/JKS
발생했다는	발생하/VV+였/EP+다는/ETM
이유가	이유/NNG+가/JKS
있다면	있/VA+다면/EC
조사를	조사/NNG+를/JKO
시작할	시작하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

조사와	조사/NNG+와/JKB
관련해서	관련하/VV+여서/EC
강제조사권	강제조사권/NNG
부여,	부여/NNG+,/SP
임의조사권만	임의조사권/NNG+만/JX
부여하되	부여하/VV+되/EC
조사를	조사/NNG+를/JKO
거부하거나	거부하/VV+거나/EC
기피하는	기피하/VV+는/ETM
자를	자/NNB+를/JKO
제재하는	제재하/VV+는/ETM
방안,	방안/NNG+,/SP
임의조사권을	임의조사권/NNG+을/JKO
부여하고	부여하/VV+고/EC
조사거부	조사거부/NNG
등의	등/NNB+의/JKG
상황이	상황/NNG+이/JKS
발생하면	발생하/VV+면/EC
인권위	인권위/NNG
또는	또는/MAG
수사기관에	수사기관/NNG+에/JKB
의뢰해	의뢰하/VV+여/EC
조사	조사/NNG
가능하다	가능하/VA+다/EC

P&A	P/SL+&/SW+A/SL
기관들은	기관/NNG+들/XSN+은/JX
학대와	학대/NNG+와/JC
방임을	방임/NNG+을/JKO
조사한	조사하/VV+ㄴ/ETM
뒤	뒤/NNG
피해당사자를	피해당사자/NNG+를/JKO
격리,	격리/NNG+,/SP
보호하거나	보호하/VV+거나/EC
지역사회로	지역사회/NNG+로/JKB
자립할	자립하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
도울	돕/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

가해자를	가해자/NNG+를/JKO
고발하거나	고발하/VV+거나/EC
피해자로부터	피해자/NNG+로부터/JKB
분리하는	분리하/VV+는/ETM
것	것/NNB
등	등/NNB
여러	여러/MM
수단들을	수단/NNG+들/XSN+을/JKO
함께	함께/MAG
시도할	시도하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

또한	또한/MAG
P&A	P/SL+&/SW+A/SL
기관들은	기관/NNG+들/XSN+은/JX
개별적·집단소송으로	개별적/NNG+·/SP+집단소송/NNG+으로/JKB
장애인들의	장애인/NNG+들/XSN+의/JKG
권리를	권리/NNG+를/JKO
옹호하기	옹호하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
소송도	소송/NNG+도/JX
제기할	제기하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

조사결과를	조사결과/NNG+를/JKO
기술하고	기술하/VV+고/EC
개선조치를	개선조치/NNG+를/JKO
권고하는	권고하/VV+는/ETM
공적	공적/NNG
보고서	보고서/NNG
발행이나	발행/NNG+이나/JC
감시와	감시/NNG+와/JC
개선을	개선/NNG+을/JKO
위해	위하/VV+여/EC
해당	해당/NNG
시설과의	시설/NNG+과/JKB+의/JKG
기술지원,	기술지원/NNG+,/SP
자기옹호	자기옹호/NNP
훈련도	훈련/NNG+도/JX
제공할	제공하/VV+ㄹ/ETM
수	수/NNB
있다	있/VA+다/EC

■P&A(장애인	■/SW+P/SL+&/SW+A/SL+(/SS+장애인/NNG
권리옹호체계)	권리옹호/NNP+체계/NNG+)/SS
도입	도입/NNG
왜	왜/MAG
필요할까?=임	필요하/VA+ㄹ까/EF+?/SF+=/SW+임/NNP
변호사는	변호사/NNG+는/JX
“의사소통에	“/SL+의사소통/NNG+에/JKB
장애가	장애/NNG+가/JKS
있거나,	있/VA+거나/EC+,/SP
판단능력이	판단능력/NNG+이/JKS
부족해	부족하/VA+여/EC
다른	다른/MM
사람의	사람/NNG+의/JKG
도움	도움/NNG
없이는	없이/MAG+는/JX
권리구제	권리구제/NNG
절차에	절차/NNG+에/JKB
참여하기	참여하/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
경우도	경우/NNG+도/JX
있고,	있/VA+고/EC+,/SP
신체적	신체/NNG+적/XSN
장애로	장애/NNG+로/JKB
인해	인하/VV+여/EC
법원	법원/NNG
등	등/NNB
권리구제기관에	권리구제기관/NNG+에/JKB
접근하거나	접근하/VV+거나/EC
이동하기	이동하/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
경우가	경우/NNG+가/JKS
있다”며	있/VA+다”며/EC
“장애인의	“/SL+장애인/NNG+의/JKG
권리를	권리/NNG+를/JKO
보장하고,	보장하/VV+고/EC+,/SP
헌법상	헌법/NNG+상/XSN
요구되는	요구되/VV+는/ETM
특별한	특별하/VA+ㄴ/ETM
보호를	보호/NNG+를/JKO
다하기	다하/VV+기/ETN
위해서	위하/VV+여서/EC
장애인의	장애인/NNG+의/JKG
권리옹호를	권리옹호/NNG+를/JKO
조력하는	조력하/VV+는/ETM
시스템	시스템/NNG
마련이	마련/NNG+이/JKS
필수적”이라고	필수적”/NNG+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

이어	이어/MAG
“현재	“/SL+현재/NNG
국가인권위원회는	국가인권위원회/NNG+는/JX
모든	모든/MM
인권문제를	인권문제/NNG+를/JKO
업무범위로	업무범위/NNG+로/JKB
하고	하/VV+고/EC
있고,	있/VX+고/EC+,/SP
장애인	장애인/NNG
인권옹호	인권옹호/NNG
업무를	업무/NNG+를/JKO
처리하는	처리하/VV+는/ETM
인력과	인력/NNG+과/JC
예산이	예산/NNG+이/JKS
매우	매우/MAG
제한되어	제한되/VV+어/EC
있는	있/VX+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

실제	실제/NNG
장애인	장애인/NNG
관련	관련/NNG
진정사건의	진정사건/NNG+의/JKG
처리속도가	처리속도/NNG+가/JKS
늦고,	늦/VA+고/EC+,/SP
빈발하는	빈발하/VV+는/ETM
장애인	장애인/NNG
인권침해	인권침해/NNG
사건에	사건/NNG+에/JKB
국가인권위원회가	국가인권위원회/NNG+가/JKS
기동성	기동성/NNG
있게	있/VA+게/EC
관여하는	관여하/VV+는/ETM
것은	것/NNB+은/JX
어려운	어렵/VA+ㄴ/ETM
상황”이라면서	상황/NNG+”/SN+이/VCP+라면서/EC
“국가인권위원회와는	“/SL+국가인권위원회/NNG+와/JKB+는/JX
별도로	별도/NNG+로/JKB
장애인	장애인/NNG
특성에	특성/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해와	이해/NNG+와/JC
전문성을	전문/NNG+성/XSN+을/JKO
갖춘	갖추/VV+ㄴ/ETM
장애인	장애인/NNG
권리옹호	권리옹호/NNP
시스템을	시스템/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EC+”/VX+고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

■한국형	■/SW+한국/NNP+형/XSN
P&A,	P/SL+&/SW+A/SL+,/SP
어느	어느/MM
법률에	법률/NNG+에/JKB
둬야하나?=임	두/VV+어야/EC+하/VX+나/EF+?/SF+=/SW+임/NNG
변호사는	변호사/NNG+는/JX
한국형으로	한국/NNP+형/XSN+으로/JKB
P&A를	P/SL+&/SW+A/SL+를/JKO
도입한다면,	도입하/VV+ㄴ다면/EC+,/SP
새로운	새롭/VA+ㄴ/ETM
법률	법률/NNG
제정을	제정/NNG+을/JKO
통해	통하/VV+여/EC
명시해놔야	명시하/VV+여/EC+놓/VX+아야/EC
한다고	하/VX+ㄴ다고/EC
제시했다	제시하/VV+였/EP+다/EC

현재	현재/MAG
장애인복지법,	장애인복지법/NNG+,/SP
장애인차별금지법	장애인차별금지법/NNG
개정을	개정/NNG+을/JKO
통해	통하/VV+여/EC
P&A를	P/SL+&/SW+A/SL+를/JKO
명시해놓기에는	명시하/VV+여/EC+놓/VX+기/ETN+에/JKB+는/JX
어려움이	어려움/NNG+이/JKS
따른다는	따르/VV+ㄴ다는/ETM
이유다	이유/NNG+이/VCP+다/EF

임	임/NNP
변호사는	변호사/NNG+는/JX
“권리옹호체계를	“/SN+권리옹호/NNP+체계/NNG+를/JKO
만들게	만들/VV+게/EC
된다면,	되/VV+ㄴ다면/EC+,/SP
어떤	어떤/MM
법률에	법률/NNG+에/JKB
마련하는	마련하/VV+는/ETM
가의	가/NNB+의/JKG
문제가	문제/NNG+가/JKS
있다	있/VA+다/EC

어떤	어떤/MM
법률에	법률/NNG+에/JKB
두는지에	두/VV+는지/EC+에/JKB
따라	따르/VV+아/EC
소관부처가	소관부처/NNG+가/JKS
정해지는	정하/VV+여/EC+지/VX+는/ETM
문제도	문제/NNG+도/JX
있다	있/VA+다/EF

장애인권리옹호에	장애인권리옹호/NNP+에/JKB
관한	관하/VV+ㄴ/ETM
전반적인	전반적/NNG+이/VCP+ㄴ/ETM
내용을	내용/NNG+을/JKO
담는	담/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
법률(예컨대	법률/NNG+(/SS+예컨데/MAG
장애인권리보장법)이나	장애인권리보장법/NNG+)/SS+이나/JC
장애인권리옹호체계에	장애인권리옹호/NNP+체계/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
특별법을	특별법/NNG+을/JKO
만드는	만들/VV+는/ETM
방법이	방법/NNG+이/JKS
가장	가장/MAG
바람직하다고	바람직하/VA+다고/EC
판단된다”며	판단되/VV+ㄴ다/EC+”/VX+며/EC
“사회복지사업법이나	“/SN+사회복지사업법/NNG+이나/JC
사회보장기본법에	사회보장기본법/NNG+에/JKB
장애인,	장애인/NNG+,/SP
아동,	아동/NNG+,/SP
노인	노인/NNG
등	등/NNB
사회적	사회적/NNG
소수자를	소수자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
권리옹호기관에	권리옹호/NNP+기관/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
근거규정을	근거규정/NNG+을/JKO
만들고,	만들/VV+고/EC+,/SP
긴급전화의	긴급전화/NNG+의/JKG
경우	경우/NNG
통합된	통합되/VV+ㄴ/ETM
시스템을	시스템/NNG+을/JKO
적용하는	적용하/VV+는/ETM
것도	것/NNB+도/JX
좋은	좋/VA+은/ETM
방법”이라고	방법”/NNG+이/VCP+라고/EC
제안했다	제안하/VV+였/EP+다/EC

또한	또한/MAG
임	임/NNP
변호사는	변호사/NNG+는/JX
“장애인에	“/SN+장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
복지서비스를	복지서비스/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
하는	하/VV+는/ETM
장애인복지법에	장애인복지법/NNG+에/JKB
규정하게	규정하/VV+게/EC
된다면,	되/VV+ㄴ다면/EC+,/SP
장애인의	장애인/NNG+의/JKG
전반적	전반적/NNG
권리옹호를	권리옹호/NNG+를/JKO
P&A에	P/SL+&/SW+A/SL+에/JKB
담기에는	담/VV+기/ETN+에/JKB+는/JX
그릇이	그릇/NNG+이/JKS
작다는	작/VA+다는/ETM
비판이	비판/NNG+이/JKS
있을	있/VA+을/ETM
수	수/NNB
있다	있/VA+다/EC

장애인	장애인/NNG
권리옹호는	권리옹호/NNP+는/JX
장애인복지를	장애인복지/NNG+를/JKO
넘어서는	넘어서/VV+는/ETM
문제이기	문제/NNG+이/VCP+기/ETN
때문”이라고	때문/NNB+”/SL+이/VCP+라고/EC
설명했다	설명하/VV+었/EP+다/EC

임	임/NNP
변호사는	변호사/NNG+는/JX
P&A를	P/SL+&/SW+A/SL+를/JKO
장애인차별금지법에	장애인차별금지법/NNG+에/JKB
규정할	규정하/VV+ㄹ/ETM
경우에	경우/NNG+에/JKB
대해서도	대하/VV+여서/EC+도/JX
"장애인권리옹호는	"/SS+장애인권리옹호/NNG+는/JX
차별의	차별/NNG+의/JKG
문제를	문제/NNG+를/JKO
포함하지만	포함하/VV+지만/EC
차별의	차별/NNG+의/JKG
영역을	영역/NNG+을/JKO
넘어	넘/VV+어/EC
자유권,	자유/NNG+권/XSN+,/SP
정치적	정치적/NNG
기본권	기본권/NNG
등의	등/NNB+의/JKG
문제를	문제/NNG+를/JKO
망라하기	망라하/VV+기/ETN
때문에	때문/NNB+에/JKB
전반적인	전반적/NNG+이/VCP+ㄴ/ETM
권리옹호시스템을	권리옹호시스템/NNP+을/JKO
장애인차별금지법에	장애인차별금지법/NNG+에/JKB
두는	두/VV+는/ETM
것이	것/NNB+이/JKS
적절치	적절하/VA+지/EC
않다는	않/VX+다는/ETM
지적도	지적/NNG+도/JX
있을	있/VA+을/ETM
수	수/NNB
있다”고	있/VA+다”고/EC
강조했다	강조하/VV+였/EP+다/EC

'장애인권리옹호제도화	'/SS+장애인권리옹호제도화/NNG
토론회'	토론회/NNG+'/SS
모습	모습/NNG

■한국형	■/SW+한국/NNP+형/XSN
P&A제도화	P/SL+&/SW+A/SL+제도화/NNG
'장애인권리보장법'	'/SS+장애인권리보장법/NNG+'/SS
제정으로=대부분의	제정/NNG+으로/JKB+=/SW+대부분/NNG+의/JKG
토론자들은	토론자/NNG+들/XSN+은/JX
장애인	장애인/NNG
권리옹호체계	권리옹호/NNP+체계/NNG
제도화를	제도화/NNG+를/JKO
위해	위하/VV+여/EC
한국형	한국/NNP+형/XSN
P&A	P/SL+&/SW+A/SL
도입을	도입/NNG+을/JKO
찬성하며,	찬성하/VV+며/EC+,/SP
타	타/MM
법률	법률/NNG
개정을	개정/NNG+을/JKO
통해	통하/VV+여/EC
명시화	명시/NNG+화/XSN
하는	하/VV+는/ETM
것	것/NNB
보다	보다/MAG
새로운	새롭/VA+ㄴ/ETM
법률	법률/NNG
제정에	제정/NNG+에/JKB
동의했다	동의하/VV+였/EP+다/EC

장애인차별금지추진연대	장애인차별금지추진연대/NNG
박김영희	박김영희/NNP
사무국장은	사무국/NNG+장/XSN+은/JX
“지역에서	“/SN+지역/NNG+에서/JKB
살고	살/VV+고/EC
있는	있/VX+는/ETM
장애인들	장애인/NNG+들/XSN
대부분은	대부분/NNG+은/JX
국가인권위원회가	국가인권위원회/NNG+가/JKS
있는	있/VA+는/ETM
사실	사실/NNG
조차	조차/JX
모른다"면서	모르/VV+ㄴ다/EF+"/SS+면서/EC
"장애인의	"/SS+장애인/NNG+의/JKG
인권을	인권/NNG+을/JKO
구제하는	구제하/VV+는/ETM
현장에서	현장/NNG+에서/JKB
장애인의	장애인/NNG+의/JKG
권리를	권리/NNG+를/JKO
적극적으로	적극적/NNG+으로/JKB
보장하기	보장하/VV+기/ETN
위해서	위하/VV+여서/EC
P&A가	P/SL+&/SW+A/SL+가/JKS
필요하다”고	필요하/VA+다/EC+”/SN+고/JKQ
임	임/NNP
변호사의	변호사/NNG+의/JKG
주장에	주장/NNG+에/JKB
힘을	힘/NNG+을/JKO
실었다	싣/VV+었/EP+다/EC

박	박/NNP
사무국장은	사무국/NNG+장/XSN+은/JX
“장애인의	“/SN+장애인/NNG+의/JKG
권리옹호는	권리옹호/NNG+는/JX
평등권,	평등권/NNG+,/SP
기본권	기본권/NNG
등의	등/NNB+의/JKG
문제를	문제/NNG+를/JKO
망라하기	망라하/VV+기/ETN
때문에	때문/NNB+에/JKB
전반적	전반적/NNG
권리옹호시스템을	권리옹호시스템/NNG+을/JKO
장애인차별금지법에	장애인차별금지법/NNG+에/JKB
두는	두/VV+는/ETM
것은	것/NNB+은/JX
바람직하지	바람직하/VA+지/EC
않다”며	않/VX+다/EC+”/VV+며/EC
“인권	“/SN+인권/NNG
침해	침해/NNG
사건마다	사건/NNG+마다/JX
차별뿐만이	차별/NNG+뿐만/JX+이/JKC
아닌	아니/VCN+ㄴ/ETM
복합적으로	복합적/NNG+으로/JKB
작용되기	작용되/VV+기/ETN
때문에	때문/NNB+에/JKB
장애인권리보장법	장애인권리보장법/NNG
등의	등/NNB+의/JKG
장애인권리옹호에	장애인권리옹호/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
전반적인	전반적/NNG+이/VCP+ㄴ/ETM
내용을	내용/NNG+을/JKO
담는	담/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
법률을	법률/NNG+을/JKO
만들거나,	만들/VV+거나/EC+,/SP
장애인권리옹호체계에	장애인권리옹호/NNP+체계/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
특별법을	특별법/NNG+을/JKO
만드는	만들/VV+는/ETM
방법이	방법/NNG+이/JKS
가장	가장/MAG
바람직하다고	바람직하/VA+다고/EC
판단된다”고	판단되/VV+ㄴ다/EC+”/VX+고/EC
피력했다	피력하/VV+었/EP+다/EC

장애우권익문제연구소	장애우권익문제연구소/NNG
인권센터	인권센터/NNG
조문순	조문순/NNP
팀장도	팀장/NNG+도/JX
새로운	새롭/VA+ㄴ/ETM
‘장애인권리보장법(안)에	‘/SL+장애인권리보장법/NNG+(/SS+안/NNG+)/SS+에/JKB
P&A(장애인권리옹호제도)	P/SL+&/SW+A/SL+(/SS+장애인권리옹호제도/NNG+)/SS
내용을	내용/NNG+을/JKO
포함시키는	포함/NNG+시키/XSV+는/ETM
것이	것/NNB+이/JKS
합당하다고	합당하/VA+다고/EC
피력했다	피력하/VV+었/EP+다/EC

조	조/NNP
팀장은	팀장/NNG+은/JX
“피해자조사,	“/SL+피해자조사/NNG+,/SP
분리,	분리/NNG+,/SP
거주	거주/NNG
및	및/MAG
심리상담	심리상담/NNG
등의	등/NNB+의/JKG
지원체계,	지원체계/NNG+,/SP
법률적	법률적/NNG
지원,	지원/NNG+,/SP
이후	이후/NNG
거주대책	거주대책/NNG
등	등/NNB
연계시스템이	연계시스템/NNG+이/JKS
구축되어	구축되/VV+어/EC
있지	있/VX+지/EC
않다	않/VX+다/EC

현재	현재/MAG
장애인권리옹호체계는	장애인권리옹호/NNP+체계/NNG+는/JX
매우	매우/MAG
허술하다	허술하/VA+다/EC

인권침해나	인권침해/NNG+나/JC
차별에	차별/NNG+에/JKB
대해	대하/VV+여/EC
조사를	조사/NNG+를/JKO
요청하고,	요청하/VV+고/EC+,/SP
결과를	결과/NNG+를/JKO
기다리는데	기다리/VV+는/ETM+데/NNB
많은	많/VA+은/ETM
시간을	시간/NNG+을/JKO
할애하고	할애하/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“하루빨리	“하루빨리/MAG
장애인권리옹호제도가	장애인권리옹호제도/NNG+가/JKS
법적	법적/NNG
근거를	근거/NNG+를/JKO
가져야	가지/VV+어야/EC
한다”고	하/VX+ㄴ다”고/EC
말했다	말하/VV+였/EP+다/EC

이어	이어/MAG
조	조/NNP
팀장은	팀장/NNG+은/JX
“현행	“/SL+현행/NNG
장애인복지법은	장애인복지법/NNG+은/JX
장애인	장애인/NNG
서비스	서비스/NNG
지원에	지원/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
사항을	사항/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
하고	하/VV+고/EC
있어	있/VX+어/EC
장애인	장애인/NNG
권리옹호체계	권리옹호체계/NNG
및	및/MAG
시스템을	시스템/NNG+을/JKO
갖추는	갖추/VV+는/ETM
데	데/NNB
무리가	무리/NNG+가/JKS
있어	있/VA+어/EC
보인다”며	보일/VV+ㄴ다/EC+”/VV+며/EC
“장애인	“/SL+장애인/NNG
차별의	차별/NNG+의/JKG
규정은	규정/NNG+은/JX
장애인차별금지법에	장애인차별금지법/NNG+에/JKB
의해	의하/VV+여/EC
적용받게	적용/NNG+받/VV+게/EC
하고	하/VX+고/EC
사회권적	사회권/NNG+적/XSN
기본권의	기본권/NNG+의/JKG
충실한	충실하/VA+ㄴ/ETM
보장여부,	보장여부/NNG+,/SP
문제제기,	문제제기/NNG+,/SP
권리침해의	권리침해/NNG+의/JKG
구제절차,	구제절차/NNG+,/SP
권리옹호서비스를	권리옹호서비스/NNG+를/JKO
전담할	전담하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
전달체계를	전달체계/NNG+를/JKO
담아내는	담아내/VV+는/ETM
법률이	법률/NNG+이/JKS
필요하다	필요하/VA+다/EC

장애인권리보장법(안)에	장애인권리보장법/NNG+(/SS+안/NNG+)/SS+에/JKB
P&A	P/SL+&/SW+A/SL
내용을	내용/NNG+을/JKO
포함시키는	포함/NNG+시키/XSV+는/ETM
것이	것/NNB+이/JKS
합당할	합당하/VV+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EC+”/SN+고/EC
제언했다	제언하/VV+였/EP+다/EF

전국장애인차별철폐연대	전/MM+국장애인차별철폐연대/NNG
박경석	박경석/NNP
공동상임대표도	공동상임대표/NNG+도/JX
"‘장애인권리보장법’	"/SS+‘/SL+장애인권리보장법/NNG+’/SN
제정을	제정/NNG+을/JKO
통해	통하/VV+여/EC
복지부가	복지부/NNG+가/JKS
권한과	권한/NNG+과/JC
예산을	예산/NNG+을/JKO
책임지고,	책임지/VV+고/EC+,/SP
국가인권위원회와의	국가인권위원회/NNG+와/JKB+의/JKG
별도의	별도/NNG+의/JKG
장애인권리옹호체계를	장애인권리옹호/NNP+체계/NNG+를/JKO
구축해야	구축하/VV+여야/EC
한다"면서	하/VX+ㄴ다/EF+"/SS+면서/EC
"각	"/SS+각/MM
지방자치단체가	지방자치단체/NNG+가/JKS
조례를	조례/NNG+를/JKO
통해	통하/VV+여/EC
지역의	지역/NNG+의/JKG
기구를	기구/NNG+를/JKO
만들어내는	만들/VV+어/EC+내/VX+는/ETM
것도	것/NNB+도/JX
필요하다”고	필요하/VA+다/EC+”/SN+고/JKQ
강조했다	강조하/VV+였/EP+다/EC
