"교도소	"/SS+교도소/NNG
수감중인	수감/NNG+중/NNB+이/VCP+ㄴ/ETM
중증장애인	중증장애인/NNG
치료약	치료약/NNG
반입	반입/NNG
거부로	거부/NNG+로/JKB
악화"	악화/NNG+"/SS

조정훈(tghome)	조정훈/NNP+(/SS+tghome/SL+)/SS
기자대구의	기자대구/NNG+의/JKG
한	한/MM
장애인단체	장애인단체/NNG
대표가	대표/NNG+가/JKS
교도소에	교도소/NNG+에/JKB
수감중	수감/NNG+중/NNB
평상시	평상시/NNG
복용중이던	복용/NNG+중/NNB+이/VCP+던/ETM
진통제를	진통제/NNG+를/JKO
반입해주지	반입하/VV+여/EC+주/VX+지/EC
않아	않/VX+아/EC
심한	심하/VA+ㄴ/ETM
통증에	통증/NNG+에/JKB
식사도	식사/NNG+도/JX
제대로	제대로/MAG
하지	하/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
가운데	가운데/NNG
장애인단체가	장애인단체/NNG+가/JKS
권재진	권재진/NNP
법무장관의	법무장관/NNG+의/JKG
집을	집/NNG+을/JKO
찾아	찾/VV+아/EC
항의한	항의하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

대구장애인차별감시연대	대/XPN+구장애인차별감시연대/NNG
회원	회원/NNG
7명은	7/SN+명/NNB+은/JX
지난	지나/VV+ㄴ/ETM
30일	30/SN+일/NNB
오전	오전/NNG
1시쯤	1/SN+시/NNB+쯤/XSN
서울	서울/NNP
강남구	강남구/NNP
대치동의	대치동/NNP+의/JKG
한	한/MM
아파트를	아파트/NNG+를/JKO
찾아	찾/VV+아/EC
권재진	권재진/NNP
장관의	장관/NNG+의/JKG
면담을	면담/NNG+을/JKO
요구하고	요구하/VV+고/EC
이	이/MM
단체	단체/NNG
대표인	대표/NNG+이/VCP+ㄴ/ETM
최창현씨에	최창현/NNP+씨/NNB+에/JKB
대해	대하/VV+여/EC
대형	대형/NNG
병원에서	병원/NNG+에서/JKB
진료를	진료/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
해	하/VX+여/EC
달라고	달/VX+라고/EC
요구했다	요구하/VV+었/EP+다/EC

최	최/NNP
대표는	대표/NNG+는/JX
전동휠체어를	전동휠체어/NNG+를/JKO
입으로	입/NNG+으로/JKB
움직여야	움직이/VV+어야/EC
할	하/VX+ㄹ/ETM
정도의	정도/NNG+의/JKG
중증장애인(뇌성마비	중증장애인/NNG+(/SS+뇌성마비/NNG
1급)으로	1/SN+급/NNG+)/SS+으로/JKB
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
대법원으로부터	대법원/NNG+으로부터/JKB
공용물건손상	공용물건손상/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
징역	징역/NNG
8개월을	8/SN+개월/NNB+을/JKO
선고받고	선고/NNG+받/VV+고/EC
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
대구교도소에	대구교도소/NNP+에/JKB
수감되었으나	수감되/VV+었/EP+으나/EC
지금은	지금/NNG+은/JX
포항교도소로	포항교도소/NNG+로/JKB
이송해	이송하/VV+여/EC
수감중이다	수감/NNG+중/NNB+이/VCP+다/EC

최창현	최창현/NNP
대표는	대표/NNG+는/JX
장애인단체를	장애인단체/NNG+를/JKO
이끌면서	이끌/VV+면서/EC
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
일본	일본/NNP
교과서에	교과서/NNG+에/JKB
독도를	독도/NNP+를/JKO
명시한	명시하/VV+ㄴ/ETM
