"인권위,	"/SS+인권위/NNG+,/SP
국민	국민/NNG
장애인식	장애인식/NNG
개선에	개선/NNG+에/JKB
적극	적극/NNG
나서야"	나서/VV+어야/EF+"/SS

국회	국회/NNG
운영위원회	운영위원회/NNG
소속	소속/NNG
이철우	이철우/NNP
의원(새누리당)은	의원/NNG+(/SS+새누리당/NNP+)/SS+은/JX
26일	26/SN+일/NNB
국가인권위원회	국가인권위원회/NNG
국정감사에서	국정감사/NNG+에서/JKB
현병철	현병철/NNP
위원장에게	위원장/NNG+에게/JKB
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국민의	국민/NNG+의/JKG
인식이	인식/NNG+이/JKS
전환될	전환되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
적극적으로	적극적/NNG+으로/JKB
나설	나서/VV+ㄹ/ETM
것을	것/NNB+을/JKO
주문했다	주문하/VV+였/EP+다/EF

이	이/NNP
의원은	의원/NNG+은/JX
“(지난해)	“/SL+(/SS+지난해/NNG+)/SS
인권위에	인권위/NNG+에/JKB
38	38/SN

8%가	8/SN+%/SW+가/JKS
장애	장애/NNG
관련	관련/NNG
인권	인권/NNG
문제로	문제/NNG+로/JKB
접수되고	접수되/VV+고/EC
있는	있/VX+는/ETM
만큼	만큼/NNB
장애	장애/NNG
인권에	인권/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
문제는	문제/NNG+는/JX
아직도	아직/MAG+도/JX
많이	많이/MAG
부족한	부족하/VA+ㄴ/ETM
상황이다	상황/NNG+이/VCP+다/EC

얼마	얼마/NNG
전에	전/NNG+에/JKB
장애인	장애인/NNG
선수와	선수/NNG+와/JKB
관련해서	관련하/VV+여서/EC
폭행이	폭행/NNG+이/JKS
있었다고	있/VA+었/EP+다고/EC
언론에	언론/NNG+에/JKB
많이	많이/MAG
보도됐고,	보도되/VV+었/EP+고/EC+,/SP
현재	현재/MAG
직권조사하고	직권/NNG+조사하/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
“장애인복지도	“/SL+장애인복지/NNG+도/JX
물론	물론/MAG
중요하지만	중요하/VA+지만/EC
장애인의	장애인/NNG+의/JKG
인권	인권/NNG
문제도	문제/NNG+도/JX
굉장히	굉장히/MAG
중요하다	중요하/VA+다/EC

현재	현재/MAG
인권	인권/NNG
차원에서	차원/NNG+에서/JKB
모든	모든/MM
면이	면/NNG+이/JKS
부족한	부족하/VA+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EC+”/VX+고/EC
지적했다	지적하/VV+였/EP+다/EF

이어	이어/MAG
“인권	“/SN+인권/NNG
침해가	침해/NNG+가/JKS
일어난	일어나/VV+ㄴ/ETM
뒤에야	뒤/NNG+에/JKB+야/JX
단속하고	단속하/VV+고/EC
고발하는	고발하/VV+는/ETM
것	것/NNB
보다는	보다/JKB+는/JX
예방하는	예방하/VV+는/ETM
것이	것/NNB+이/JKS
매우	매우/MAG
중요하다	중요하/VA+다/EC

우리나라	우리나라/NNG
국민	국민/NNG
전체가	전체/NNG+가/JKS
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식을	인식/NNG+을/JKO
바뀔	바뀌/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
인권위의	인권위/NNG+의/JKG
역할이	역할/NNG+이/JKS
중요한데,	중요하/VA+ㄴ데/EC+,/SP
(장애	(/SS+장애/NNG
인식	인식/NNG
개선을	개선/NNG+을/JKO
위한)	위하/VV+ㄴ/ETM+)/SS
홍보	홍보/NNG
하기	하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
예산을	예산/NNG+을/JKO
갖고	갖/VV+고/EC
있느냐”며	있/VX+느냐/EC+”/SN+며/EC
“장애인들이	“/SL+장애인/NNG+들/XSN+이/JKS
우리나라에서	우리나라/NNG+에서/JKB
인권의	인권/NNG+의/JKG
사각지대가	사각지대/NNG+가/JKC
되지	되/VV+지/EC
않도록	않/VX+도록/EC
힘쓰길	힘쓰/VV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SN+고/EC
요구했다	요구하/VV+었/EP+다/EC

현병철	현병철/NNP
위원장은	위원장/NNG+은/JX
“예산은	“/SN+예산/NNG+은/JX
없다"면서도	없/VA+다/EF+"/SS+면서/EC+도/JX
"(장애	"(/SS+장애/NNG
인식)	인식/NNG+)/SS
교육을	교육/NNG+을/JKO
확대해서	확대하/VV+여서/EC
효율적으로	효율적/NNG+으로/JKB
하려고	하/VV+려고/EC
생각중”이라고	생각중”/NNG+이/VCP+라고/EC
답변했다	답변하/VV+였/EP+다/EF
