법무부,	법무부/NNG+,/SP
수원역	수원역/NNP
앞	앞/NNG
지하도에	지하도/NNG+에/JKB
승강기	승강기/NNG
설치	설치/NNG
‘지시’	‘/SN+지시’/NNG

수원시가	수원시/NNP+가/JKS
수원역	수원역/NNP
앞	앞/NNG
지하도에	지하도/NNG+에/JKB
장애인	장애인/NNG
편의를	편의/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
승강기를	승강기/NNG+를/JKO
설치토록	설치하/VV+도록/EC
하라는	하/VX+라는/ETM
국가인권위원회(이하	국가인권위원회/NNG+(/SS+이하/NNG
인권위)의	인권위/NNG+)/SS+의/JKG
권고에도	권고/NNG+에/JKB+도/JX
이를	이/NP+를/JKO
이행하지	이행하/VV+지/EC
않자,	않/VX+자/EC+,/SP
법무부가	법무부/NNG+가/JKS
직접	직접/MAG
시정명령을	시정명령/NNG+을/JKO
결정했다	결정하/VV+였/EP+다/EC

법무부는	법무부/NNG+는/JX
27일	27/SN+일/NNB
‘제3차	‘/SN+제/XPN+3/SN+차/NNB
장애인차별시정심의위원회’를	장애인차별시정심의위원회/NNG+’/SL+를/JKO
개최해	개최하/VV+여/EC
수원시장의	수원시장/NNG+의/JKG
인권위	인권위/NNG
권고불이행에	권고불이행/NNG+에/JKB
대해	대하/VV+여/EC
직권으로	직권/NNG+으로/JKB
시정명령	시정명령/NNG
여부를	여부/NNG+를/JKO
심의한	심의하/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
‘장애인차별금지	‘/SN+장애인차별금지/NNG
및	및/MAG
권리구제	권리구제/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법률’(이하	법률/NNG+’/SL+(/SS+이하/NNG
장차법)이	장차법/NNG+)/SS+이/JKS
시행된	시행되/VV+ㄴ/ETM
이후	이후/NNG
최초로	최초/NNG+로/JKB
수원시장에	수원시장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘장애인	‘/SL+장애인/NNG
이동권	이동/NNG+권/XSN
제한에	제한/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
장애인차별	장애인차별/NNG
시정명령’을	시정명령/NNG+’/SL+을/JKO
시정명령을	시정명령/NNG+을/JKO
결정했다고	결정하/VV+였/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

장애인차별금지법	장애인차별금지법/NNG
제43조는	제/XPN+43/SN+조/NNB+는/JX
장애인	장애인/NNG
차별행위로	차별행위/NNG+로/JKB
국가인권위원회의	국가인권위원회/NNG+의/JKG
권고를	권고/NNG+를/JKO
받은	받/VV+은/ETM
