장애인단체들	장애인단체/NNG+들/XSN
"이수호	"/SS+이수호/NNP
서울교육감	서울/NNP+교육감/NNG
후보	후보/NNG
지지"	지지/NNG+"/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
김지헌	김지헌/NNP
기자	기자/NNG
=	=/SW
장애인	장애인/NNG
단체들은	단체/NNG+들/XSN+은/JX
제20회	제/XPN+20/SN+회/NNB
세계	세계/NNG
장애인의	장애인/NNG+의/JKG
날인	날/NNG+이/VCP+ㄴ/ETM
3일	3/SN+일/NNB
서울	서울/NNP
세종로	세종로/NNP
광화문광장에서	광화문/NNP+광장/NNG+에서/JKB
기자회견을	기자회견/NNG+을/JKO
열고	열/VV+고/EC
서울시	서울시/NNP
교육감	교육감/NNG
재선거에	재선거/NNG+에/JKB
출마한	출마하/VV+ㄴ/ETM
이수호	이수호/NNP
후보	후보/NNG
지지를	지지/NNG+를/JKO
선언했다	선언하/VV+였/EP+다/EF

서울장애인차별철폐연대,	서울/NNP+장애인차별철폐연대/NNG+,/SP
전국장애인야학협의회	전/MM+국장애인야학협의회/NNG
등은	등/NNB+은/JX
"이	"/SS+이/MM
후보는	후보/NNG+는/JX
타	타/MM
후보들과	후보/NNG+들/XSN+과/JKB
달리	달리/MAG
선거대책본부에	선거대책본부/NNG+에/JKB
장애인	장애인/NNG
캠프를	캠프/NNG+를/JKO
따로	따로/MAG
두고	두/VV+고/EC
장애인	장애인/NNG
교육	교육/NNG
문제를	문제/NNG+를/JKO
직접	직접/MAG
고민,	고민/NNG+,/SP
그	그/MM
결과를	결과/NNG+를/JKO
선거	선거/NNG
공약에	공약/NNG+에/JKB
반영토록	반영하/VV+도록/EC
하고	하/VX+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
이같이	이같이/MAG
밝혔다	밝히/VV+었/EP+다/EC

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
장애학생	장애학생/NNG
특성화	특성/NNG+화/XSN
교육	교육/NNG
강화,	강화/NNG+,/SP
장애인	장애인/NNG
평생교육	평생교육/NNG
지원,	지원/NNG+,/SP
장애학생	장애학생/NNG
차별	차별/NNG
없는	없/VA+는/ETM
학교	학교/NNG
만들기,	만들/VV+기/ETN+,/SP
청각장애인	청각장애인/NNG
교육권	교육권/NNG
보장,	보장/NNG+,/SP
특수학급·학교·교사	특수학급/NNG+·/SP+학교/NNG+·/SP+교사/NNG
확대	확대/NNG
및	및/MAG
증원	증원/NNG
등의	등/NNB+의/JKG
정책을	정책/NNG+을/JKO
이	이/MM
후보에게	후보/NNG+에게/JKB
제안키로	제안하/VV+기/ETN+로/JKB
했다	하/VV+였/EP+다/EC

이날	이날/NNG
전국장애인차별철폐연대를	전/MM+국장애인차별철폐연대/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
장애인	장애인/NNG
단체들은	단체/NNG+들/XSN+은/JX
장애인의	장애인/NNG+의/JKG
권리	권리/NNG
보장을	보장/NNG+을/JKO
촉구하며	촉구하/VV+며/EC
광화문과	광화문/NNP+과/JC
청계천,	청계천/NNP+,/SP
서울시청	서울/NNP+시청/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
광화문광장으로	광화문/NNP+광장/NNG+으로/JKB
돌아오는	돌아오/VV+는/ETM
행진을	행진/NNG+을/JKO
할	하/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

jk@yna	jk/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
