재정위기	재정위기/NNG
미국,	미국/NNP+,/SP
장애인	장애인/NNG
서비스	서비스/NNG
대폭	대폭/MAG
줄여	줄이/VV+어/EC

미국	미국/NNP
정부가	정부/NNG+가/JKS
재정적인	재정적/NNG+이/VCP+ㄴ/ETM
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
그	그/MM
여파가	여파/NNG+가/JKS
장애인들에게	장애인/NNG+들/XSN+에게/JKB
직접	직접/MAG
미쳐	미치/VV+어/EC
여기저기서	여기저기/NNG+서/JKB
불만의	불만/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
높아가고	높/VA+아/EC+가/VX+고/EC
있다	있/VX+다/EC

노스	노스/NNG
캐롤라이나	캐롤라이나/NNP
주도	주도/NNG
예외는	예외/NNG+는/JX
아니다	아니/VCN+다/EC

세수가	세수/NNG+가/JKS
줄어들며	줄어들/VV+며/EC
주의	주의/NNG
재정	재정/NNG
운영이	운영/NNG+이/JKS
넉넉치	넉넉하/VA+지/EC
못하자	못하/VX+자/EC
장애인들을	장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
서비스	서비스/NNG
시간을	시간/NNG+을/JKO
대폭	대폭/MAG
줄였다	줄이/VV+었/EP+다/EC

일예로	일예/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
24일	24/SN+일/NNB
스타	스타/NNG
뉴스의	뉴스/NNG+의/JKG
보도에	보도/NNG+에/JKB
따르면	따르/VV+면/EC
장애	장애/NNG
기관	기관/NNG
코스탈	코스탈/NNP
케어로	케어/NNG+로/JKB
가는	가/VV+는/ETM
장애	장애/NNG
예산이	예산/NNG+이/JKS
4십	4/SN+십/NR
6만달러	6/SN+만/NR+달러/NNB
정도	정도/NNG
깎이면서	깎이/VV+면서/EC
각종	각종/NNG
프로그램들이	프로그램/NNG+들/XSN+이/JKS
시간을	시간/NNG+을/JKO
줄여가고	줄이/VV+어/EC+가/VX+고/EC
있다	있/VX+다/EC

윌밍턴	윌밍턴/NNP
시에	시/NNG+에/JKB
거주하는	거주하/VV+는/ETM
아티	아티/NNP
클레버는	클레버/NNP+는/JX
간병인	간병인/NNG
칼혼의	칼혼/NNG+의/JKG
도움을	도움/NNG+을/JKO
받으며	받/VV+으며/EC
한달에	한/MM+달/NNB+에/JKB
36	36/SN
시간을	시간/NNB+을/JKO
코스탈	코스탈/NNP
케어에서	케어/NNG+에서/JKB
지낼	지내/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있었다	있/VA+었/EP+다/EF

시설에서	시설/NNG+에서/JKB
친구도	친구/NNG+도/JX
사귀거나	사귀/VV+거나/EC
각종	각종/NNG
활동을	활동/NNG+을/JKO
할	하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있었다	있/VA+었/EP+다/EF

정부는	정부/NNG+는/JX
시설에서	시설/NNG+에서/JKB
장애인이	장애인/NNG+이/JKS
사용할	사용하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시간을	시간/NNG+을/JKO
한달	한/MM+달/NNB
총	총/MM
10시간으로	10/SN+시간/NNB+으로/JKB
대폭	대폭/MAG
축소했다	축소하/VV+였/EP+다/EC

이로인해	이로인하/VA+여/EC
장애인이나	장애인/NNG+이나/JC
부모들이	부모/NNG+들/XSN+이/JKS
분노를	분노/NNG+를/JKO
감추지	감추/VV+지/EC
못하고	못하/VX+고/EC
있다	있/VX+다/EC

시설의	시설/NNG+의/JKG
대부분의	대부분/NNG+의/JKG
장애인이	장애인/NNG+이/JKS
누군가의	누구/NP+이/VCP+ㄴ가/EC+의/JKG
도움을	도움/NNG+을/JKO
받아야	받/VV+아야/EC
하는	하/VX+는/ETM
발달	발달/NNG
장애인인데	장애인/NNG+이/VCP+ㄴ데/EC
그	그/MM
장애인들이	장애인/NNG+들/XSN+이/JKS
남는	남/VV+는/ETM
시간을	시간/NNG+을/JKO
모두	모두/MAG
집에서	집/NNG+에서/JKB
보내야	보내/VV+어야/EC
된다면	되/VV+ㄴ다면/EC
부부	부부/NNG
중	중/NNB
한	한/MM
사람이	사람/NNG+이/JKS
일을	일/NNG+을/JKO
버리고	버리/VV+고/EC
집에서	집/NNG+에서/JKB
장애	장애/NNG
자녀를	자녀/NNG+를/JKO
돌보아야	돌보/VV+아야/EC
하는	하/VX+는/ETM
데,	데/NNB+,/SP
그렇게	그렇/VA+게/EC
되면	되/VV+면/EC
장애	장애/NNG
자녀를	자녀/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
수많은	수많/VA+은/ETM
가정에	가정/NNG+에/JKB
심각한	심각하/VA+ㄴ/ETM
재정	재정/NNG
문제를	문제/NNG+를/JKO
야기	야기/NNG
시킬	시키/VV+ㄹ/ETM
수가	수/NNB+가/JKS
있다며	있/VA+다며/EC
강력하게	강력하/VA+게/EC
반발하고	반발하/VV+고/EC
있다	있/VX+다/EC

장애인들을	장애인/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
서비스	서비스/NNG
시간을	시간/NNG+을/JKO
줄이는	줄이/VV+는/ETM
것은	것/NNB+은/JX
다	다/MAG
방면에서	방면/NNG+에서/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미치게	미치/VV+게/EC
된다	되/VV+ㄴ다/EF

미국은	미국/NNP+은/JX
각	각/MM
주마다	주/NNG+마다/JX
서비스의	서비스/NNG+의/JKG
형태가	형태/NNG+가/JKS
다르고	다르/VA+고/EC
시간이	시간/NNG+이/JKS
다르다	다르/VA+다/EC

기자가	기자/NNG+가/JKS
캘리포니아에서	캘리포니아/NNP+에서/JKB
거주할	거주하/VV+ㄹ/ETM
때는	때/NNG+는/JX
아내에게	아내/NNG+에게/JKB
기자를	기자/NNG+를/JKO
돌	돌/NNG
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시간을	시간/NNG+을/JKO
한	한/MM
달에	달/NNB+에/JKB
80여	80/SN+여/XSN
시간을	시간/NNG+을/JKO
주었다	주/VV+었/EP+다/EF

그러나	그러나/MAJ
버지니아로	버지니아/NNP+로/JKB
이사	이사/NNG
오니까	오/VV+니까/EC
한달에	한/MM+달/NNB+에/JKB
7시간	7/SN+시간/NNB
밖에	밖/NNG+에/JKB
주지	주/VV+지/EC
않아	않/VX+아/EC
놀라지	놀라/VV+지/EC
않을	않/VX+을/ETM
수가	수/NNB+가/JKS
없었다	없/VA+었/EP+다/EF

한달에	한/MM+달/NNB+에/JKB
7시간으로	7/SN+시간/NNB+으로/JKB
어떻게	어떻/VA+게/EC
전신	전신/NNG
장애인을	장애인/NNG+을/JKO
돌보라	돌보/VV+라/EC
하는	하/VV+는/ETM
건지	것/NNB+이/VCP+ㄴ지/EC
도저히	도저히/MAG
이해가	이해/NNG+가/JKS
가지	가/VV+지/EC
않았다	않/VX+았/EP+다/EF

이로	이/NP+로/JKB
인해	인하/VV+여/EC
기자는	기자/NNG+는/JX
여러가지	여러/MM+가지/NNB
어려움을	어려움/NNG+을/JKO
겪었다	겪/VV+었/EP+다/EC

기자는	기자/NNG+는/JX
이사를	이사/NNG+를/JKO
했기	하/VV+였/EP+기/ETN
때문에	때문/NNB+에/JKB
당한	당하/VV+ㄴ/ETM
어려움이어서	어려움/NNG+이/VCP+어서/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
것이지만,	것/NNB+이/VCP+지만/EC+,/SP
같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
오래	오래/MAG
거주하며	거주하/VV+며/EC
생활에	생활/NNG+에/JKB
익은	익/VA+은/ETM
사람들에게	사람/NNG+들/XSN+에게/JKB
갑자기	갑자기/MAG
서비스	서비스/NNG
시간을	시간/NNG+을/JKO
줄일	줄이/VV+ㄹ/ETM
경우에	경우/NNG+에/JKB
오는	오/VV+는/ETM
충격은	충격/NNG+은/JX
적지	적/VA+지/EC
