무가선트램,	무가선트램/NNG+,/SP
교통약자	교통약자/NNG
이용	이용/NNG
편리	편리/NNG

한국철도기술연구원(이하	한국철도기술연구원/NNP+(/SS+이하/NNG
연구원)이	연구원/NNG+)/SS+이/JKS
지난달	지난달/NNG
22일부터	22/SN+일/NNB+부터/JX
충청북도	충청북도/NNP
오송에	오송/NNG+에/JKB
무가선저상트랩(이하	무가선저상트랩/NNG+(/SS+이하/NNG
무가선트램)	무가선트램/NNG+)/SS
전용시험선(1Km)을	전용시험선/NNG+(/SS+1/SN+Km/SL+)/SS+을/JKO
시공,	시공/NNG+,/SP
운행하고	운행하/VV+고/EC
있다	있/VX+다/EC

무가선트램은	무가선트램/NNG+은/JX
도로위에	도로위/NNG+에/JKB
돌출되지	돌출되/VV+지/EC
않고	않/VX+고/EC
지면과	지면/NNG+과/JC
수평으로	수평/NNG+으로/JKB
매립돼	매립/NNG+되/XSV+어/EC
있어	있/VX+어/EC
필요시	필요시/NNG
버스,	버스/NNG+,/SP
자동차,	자동차/NNG+,/SP
자전거	자전거/NNG
등	등/NNB
다른	다른/MM
교통수단도	교통수단/NNG+도/JX
함께	함께/MAG
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
설계	설계/NNG
시공됐다	시공되/VV+었/EP+다/EF

무가선트램은	무가선트램/NNG+은/JX
2~3년	2/SN+~/SO+3/SN+년/NNB
간	간/XSN
시험운행	시험운행/NNG
되며,	되/VV+며/EC+,/SP
검증을	검증/NNG+을/JKO
거친	거치/VV+ㄴ/ETM
후	후/NNG
오는	오/VV+는/ETM
2015년부터	2015/SN+년/NNB+부터/JX
본격적으로	본격적/NNG+으로/JKB
실용화될	실용화되/VV+ㄹ/ETM
계획이다	계획/NNG+이/VCP+다/EC

무가선트램은	무가선트램/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
여수엑스포에서	여수엑스포/NNP+에서/JKB
3개월간	3/SN+개월/NNB+간/XSN
신교통수단으로	신교통수단/NNG+으로/JKB
전시	전시/NNG
및	및/MAG
시범운행	시범운행/NNG
되면서	되/VV+면서/EC
이용자들로부터	이용자/NNG+들/XSN+로부터/JKB
많은	많/VA+은/ETM
호응을	호응/NNG+을/JKO
얻기도	얻/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

이에	이/NP+에/JKB
에이블뉴스는	에이블뉴스/NNP+는/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
연구원	연구원/NNG
개발	개발/NNG
담당자들의	담당자/NNG+들/XSN+의/JKG
협조아래	협조아래/NNG
장애인이	장애인/NNG+이/JKS
편리하게	편리하/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EC
무가선트램을	무가선트램/NNG+을/JKO
직접	직접/MAG
시승해봤다	시승하/VV+여/EC+보/VX+았/EP+다/EF

녹색교통수단으로	녹색교통수단/NNG+으로/JKB
부상하고	부상하/VV+고/EC
있는	있/VX+는/ETM
이번	이번/NNG
무가선트램은	무가선트램/NNG+은/JX
세계최대	세계최대/NNG
용량의	용량/NNG+의/JKG
전지(162kwh)를	전지/NNG+(/SS+162/SN+kwh/SL+)/SS+를/JKO
탑재해	탑재하/VV+여/EC
한	한/MM
번	번/NNB
충전하면	충전하/VV+면/EC
25km	25/SN+km/SL
이상을	이상/NNG+을/JKO
주행할	주행하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
노면	노면/NNG
전차다	전차/NNG+이/VCP+다/EF

또한	또한/MAG
노면	노면/NNG
전차	전차/NNG
하이브리드	하이브리드/NNP
형식인	형식/NNG+이/VCP+ㄴ/ETM
무가선트램은	무가선트램/NNG+은/JX
전기로만	전기/NNG+로/JKB+만/JX
움직여	움직이/VV+어/EC
배출가스와	배출가스/NNG+와/JC
소음이	소음/NNG+이/JKS
없다	없/VA+다/EC

지하나	지하/NNG+나/JC
고상으로	고상/NNG+으로/JKB
이동하지	이동하/VV+지/EC
않아	않/VX+아/EC
승·하차가	승/NNG+·/SP+하차/NNG+가/JKS
편리하며(수평이동)	편리하/VV+며/EF+(/SS+수평이동/NNG+)/SS
건설비	건설비/NNG
및	및/MAG
운영비가	운영비/NNG+가/JKS
지하철의	지하철/NNG+의/JKG
1/8,	1/SN+//SP+8/SN+,/SP
고가	고가/NNG
구조	구조/NNG
경전철의	경전철/NNG+의/JKG
1/3	1/SN+//SP+3/SN
수준에	수준/NNG+에/JKB
불과하다	불과하/VA+다/EC

특히	특히/MAG
무가선트램은	무가선트램/NNG+은/JX
