양양군,	양양군/NNP+,/SP
결국	결국/NNG
‘하조대	‘/SN+하조대/NNP
희망들’	희망/NNG+들/XSN+’/SN
대법원	대법원/NNG
상고	상고/NNG

양양군청이	양양군청/NNP+이/JKS
하조대	하조대/NNP
해수욕장	해수욕장/NNG
장애인숙박시설(이하	장애인숙박시설/NNG+(/SS+이하/NNG
하조대	하조대/NNP
희망들)	희망/NNG+들/XSN+)/SS
2심	2/SN+심/NNG
판결에	판결/NNG+에/JKB
불복	불복/NNG
지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
대법원에	대법원/NNG+에/JKB
상고장을	상고장/NNG+을/JKO
접수한	접수하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다	알려지/VV+었/EP+다/EF

양양군청과	양양군청/NNP+과/JC
서울시는	서울시/NNP+는/JX
지난해	지난해/NNG
10월부터	10/SN+월/NNB+부터/JX
최근까지	최근/NNG+까지/JX
‘하조대	‘/SN+하조대/NNP
희망들’	희망/NNG+들/XSN+’/SN
건립을	건립/NNG+을/JKO
놓고	놓/VV+고/EC
법정다툼을	법정다툼/NNG+을/JKO
벌여왔다	벌이/VV+어/EC+오/VX+았/EP+다/EF

서울시는	서울시/NNP+는/JX
장애인들의	장애인/NNG+들/XSN+의/JKG
욕구수렴을	욕구수렴/NNG+을/JKO
거쳐	거치/VV+어/EC
지난	지나/VV+ㄴ/ETM
2009년	2009/SN+년/NNB
6월	6/SN+월/NNB
30일	30/SN+일/NNB
‘하조대	‘/SN+하조대/NNP
희망들’	희망/NNG+들/XSN+’/JKV
건축계획을	건축계획/NNG+을/JKO
수립,	수립/NNG+,/SP
2010년	2010/SN+년/NNB
8월	8/SN+월/NNB
2일	2/SN+일/NNB
양양군청과	양양/NNP+군청/NNG+과/JC
건축협의가	건축협의/NNG+가/JKS
완료되면서	완료되/VV+면서/EC
‘하조대	‘/SN+하조대/NNP
의마들’	의마/NNG+들/XSN+’/SN
건립이	건립/NNG+이/JKS
순조롭게	순조롭/VA+게/EC
진행되는	진행되/VV+는/ETM
듯	듯/NNB
했다	하/VV+였/EP+다/EC

하지만	하지만/MAJ
지난해	지난해/NNG
8월	8/SN+월/NNB
23일	23/SN+일/NNB
양양군이	양양군/NNP+이/JKS
서울시에	서울시/NNP+에/JKB
숙박시설로	숙박시설/NNG+로/JKB
신청한	신청하/VV+ㄴ/ETM
‘하조대	‘하조대/NNG
희망들’의	희망/NNG+들/XSN+’/SL+의/JKG
용도가	용도/NNG+가/JKS
노유자시설로	노유자시설/NNG+로/JKB
공원부지내	공원부지/NNG+내/NNB
건축행위	건축행위/NNG
불가를	불가/NNG+를/JKO
이유로	이유/NNG+로/JKB
건축협의	건축협의/NNG
취소를	취소/NNG+를/JKO
통보했다	통보하/VV+였/EP+다/EF

이에	이/NP+에/JKB
서울시는	서울시/NNP+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
춘천지원	춘천/NNP+지원/NNG
강릉지원에	강릉/NNP+지원/NNG+에/JKB
‘건축협의	‘/SN+건축협의/NNG
취소처분	취소처분/NNG
소송’을	소송’/NNG+을/JKO
제기했고	제기하/VV+였/EP+고/EC
강릉지원은	강릉/NNP+지원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
5일	5/SN+일/NNB
서울시의	서울시/NNP+의/JKG
손을	손/NNG+을/JKO
들어줬다	들어주/VV+었/EP+다/EF

이	이/NP
같은	같/VA+은/ETM
판결에	판결/NNG+에/JKB
불복한	불복하/VV+ㄴ/ETM
양양군은	양양군/NNP+은/JX
6월	6/SN+월/NNB
22일	22/SN+일/NNB
곧바로	곧바로/MAG
서울고등법원	서울/NNP+고등법원/NNG
춘천재판부에	춘천재판부/NNP+에/JKB
항소했고,	항소하/VV+였/EP+고/EC+,/SP
재판부는	재판부/NNG+는/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
26일	26/SN+일/NNB
1심을	1/SN+심/NNG+을/JKO
유지했다	유지하/VV+였/EP+다/EC

서울시가	서울시/NNP+가/JKS
지으려는	짓/VV+으려는/ETM
시설물이	시설물/NNG+이/JKS
설계개요	설계개요/NNG
상	상/XSN
재활치료를	재활치료/NNG+를/JKO
주된	주되/VV+ㄴ/ETM
목적으로	목적/NNG+으로/JKB
