"선거	"/SS+선거/NNG
방송광고에	방송광고/NNG+에/JKB
수화·자막	수화/NNG+·/SP+자막/NNG
제공하라"	제공하/VV+라/EF+"/SS
행정소송	행정소송/NNG

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
한지훈	한지훈/NNP
기자	기자/NNG
=	=/SW
대통령	대통령/NNG
선거를	선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
중앙선거관리위원회가	중앙선거관리위원회/NNG+가/JKS
제작한	제작하/VV+ㄴ/ETM
방송	방송/NNG
광고	광고/NNG
2종이	2/SN+종/NNG+이/JKS
수화	수화/NNG
통역과	통역/NNG+과/JC
자막을	자막/NNG+을/JKO
제공하지	제공하/VV+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
청각장애인의	청각장애인/NNG+의/JKG
참정권을	참정권/NNG+을/JKO
충분히	충분히/MAG
보장하지	보장하/VV+지/EC
못한	못하/VX+ㄴ/ETM
차별행위라는	차별행위/NNG+이/VCP+라는/ETM
행정소송이	행정소송/NNG+이/JKS
제기됐다	제기되/VV+었/EP+다/EF

17일	17/SN+일/NNB
법조계에	법조계/NNG+에/JKB
따르면	따르/VV+면/EC
변모(32)씨는	변/NNP+모/NP+(/SS+32/SN+)/SS+씨/NNB+는/JX
`광고에	`/SW+광고/NNG+에/JKB
수화·자막을	수화/NNG+·/SP+자막/NNG+을/JKO
넣고,	넣/VV+고/EC+,/SP
정신적	정신적/NNG
손해배상으로	손해배상/NNG+으로/JKB
500만원을	500/SN+만/NR+원/NNB+을/JKO
지급하라'며	지급하/VV+라/EF+'/SS+며/EC
국가를	국가/NNG+를/JKO
상대로	상대/NNG+로/JKB
한	하/VV+ㄴ/ETM
차별구제조치	차별구제조치/NNG
등	등/NNB
청구소송을	청구소송/NNG+을/JKO
최근	최근/NNG
서울행정법원에	서울/NNP+행정법원/NNG+에/JKB
냈다	내/VV+었/EP+다/EF

선천적인	선천적/NNG+이/VCP+ㄴ/ETM
청각장애가	청각장애/NNG+가/JKS
있다는	있/VA+다는/ETM
변씨는	변/NNP+씨/NNB+는/JX
"피고는	"/SS+피고/NNG+는/JX
장애인차별금지법과	장애인차별금지법/NNG+과/JC
공직선거법에	공직선거법/NNG+에/JKB
따라	따르/VV+아/EC
선거	선거/NNG
광고에	광고/NNG+에/JKB
수화와	수화/NNG+와/JC
자막을	자막/NNG+을/JKO
방영할	방영하/VV+ㄹ/ETM
의무가	의무/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"2종의	"/SS+2/SN+종/NNG+의/JKG
대선	대선/NNG
광고는	광고/NNG+는/JX
이런	이런/MM
의무를	의무/NNG+를/JKO
이행하지	이행하/VV+지/EC
않은	않/VX+은/ETM
차별"이라고	차별/NNG+"/SS+이라고/JKQ
주장했다	주장하/VV+였/EP+다/EC

공직선거법	공직선거법/NNG
70조	70/SN+조/NR
6항은	6/SN+항/NNG+은/JX
`후보자는	`/SW+후보자/NNG+는/JX
방송광고에	방송광고/NNG+에/JKB
청각장애	청각장애/NNG
선거인을	선거인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
수화	수화/NNG
또는	또는/MAG
자막을	자막/NNG+을/JKO
방영할	방영하/VV+ㄹ/ETM
수	수/NNB
있다'고	있/VA+다/EF+'/SS+고/JKQ
규정한다	규정하/VV+ㄴ다/EC

또	또/MAG
장애인차별금지법	장애인차별금지법/NNG
27조3항은	27/SN+조/NR+3/SN+항/NNG+은/JX
`공직선거	`/SW+공직선거/NNG
후보자와	후보자/NNG+와/JC
정당은	정당/NNG+은/JX
장애인에게	장애인/NNG+에게/JKB
장애인이	장애인/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
사람과	사람/NNG+과/JKB
동등한	동등하/VA+ㄴ/ETM
수준으로	수준/NNG+으로/JKB
정보를	정보/NNG+를/JKO
전달해야	전달하/VV+여야/EC
한다'고	하/VX+ㄴ다/EF+'/SS+고/JKQ
규정한다	규정하/VV+ㄴ다/EC

변씨는	변/NNP+씨/NNB+는/JX
이에	이/NP+에/JKB
"선거법이	"/SS+선거법/NNG+이/JKS
수화나	수화/NNG+나/JC
자막을	자막/NNG+을/JKO
의무가	의무/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
선택인	선택/NNG+이/VCP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
규정하고	규정하/VV+고/EC
있으나	있/VX+으나/EC
법	법/NNG
해석상	해석/NNG+상/XSN
장애인에	장애인/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
기본권을	기본권/NNG+을/JKO
보장하는	보장하/VV+는/ETM
법률은	법률/NNG+은/JX
장애인차별금지법을	장애인차별금지법/NNG+을/JKO
기본법으로	기본법/NNG+으로/JKB
해석해야	해석하/VV+여야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
강조했다	강조하/VV+였/EP+다/EC

아울러	아울러/MAG
변씨는	변/NNP+씨/NNB+는/JX
"피고는	"/SS+피고/NNG+는/JX
청각장애인을	청각장애인/NNG+을/JKO
고려하지	고려하/VV+지/EC
않은	않/VX+은/ETM
선거	선거/NNG
광고를	광고/NNG+를/JKO
제작해	제작하/VV+여/EC
선거	선거/NNG
정보에	정보/NNG+에/JKB
접근할	접근하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
권한을	권한/NNG+을/JKO
침해하고	침해하/VV+고/EC
인격적인	인격적/NNG+이/VCP+ㄴ/ETM
모멸감을	모멸감/NNG+을/JKO
줬다"며	주/VV+었/EP+다/EF+"/SS+며/EC
"정신적	"/SS+정신적/NNG
손해에	손해/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
배상	배상/NNG
책임이	책임/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
주장했다	주장하/VV+였/EP+다/EC

hanjh@yna	hanjh/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
