서울메트로,	서울메트로/NNP+,/SP
스크린도어에	스크린도어/NNP+에/JKB
점자안내판	점자안내판/NNG
설치	설치/NNG

서울지하철	서울지하철/NNP
1~4호선을	1/SN+~/SO+4/SN+호/NNB+선/XSN+을/JKO
운영하는	운영하/VV+는/ETM
서울메트로는	서울메트로/NNP+는/JX
120개역	120/SN+개/NNB+역/NNG
모든	모든/MM
안전문(스크린도어)	안전문/NNG+(/SS+스크린도어/NNP+)/SS
옆에	옆/NNG+에/JKB
시각장애인을	시각장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
점자안내판	점자안내판/NNG
9392개를	9392/SN+개/NNB+를/JKO
설치했다고	설치하/VV+였/EP+다고/EC
19일	19/SN+일/NNB
밝혔다	밝히/VV+었/EP+다/EC

점자안내판은	점자안내판/NNG+은/JX
시각장애인들이	시각장애인/NNG+들/XSN+이/JKS
지하철을	지하철/NNG+을/JKO
보다	보다/MAG
편리하게	편리하/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
승차위치	승차위치/NNG
번호와	번호/NNG+와/JC
운행방면에	운행방면/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정보가	정보/NNG+가/JKS
담겨	담기/VV+어/EC
있으며,	있/VX+으며/EC+,/SP
안전문(스크린도어)	안전문/NNG+(/SS+스크린도어/NNP+)/SS
옆	옆/NNG
약	약/MM
1	1/SN

5m	5/SN+m/SL
높이에	높이/NNG+에/JKB
설치되어	설치되/VV+어/EC
있다	있/VX+다/EC

서울메트로는	서울메트로/NNP+는/JX
지난해부터	지난해/NNG+부터/JX
1032	1032/SN
곳에	곳/NNG+에/JKB
점자안내판	점자안내판/NNG
설치를	설치/NNG+를/JKO
시작했으며,	시작하/VV+였/EP+으며/EC+,/SP
올해도	올해/NNG+도/JX
지난	지나/VV+ㄴ/ETM
9월부터	9/SN+월/NNB+부터/JX
나머지	나머지/NNG
8360곳에	8360/SN+곳/NNG+에/JKB
점자안내판을	점자안내판/NNG+을/JKO
설치해	설치하/VV+여/EC
모든	모든/MM
안전문(스크린도어)	안전문/NNG+(/SS+스크린도어/NNP+)/SS
옆에	옆/NNG+에/JKB
점자안내판	점자안내판/NNG
설치를	설치/NNG+를/JKO
완료했다	완료하/VV+였/EP+다/EC

서울메트로	서울메트/NNP+로/JKB
관계자는	관계자/NNG+는/JX
“시각장애인들이	“/SN+시각장애인/NNG+들/XSN+이/JKS
지하철을	지하철/NNG+을/JKO
이용할	이용하/VV+ㄹ/ETM
때	때/NNG
자신의	자신/NNG+의/JKG
현재	현재/MAG
위치가	위치/NNG+가/JKS
어디인지,	어디/NP+이/VCP+ㄴ지/EC+,/SP
목적지에	목적지/NNG+에/JKB
제대로	제대로/MAG
가고	가/VV+고/EC
있는지를	있/VX+는지/EC+를/JKO
쉽게	쉽/VA+게/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
점자안내판을	점자안내판/NNG+을/JKO
설치했다”며	설치하/VV+였/EP+다/EC+”/SN+며/EC
“앞으로도	“/SL+앞/NNG+으로/JKB+도/JX
시각장애인	시각장애인/NNG
등	등/NNB
교통약자를	교통약자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
다양한	다양하/VA+ㄴ/ETM
맞춤	맞춤/NNG
서비스를	서비스/NNG+를/JKO
발굴해	발굴하/VV+여/EC
교통약자들이	교통약자/NNG+들/XSN+이/JKS
지하철을	지하철/NNG+을/JKO
이용하는데	이용하/VV+는/ETM+데/NNB
불편함을	불편하/VA+ㅁ/ETN+을/JKO
느끼지	느끼/VV+지/EC
않도록	않/VX+도록/EC
점차	점차/MAG
개선해	개선하/VV+여/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
말했다	말하/VV+였/EP+다/EC
