조기개통	조기개통/NNG
별내역…장애인편의	별내역/NNG+…/SE+장애인편/NNG+의/JKG
외면	외면/NNG

남양주시	남양주시/NNP
경춘선	경춘선/NNP
별내역이	별내역/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
15일	15/SN+일/NNB
조기	조기/NNG
개통했다	개통하/VV+였/EP+다/EC

이는	이/NP+는/JX
이달	이달/NNG
말	말/NNB
완공될	완공되/VV+ㄹ/ETM
예정이지만,	예정/NNG+이/VCP+지만/EC+,/SP
한국철도공사가	한국철도공사/NNP+가/JKS
시민들의	시민/NNG+들/XSN+의/JKG
이용과	이용/NNG+과/JC
열차	열차/NNG
운영에	운영/NNG+에/JKB
무리가	무리/NNG+가/JKS
없다는	없/VA+다는/ETM
판단에	판단/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
것이다	것/NNB+이/VCP+다/EC

별내역은	별/MM+내역/NNG+은/JX
8호선	8/SN+호/NNB+선/XSN
암사역	암사역/NNP
연장(2017년	연장/NNG+(/SS+2017/SN+년/NNB
개통	개통/NNG
예정),	예정/NNG+)/SS+,/SP
4호선	4/SN+호/NNB+선/XSN
당고개	당고개/NNP
연장(2018년	연장/NNG+(/SS+2018/SN+년/NNB
개통	개통/NNG
예정)이	예정/NNG+)/SS+이/JKS
개통되면	개통되/VV+면/EC
환승역이	환승역/NNG+이/JKC
된다	되/VV+ㄴ다/EF

22일	22/SN+일/NNB
조기	조기/NNG
개통된	개통되/VV+ㄴ/ETM
별내역을	별/MM+내역/NNG+을/JKO
찾아가	찾아가/VV+아/EC
장애인	장애인/NNG
편의시설을	편의시설/NNG+을/JKO
점검해	점검하/VV+여/EC
봤다	보/VX+았/EP+다/EF

방문했을	방문하/VV+였/EP+을/ETM
때	때/NNG
마무리	마무리/NNG
공사가	공사/NNG+가/JKS
진행되고	진행되/VV+고/EC
있었지만,	있/VX+었/EP+지만/EC+,/SP
장애인	장애인/NNG
편의시설을	편의시설/NNG+을/JKO
점검하는	점검하/VV+는/ETM
데에는	데/NNB+에/JKB+는/JX
무리가	무리/NNG+가/JKS
없었다	없/VA+었/EP+다/EF

승강장에는	승강장/NNG+에/JKB+는/JX
시각장애인	시각장애인/NNG
등의	등/NNB+의/JKG
추락을	추락/NNG+을/JKO
예방하기	예방하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
스크린도어가	스크린도어/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
