NASA,	NASA/SL+,/SP
장애	장애/NNG
고등학생	고등학생/NNG
멘토	멘토/NNG
프로그램	프로그램/NNG
계획	계획/NNG

미항공우주국	미항공우주국/NNP
나사(NASA)가	나사/NNP+(/SS+NASA/SL+)/SS+가/JKS
장애	장애/NNG
고등학생들을	고등학생/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
멘토	멘토/NNG
프로그램을	프로그램/NNG+을/JKO
계획하고	계획하/VV+고/EC
있어	있/VX+어/EC
미국민들의	미국/NNP+민들/XSN+의/JKG
연말	연말/NNG
분위기를	분위기/NNG+를/JKO
따뜻하게	따뜻하/VA+게/EC
하고	하/VX+고/EC
있다	있/VX+다/EC

지난	지나/VV+ㄴ/ETM
18일자	18/SN+일자/NNG
디스에빌리티	디스에빌리티/NNG
스쿱(http://www	스쿱/NNG+(/SS+http/SL+:///SP+www/SL

disabilityscoop	disabilityscoop/SL

com)에	com/SL+)/SS+에/JKB
따르면	따르/VV+면/EC
나사는	나사/NNP+는/JX
내년초부터	내년/NNG+초/NNB+부터/JX
자폐,	자폐/NNG+,/SP
학습	학습/NNG
지진아	지진아/NNG
혹은	혹은/MAG
중복	중복/NNG
장애인들을	장애인/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
워싱턴	워싱턴/NNP
디시	디시/NNG
공립학교와	공립학교/NNG+와/JKB
교환	교환/NNG
프로그램을	프로그램/NNG+을/JKO
진행하게	진행하/VV+게/EC
된다고	되/VV+ㄴ다고/EC
보도했다	보도하/VV+였/EP+다/EC

이	이/MM
협력은	협력/NNG+은/JX
과학,	과학/NNG+,/SP
기술,	기술/NNG+,/SP
엔지니어링과	엔지니어링/NNG+과/JC
수학을	수학/NNG+을/JKO
공부하고	공부하/VV+고/EC
있는	있/VX+는/ETM
학생들을	학생/NNG+들/XSN+을/JKO
고무시키기	고무/NNG+시키/XSV+기/ETN
위해서	위하/VV+여서/EC
계획	계획/NNG
되었다	되/VV+었/EP+다/EC

나사의	나사/NNP+의/JKG
행정관	행정관/NNG
제임스	제임스/NNP
스포팬은	스포팬/NNG+은/JX
“우리는	“/SN+우리/NP+는/JX
학습에	학습/NNG+에/JKB
장애를	장애/NNG+를/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
장애	장애/NNG
학생들을	학생/NNG+들/XSN+을/JKO
고무시키기	고무/NNG+시키/XSV+기/ETN
위해	위하/VV+여/EC
이런	이런/MM
프로그램을	프로그램/NNG+을/JKO
제공하고	제공하/VV+고/EC
있다”면서	있/VX+다/EC+”/VV+면서/EC
"최종적으로는	"/SS+최종적/NNG+으로/JKB+는/JX
장애	장애/NNG
학생	학생/NNG
멘토링의	멘토링/NNG+의/JKG
기회는	기회/NNG+는/JX
참여한	참여하/VV+ㄴ/ETM
학생들로	학생/NNG+들/XSN+로/JKB
하여금	하여금/MAG
나사의	나사/NNP+의/JKG
여름	여름/NNG
인턴십까지	인턴십/NNG+까지/JX
연결되게	연결되/VV+게/EC
할	하/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
유도할	유도하/VV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다	말하/VV+였/EP+다/EC

장애학생들을	장애학생/NNG+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
이	이/MM
프로그램을	프로그램/NNG+을/JKO
활성화시키기	활성화/NNG+시키/XSV+기/ETN
위해	위하/VV+여/EC
워싱턴	워싱턴/NNP
디시	디시/NNG
공립학교는	공립학교/NNG+는/JX
노쓰롭	노쓰롭/NNP
그루맨과	그루맨/NNG+과/JC
캐피털	캐피털/NNG
건축등과	건축/NNG+등/NNB+과/JKB
같은	같/VA+은/ETM
기관과	기관/NNG+과/JC
협력을	협력/NNG+을/JKO
맺어	맺/VV+어/EC
지원을	지원/NNG+을/JKO
받고	받/VV+고/EC
있다	있/VX+다/EC

*	*/SW
샘	샘/NNG
기자는	기자/NNG+는/JX
에이블뉴스	에이블뉴스/NNP
객원기자로	객원기자/NNG+로/JKB
캘리포니아	캘리포니아/NNP
버클리대학	버클리대학/NNP
사회학과를	사회학과/NNG+를/JKO
졸업하고,	졸업하/VV+고/EC+,/SP
전	전/MM
미상원	미/NNP+상원/NNG
장애인국	장애인국/NNG
인턴을	인턴/NNG+을/JKO
지냈다	지내/VV+었/EP+다/EC

현재	현재/MAG
TEC	TEC/SL
대표를	대표/NNG+를/JKO
맡고	맡/VV+고/EC
있다	있/VX+다/EC
