'저가항공사,	'/SS+저가항공사/NNG+,/SP
휠체어승강설비	휠체어승강설비/NNG
설치해야'	설치하/VV+여야/EF+'/SS

국가인권위원회는	국가인권위원회/NNG+는/JX
3일	3/SN+일/NNB
저가항공사가	저가항공사/NNG+가/JKS
휠체어	휠체어/NNG
장애인의	장애인/NNG+의/JKG
탑승편의를	탑승편의/NNG+를/JKO
제공하지	제공하/VV+지/EC
않는	않/VX+는/ETM
것은	것/NNB+은/JX
장애인에	장애인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘차별’이라고	‘/SN+차/NNB+별/MM+’/SN+이/VCP+라고/EC
밝혔다	밝히/VV+었/EP+다/EC

인권위에	인권위/NNG+에/JKB
따르면	따르/VV+면/EC
휠체어를	휠체어/NNG+를/JKO
사용하는	사용하/VV+는/ETM
이모(남,	이/NNP+모/NP+(/SS+남/NNP+,/SP
60세,	60/SN+세/NNB+,/SP
뇌병변	뇌병변/NNG
1급)씨의	1/SN+급/NNG+)/SS+씨/NNB+의/JKG
아들(남,	아들/NNG+(/SS+남/NNP+,/SP
31세)은	31/SN+세/NNB+)/SS+은/JX
“지난해	“/SL+지난해/NNG
9월	9/SN+월/NNB
제주도로	제주도/NNP+로/JKB
가족여행을	가족여행/NNG+을/JKO
가기	가/VV+기/ETN
위해	위하/VV+여/EC
A항공을	A/SL+항공/NNG+을/JKO
이용하려	이용하/VV+려/EC
했으나	하/VX+였/EP+으나/EC
항공기를	항공기/NNG+를/JKO
탑승교에	탑승교/NNG+에/JKB
연결하는	연결하/VV+는/ETM
스텝카(계단차)가	스텝카/NNG+(/SS+계단차/NNG+)/SS+가/JKS
없어	없/VA+어/EC
보호자가	보호자/NNG+가/JKS
장애인을	장애인/NNG+을/JKO
직접	직접/MAG
업어서	업/VV+어서/EC
계단을	계단/NNG+을/JKO
오르내려야	오르내리/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
해서	하/VV+여서/EC
A항공	A/SL+항공/NNG
이용을	이용/NNG+을/JKO
포기했다”며	포기하/VV+였/EP+다/EC+”/VX+며/EC
지난해	지난해/NNG
9월	9/SN+월/NNB
인권위에	인권위/NNG+에/JKB
진정을	진정/NNG+을/JKO
제기했다	제기하/VV+였/EP+다/EC

이에	이/NP+에/JKB
대해	대하/VV+여/EC
A항공은	A/SL+항공/NNG+은/JX
“스텝카를	“/SN+스/XSN+텝/SN+카/NNG+를/JKO
이용한	이용하/VV+ㄴ/ETM
항공기	항공기/NNG
탑승은	탑승/NNG+은/JX
국내	국내/NNG
각	각/MM
공항의	공항/NNG+의/JKG
탑승교	탑승교/NNG
부족으로	부족/NNG+으로/JKB
불가피한	불가피하/VA+ㄴ/ETM
상황이며,	상황/NNG+이/VCP+며/EC+,/SP
장애인	장애인/NNG
탑승편의	탑승편/NNG+의/JKG
시설을	시설/NNG+을/JKO
직접	직접/MAG
구비할	구비하/VV+ㄹ/ETM
경우	경우/NNG
공항	공항/NNG
당	당/NNG
약	약/MM
2	2/SN

5억원의	5/SN+억/NR+원/NNB+의/JKG
비용이	비용/NNG+이/JKS
발생해	발생하/VV+여/EC
대형	대형/NNG
항공사를	항공사/NNG+를/JKO
제외한	제외하/VV+ㄴ/ETM
저비용	저/XPN+비용/NNG
항공사들은	항공사/NNG+들/XSN+은/JX
대부분	대부분/NNG
휠체어	휠체어/NNG
리프트카를	리프트카/NNG+를/JKO
구비·보유하고	구비/NNG+·/SP+보유하/VV+고/EC
있지	있/VX+지/EC
