정립회관,	정립회관/NNG+,/SP
장애인	장애인/NNG
위한	위하/VV+ㄴ/ETM
복지관	복지/NNG+관/XSN
맞아?	맞/VV+아/EF+?/SF

새롭게	새롭/VA+게/EC
탈바꿈한	탈바꿈하/VV+ㄴ/ETM
장애인복지관인	장애인복지/NNG+관/XSN+이/VCP+ㄴ/ETM
정립회관이	정립회관/NNG+이/JKS
오는	오/VV+는/ETM
30일	30/SN+일/NNB
열릴	열리/VV+ㄹ/ETM
준공식을	준공식/NNG+을/JKO
앞두고	앞두/VV+고/EC
막바지	막바지/NNG
마무리	마무리/NNG
작업에	작업/NNG+에/JKB
한창이다	한창/NNG+이/VCP+다/EC

1975년	1975/SN+년/NNB
개관	개관/NNG
이래	이래/NNB
36년	36/SN+년/NNB
만에	만/NNB+에/JKB
새롭게	새롭/VA+게/EC
탈바꿈	탈바꿈/NNG
한	한/MM
정립회관은	정립회관/NNG+은/JX
2008년	2008/SN+년/NNB
9월	9/SN+월/NNB
안전진단결과	안전진단결과/NNG
위험건물	위험건물/NNG
판정(D등급)을	판정/NNG+(/SS+D/SL+등급/NNG+)/SS+을/JKO
받아	받/VV+아/EC
재건축	재건축/NNG
결정이	결정/NNG+이/JKS
내려졌다	내려지/VV+었/EP+다/EC

이에	이/NP+에/JKB
지난해	지난해/NNG
10월	10/SN+월/NNB
착공에	착공/NNG+에/JKB
들어가	들어가/VV+아/EC
1년여	1/SN+년/NNB+여/XSN
만에	만/NNB+에/JKB
완공됐다	완공되/VV+었/EP+다/EF

정립회관은	정립회관/NNG+은/JX
지상	지상/NNG
4층,	4/SN+층/NNG+,/SP
연건평	연건평/NNG
4,996m²의	4,996/SN+m²/SL+의/JKG
규모로	규모/NNG+로/JKB
68억6,500만원의	68/SN+억/NR+6,500/SN+만/NR+원/NNB+의/JKG
사업비가	사업비/NNG+가/JKS
소요됐다	소요되/VV+었/EP+다/EF

건물	건물/NNG
1층은	1/SN+층/NNG+은/JX
로비,	로비/NNG+,/SP
Art	Art/SL
Space(전시),	Space/SL+(/SS+전시/NNG+)/SS+,/SP
2층은	2/SN+층/NNG+은/JX
프로그램실,	프로그램/NNG+실/XSN+,/SP
도서실,	도서실/NNG+,/SP
상담실,	상담/NNG+실/XSN+,/SP
3층은	3/SN+층/NNG+은/JX
주간보호센터,	주간보호센터/NNG+,/SP
수유실,	수유실/NNG+,/SP
작업치료실	작업치료/NNG+실/XSN
4층은	4/SN+층/NNG+은/JX
다목적홀,	다목적홀/NNG+,/SP
통합사무실,	통합사무실/NNG+,/SP
관장실	관장실/NNG
등으로	등/NNB+으로/JKB
단장됐다	단장되/VV+었/EP+다/EF

에이블뉴스가	에이블뉴스/NNP+가/JKS
준공식에	준공식/NNG+에/JKB
앞서	앞서/VV+어/EC
정립회관의	정립회관/NNG+의/JKG
장애편의를	장애편의/NNG+를/JKO
점검해봤다	점검하/VV+여/EC+보/VX+았/EP+다/EF

정립회관	정립회관/NNG
건물	건물/NNG
각층에는	각층/NNG+에/JKB+는/JX
중증장애인들이	중증장애인/NNG+들/XSN+이/JKS
화재	화재/NNG
등의	등/NNB+의/JKG
재난시	재난/NNG+시/NNB
신속하고	신속하/VA+고/EC
빠르게	빠르/VA+게/EC
대피할	대피하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
경사로가	경사로/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

다만	다만/MAG
옆	옆/NNG
건물인	건물/NNG+이/VCP+ㄴ/ETM
수영장과	수영장/NNG+과/JC
연결된	연결되/VV+ㄴ/ETM
통로가	통로/NNG+가/JKS
마련돼	마련되/VV+어/EC
있다	있/VX+다/EF

2층은	2/SN+층/NNG+은/JX
배란다가	배란다/NNG+가/JKS
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않았다	않/VX+았/EP+다/EF

3층과	3/SN+층/NNG+과/JC
4층은	4/SN+층/NNG+은/JX
베란다가	베란다/NNG+가/JKS
넓게	넓/VA+게/EC
설치돼	설치되/VV+어/EC
화재	화재/NNG
재난시	재난/NNG+시/NNB
임시로	임시/NNG+로/JKB
대피할	대피하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
공간을	공간/NNG+을/JKO
갖추고	갖추/VV+고/EC
있었다	있/VX+었/EP+다/EF

5층	5/SN+층/NNG
옥상은	옥상/NNG+은/JX
수영장과	수영장/NNG+과/JC
연결된	연결되/VV+ㄴ/ETM
경사로가	경사로/NNG+가/JKS
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

남녀	남녀/NNG
장애인전용화장실은	장애인전용화장실/NNG+은/JX
비장애인화장실	비장애인화장실/NNG
입구에	입구/NNG+에/JKB
터치식자동문으로	터치식자동문/NNG+으로/JKB
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

하지만	하지만/MAJ
정립회관	정립회관/NNG
이용자들이	이용자/NNG+들/XSN+이/JKS
대부분	대부분/NNG
장애인들임을	장애인/NNG+들/XSN+이/VCP+ㅁ/ETN+을/JKO
감안할	감안하/VV+ㄹ/ETM
때	때/NNG
장애인화장실이	장애인화장실/NNG+이/JKS
부족할	부족하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상됐다	예상되/VV+었/EP+다/EF

현재	현재/MAG
장애인전용화장실은	장애인전용화장실/NNG+은/JX
1층과	1/SN+층/NNG+과/JC
2층에	2/SN+층/NNG+에/JKB
남녀	남녀/NNG
구분해	구분하/VV+여/EC
각	각/MM
1개씩,	1/SN+개/NNB+씩/XSN+,/SP
3층에	3/SN+층/NNG+에/JKB
남녀	남녀/NNG
구분해	구분하/VV+여/EC
각	각/MM
2개씩,	2/SN+개/NNB+씩/XSN+,/SP
4층에	4/SN+층/NNG+에/JKB
남녀	남녀/NNG
구분해	구분하/VV+여/EC
각	각/MM
1개씩,	1/SN+개/NNB+씩/XSN+,/SP
가족도우미를	가족도우미/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
화장실은	화장실/NNG+은/JX
2개가	2/SN+개/NNB+가/JKS
설치돼	설치되/VV+어/EC
있다	있/VX+다/EF

남녀	남녀/NNG
장애인화장실	장애인화장실/NNG
내부는	내부/NNG+는/JX
공통적으로	공통적/NNG+으로/JKB
세면대의	세면대/NNG+의/JKG
높이가	높이/NNG+가/JKS
조절돼	조절되/VV+어/EC
편리하게	편리하/VA+게/EC
이용할	이용하/VV+ㄹ/ETM
수	수/NNB
있었다	있/VA+었/EP+다/EF

반면	반면/NNG
손잡이는	손잡이/NNG+는/JX
아직	아직/MAG
설치돼	설치되/VV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
목발	목발/NNG
짚는	짚/VV+는/ETM
장애인	장애인/NNG
