가까이	가까이/MAG
하기엔	하/VV+기/ETN+에/JKB+ㄴ/JX
너무	너무/MAG
먼	멀/VA+ㄴ/ETM
‘장애인콜택시’	‘장애인콜택시’/NNG

[2012년	[/SS+2012/SN+년/NNB
결산]-④장애인콜택시[다사다난했던	결산/NNG+]/SS+-/SO+④/SN+장애인콜택시/NNG+[/SS+다사다난했/VA+던/ETM
2012년이	2012/SN+년/NNB+이/JKS
끝나간다	끝나가/VV+ㄴ다/EC

특히	특히/MAG
4·11	4/SN+·/SP+11/SN
총선,	총선/NNG+,/SP
18대	18/SN+대/NNB
대선	대선/NNG
등으로	등/NNB+으로/JKB
유난히	유난히/MAG
다사다난했던	다사다난하/VA+였/EP+던/ETM
장애계에서	장애/NNG+계/XSN+에서/JKB
가장	가장/MAG
뜨거운	뜨겁/VA+ㄴ/ETM
이슈는	이슈/NNG+는/JX
무엇이었을까?에이블뉴스가	무엇/NP+이/VCP+었/EP+을까/EF+?/SF+에이블뉴스/NNP+가/JKS
인터넷설문조사를	인터넷설문조사/NNG+를/JKO
통해	통하/VV+여/EC
선정한	선정하/VV+ㄴ/ETM
‘2012년	‘/SL+2012/SN+년/NNB
장애인계	장애인계/NNG
10대	10/SN+대/NNB
키워드’를	키우/VV+어/EC+드/VX+’/SL+를/JKO
중심으로	중심/NNG+으로/JKB
한해를	한/MM+해/NNB+를/JKO
결산하는	결산하/VV+는/ETM
특집을	특집/NNG+을/JKO
전개한다	전개하/VV+ㄴ다/EC

네	네/MM
번째는	번째/NNB+는/JX
113표를	113/SN+표/NNG+를/JKO
얻어	얻/VV+어/EC
5위에	5/SN+위/NNB+에/JKB
오른	오르/VV+ㄴ/ETM
‘장애인콜택시’다	‘/SL+장애인콜택시/NNG+’/SN+다/EF

서울시설공단에서	서울/NNP+시설공단/NNG+에서/JKB
운영하는	운영하/VV+는/ETM
장애인콜택시	장애인콜택시/NNG
모습	모습/NNG

D	D/SL

B	B/SL
장애인들의	장애인/NNG+들/XSN+의/JKG
이동권을	이동/NNG+권/XSN+을/JKO
생각했을	생각하/VV+였/EP+을/ETM
때	때/NNG
‘교통약자의	‘/SN+교통약자/NNG+의/JKG
이동편의	이동편/NNG+의/JKG
증진법’에	증진법/NNG+’/SL+에/JKB
의해	의하/VV+여/EC
지방자치단체에서	지방자치단체/NNG+에서/JKB
의무적으로	의무적/NNG+으로/JKB
운영해야	운영하/VV+여야/EC
하는	하/VX+는/ETM
특별교통수단	특별교통수단/NNG
중	중/NNB
하나인	하나/NNG+이/VCP+ㄴ/ETM
장애인콜택시를	장애인콜택시/NNG+를/JKO
빼놓을	빼놓/VV+을/ETM
수	수/NNB
없다	없/VA+다/EF

특별교통수단은	특별교통수단/NNG+은/JX
지방자치단체장이	지방자치단체장/NNG+이/JKS
이동에	이동/NNG+에/JKB
심한	심하/VA+ㄴ/ETM
불편을	불편/NNG+을/JKO
느끼는	느끼/VV+는/ETM
사람의	사람/NNG+의/JKG
이동을	이동/NNG+을/JKO
지원하기	지원하/VV+기/ETN
위해	위하/VV+여/EC
운행하는	운행하/VV+는/ETM
휠체어	휠체어/NNG
탑승설비가	탑승설비/NNG+가/JKS
장착된	장착되/VV+ㄴ/ETM
차량을	차량/NNG+을/JKO
말한다	말하/VV+ㄴ다/EF

교통약자의	교통약자/NNG+의/JKG
이동편의증진	이동편의증진/NNG
법에	법/NNG+에/JKB
따라	따르/VV+아/EC
전국의	전국/NNG+의/JKG
시장이나	시장/NNG+이나/JC
군수는	군수/NNG+는/JX
해당	해당/NNG
지자체에	지자체/NNG+에/JKB
1급과	1/SN+급/NNG+과/JC
2급	2/SN+급/NNG
장애인	장애인/NNG
200명	200/SN+명/NNB
당	당/XSN
1대의	1/SN+대/NNB+의/JKG
특별교통수단을	특별교통수단/NNG+을/JKO
운행해야	운행하/VV+여야/EC
한다	하/VX+ㄴ다/EF

중증장애인들에게	중증장애인/NNG+들/XSN+에게/JKB
호응을	호응/NNG+을/JKO
얻고	얻/VV+고/EC
있는	있/VX+는/ETM
특별교통수단은	특별교통수단/NNG+은/JX
지자체들이	지자체/NNG+들/XSN+이/JKS
법정	법정/NNG
의무	의무/NNG
도입을	도입/NNG+을/JKO
외면하고	외면하/VV+고/EC
있어	있/VX+어/EC
불만의	불만/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
높았다	높/VA+았/EP+다/EC

장애인콜택시를	장애인콜택시/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
특별교통수단이	특별교통수단/NNG+이/JKS
부족해서	부족하/VA+여서/EC
오래	오래/MAG
기다려야	기다리/VV+어야/EC
하는	하/VX+는/ETM
등	등/NNB
이용하는데	이용하/VV+는/ETM+데/NNB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다는	있/VX+다는/ETM
것이다	것/NNB+이/VCP+다/EC

