경기안산항공전,	경기안산항공전/NNG+,/SP
장애인	장애인/NNG
방문은	방문/NNG+은/JX
'외면'	'/SS+외면/NNG+'/SS

2012경기안산항공전(이하	2012/SN+경기안산/NNP+항공전/NNG+(/SS+이하/NNG
항공전)이	항공전/NNG+)/SS+이/JKS
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
안산시	안산시/NNP
상록구	상록구/NNP
사동에서의	사동/NNG+에서/JKB+의/JKG
개막식을	개막식/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
오는	오/VV+는/ETM
7일까지	7/SN+일/NNB+까지/JX
열린다	열리/VV+ㄴ다/EF

항공전은	항공전/NNG+은/JX
국외	국외/NNG
곡예팀,	곡예팀/NNG+,/SP
블랙이글,	블랙이글/NNG+,/SP
특전사	특전사/NNG
고공낙하	고공낙하/NNG
등의	등/NNB+의/JKG
에어쇼,	에어쇼/NNG+,/SP
100여대	100/SN+여/XSN+대/NNB
항공기	항공기/NNG
전시,	전시/NNG+,/SP
포토존,	포토존/NNG+,/SP
레저항공	레저항공/NNP
산업체,	산업체/NNG+,/SP
기관	기관/NNG
등이	등/NNB+이/JKS
참가하는	참가하/VV+는/ETM
레저항공산업관	레저항공산업관/NNP
등으로	등/NNB+으로/JKB
구성돼	구성되/VV+어/EC
방문객들에게	방문객/NNG+들/XSN+에게/JKB
즐거움을	즐거움/NNG+을/JKO
선사하고	선사하/VV+고/EC
있다	있/VX+다/EC

하지만	하지만/MAJ
안산시장애인자립생활센터가	안산시장애인자립생활센터/NNG+가/JKS
4일	4/SN+일/NNB
오전	오전/NNG
항공전이	항공전/NNG+이/JKS
열리는	열리/VV+는/ETM
사동을	사동/NNG+을/JKO
찾아	찾/VV+아/EC
장애인	장애인/NNG
편의를	편의/NNG+를/JKO
점검한	점검하/VV+ㄴ/ETM
결과	결과/NNG
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
배려는	배려/NNG+는/JX
미흡한	미흡하/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
조사됐다	조사되/VV+었/EP+다/EF

먼저	먼저/MAG
이동	이동/NNG
장애인화장실은	장애인화장실/NNG+은/JX
항공전	항공전/NNG
행사장	행사장/NNG
정문	정문/NNG
입구	입구/NNG
등에	등/NNB+에/JKB
남녀공용으로	남녀공용/NNG+으로/JKB
5곳에	5/SN+곳/NNG+에/JKB
설치돼	설치되/VV+어/EC
있었다	있/VX+었/EP+다/EF

이중	이/MM+중/NNB
항공전	항공전/NNG
행사장	행사장/NNG
정문	정문/NNG
입구에	입구/NNG+에/JKB
설치된	설치되/VV+ㄴ/ETM
장애인화장실은	장애인화장실/NNG+은/JX
오가는	오가/VV+는/ETM
길이	길/NNG+이/JKS
자갈길로	자갈길/NNG+로/JKB
돼	되/VV+어/EC
있어	있/VX+어/EC
수·전동휠체어	수/IC+·/SP+전동휠체어/NNG
장애인들이	장애인/NNG+들/XSN+이/JKS
이용하기	이용하/VV+기/ETN
불편했다	불편하/VA+었/EP+다/EC

행사장	행사장/NNG
정문	정문/NNG
입구와	입구/NNG+와/JC
주변	주변/NNG
역시	역시/MAG
온통	온통/MAG
자갈길로	자갈길/NNG+로/JKB
휠체어장애인들의	휠체어장애인/NNG+들/XSN+의/JKG
이용에	이용/NNG+에/JKB
제약이	제약/NNG+이/JKS
따랐다	따르/VV+았/EP+다/EC

특히	특히/MAG
화장실	화장실/NNG
5곳	5/SN+곳/NNG
모두	모두/MAG
출입문이	출입문/NNG+이/JKS
미닫이문으로	미닫이문/NNG+으로/JKB
설치돼	설치되/VV+어/EC
손이	손/NNG+이/JKS
불편한	불편하/VA+ㄴ/ETM
중증장애인들은	중증장애인/NNG+들/XSN+은/JX
사용하기	사용하/VV+기/ETN
어렵도록	어렵/VA+도록/EC
돼	되/VV+어/EC
있었다	있/VX+었/EP+다/EF

화장실	화장실/NNG
내부에는	내부/NNG+에/JKB+는/JX
공통으로	공통/NNG+으로/JKB
세면대가	세면대/NNG+가/JKS
설치돼	설치되/VV+어/EC
있었지만	있/VX+었/EP+지만/EC
물이	물/NNG+이/JKS
나오지	나오/VV+지/EC
않았다	않/VX+았/EP+다/EF

용변기는	용변/NNG+기/XSN+는/JX
소아용처럼	소아용/NNG+처럼/JKB
낮아	낮/VA+아/EC
휠체어장애인들이	휠체어장애인/NNG+들/XSN+이/JKS
앉을	앉/VV+을/ETM
