서울지하철	서울지하철/NNP
남녀공용장애인화장실	남녀공용장애인화장실/NNG
30%	30/SN+%/SW
육박	육박/NNG

서울	서울/NNP
지하철	지하철/NNG
역사	역사/NNG
내에	내/NNB+에/JKB
설치된	설치되/VV+ㄴ/ETM
장애인화장실	장애인화장실/NNG
중	중/NNB
남녀공용이	남녀공용/NNG+이/JKS
30%에	30/SN+%/SW+에/JKB
육박하는	육박하/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다	나타나/VV+았/EP+다/EC

최근	최근/NNG
서울시가	서울시/NNP+가/JKS
서울시의회에	서울시/NNP+의회/NNG+에/JKB
보고한	보고하/VV+ㄴ/ETM
지하철	지하철/NNG
1∼9호선	1/SN+∼/SO+9/SN+호/NNB+선/XSN
역사	역사/NNG
장애인화장실	장애인화장실/NNG
현황에	현황/NNG+에/JKB
따르면	따르/VV+면/EC
미개통한	미개통하/VA+ㄴ/ETM
마곡나루역을	마곡나루역/NNP+을/JKO
포함한	포함하/VV+ㄴ/ETM
293개	293/SN+개/NNB
역사	역사/NNG
중	중/NNB
8개	8/SN+개/NNB
역사에는	역사/NNG+에/JKB+는/JX
아예	아예/MAG
장애인화장실이	장애인화장/NNG+실/XSN+이/JKS
없었고,	없/VA+었/EP+고/EC+,/SP
80개	80/SN+개/NNB
역사에는	역사/NNG+에/JKB+는/JX
남녀공용장애인화장실이	남녀공용장애인화장실/NNG+이/JKS
설치됐다	설치되/VV+었/EP+다/EF

자세히	자세히/MAG
살펴보면	살펴보/VV+면/EC
서울메트로에서	서울메트로/NNP+에서/JKB
운영하는	운영하/VV+는/ETM
1∼4호선의	1/SN+∼/SO+4/SN+호/NNB+선/XSN+의/JKG
경우	경우/NNG
120개	120/SN+개/NNB
역사	역사/NNG
중	중/NNB
1호선	1/SN+호/NNB+선/XSN
청량리역	청량리역/NNP
서쪽방향,	서쪽방향/NNG+,/SP
3호선	3/SN+호/NNB+선/XSN
지축역·연신내역·충무로역·고속버스터미널역	지축역/NNP+·/SP+연신내역/NNG+·/SP+충무로역/NNP+·/SP+고속버스터미널역/NNG
등	등/NNB
5개	5/SN+개/NNB
역사에	역사/NNG+에/JKB
장애인화장실이	장애인화장실/NNG+이/JKS
없었고,	없/VA+었/EP+고/EC+,/SP
