"'성폭행	"'/SS+성폭행/NNG
연루'	연루/NNG+'/SS
알고도	알/VV+고도/EC
교사	교사/NNG
추천서	추천서/NNG
작성"	작성/NNG+"/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
김연숙	김연숙/NNP
기자	기자/NNG
=	=/SW
지적장애인	지적장애인/NNG
집단	집단/NNG
성폭행	성폭행/NNG
가담했던	가담하/VV+였/EP+던/ETM
학생이	학생/NNG+이/JKS
입학사정관제	입학사정관/NNG+제/XSN
리더십	리더십/NNG
전형으로	전형/NNG+으로/JKB
성균관대에	성균관대/NNP+에/JKB
입학할	입학하/VV+ㄹ/ETM
당시	당시/NNG
담임교사가	담임교사/NNG+가/JKS
이	이/MM
사실을	사실/NNG+을/JKO
알고도	알/VV+고도/EC
추천서를	추천서/NNG+를/JKO
써준	쓰/VV+어/EC+주/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다	드러나/VV+았/EP+다/EC

국회	국회/NNG
교육과학기술위원회	교육과학기술위원회/NNG
유기홍(민주통합당)	유기홍/NNP+(/SS+민주통합당/NNP+)/SS
의원은	의원/NNG+은/JX
24일	24/SN+일/NNB
교과부에	교과부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
결산감사에서	결산감사/NNG+에서/JKB
"문제	"/SS+문제/NNG
학생의	학생/NNG+의/JKG
담임교사가	담임교사/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
대전교육청	대전교육청/NNP
감사에서	감사/NNG+에서/JKB
'학생의	'/SS+학생/NNG+의/JKG
성폭행	성폭행/NNG
연루사실을	연루사실/NNG+을/JKO
알고도	알/VV+고도/EC
추천서를	추천서/NNG+를/JKO
작성했다'고	작성하/VV+였/EP+다/EF+'/SS+고/JKQ
진술했다"고	진술하/VV+였/EP+다/EF+"/SS+고/JKQ
밝혔다	밝히/VV+었/EP+다/EC

유	유/NNP
의원이	의원/NNG+이/JKS
제시한	제시하/VV+ㄴ/ETM
대전교육청	대전교육청/NNP
감사보고서에	감사보고서/NNG+에/JKB
따르면	따르/VV+면/EC
성폭행	성폭행/NNG
사건이	사건/NNG+이/JKS
발생한	발생하/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
당시	당시/NNG
2학년	2/SN+학년/NNG
담임교사는	담임교사/NNG+는/JX
학생부	학생부/NNG
종합의견에서	종합의견/NNG+에서/JKB
"누구도	"/SS+누구/NP+도/JX
잘	잘/MAG
어울리는	어울리/VV+는/ETM
밝고	밝/VA+고/EC
적극적인	적극적/NNG+이/VCP+ㄴ/ETM
성격으로	성격/NNG+으로/JKB
(중략)	(/SS+중략/NNG+)/SS
봉사심이	봉사심/NNG+이/JKS
강해	강하/VA+여/EC
주변에서	주변/NNG+에서/JKB
어려운	어렵/VA+ㄴ/ETM
사람이	사람/NNG+이/JKS
있을	있/VA+을/ETM
때는	때/NNG+는/JX
어떤	어떤/MM
방법으로든	방법/NNG+으로/JKB+든/JX
돕고자	돕/VV+고자/EC
하며	하/VX+며/EC
주말이나	주말/NNG+이나/JC
방학	방학/NNG
때는	때/NNG+는/JX
시설	시설/NNG
등에서	등/NNB+에서/JKB
궂은	궂/VA+은/ETM
일도	일/NNG+도/JX
마다하지	마다하/VV+지/EC
않고	않/VX+고/EC
봉사활동을	봉사활동/NNG+을/JKO
적극적으로	적극적/NNG+으로/JKB
펼쳤다"고	펼치/VV+었/EP+다/EF+"/SS+고/JKQ
적었다	적/VV+었/EP+다/EF

3학년	3/SN+학년/NNG
담임교사는	담임교사/NNG+는/JX
"3학년이라는	"/SS+3/SN+학년/NNG+이/VCP+라는/ETM
신분에도	신분/NNG+에/JKB+도/JX
그동안	그동안/NNG
지속해	지속하/VV+여/EC
온	오/VX+ㄴ/ETM
봉사활동을	봉사활동/NNG+을/JKO
지속해	지속하/VV+여/EC
일회성이	일회성/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
지속적인	지속적/NNG+이/VCP+ㄴ/ETM
봉사활동가로	봉사활동가/NNG+로/JKB
