'의족	'/SS+의족/NNG
등반'	등반/NNG+'/SS
MIT	MIT/SL
교수	교수/NNG
"인간	"/SS+인간/NNG
장애	장애/NNG
사라질	사라지/VV+ㄹ/ETM
것"(종합)	것/NNB+"(/SS+종합/NNG+)/SS

(서울=연합뉴스)	(/SS+서울/NNP+=/SW+연합뉴스/NNP+)/SS
김범수	김범수/NNP
기자	기자/NNG
=	=/SW
"기술	"/SS+기술/NNG
발전을	발전/NNG+을/JKO
통해	통하/VV+여/EC
21세기에는	21/SN+세기/NNG+에/JKB+는/JX
인간의	인간/NNG+의/JKG
장애가	장애/NNG+가/JKS
사라질	사라지/VV+ㄹ/ETM
것입니다	것/NNB+이/VCP+ㅂ니다/EC

"	"/SS

첨단	첨단/NNG
의족을	의족/NNG+을/JKO
달고	달/VV+고/EC
암벽을	암벽/NNG+을/JKO
등반한	등반하/VV+ㄴ/ETM
MIT	MIT/SL
미디어랩	미디어랩/NNG
바이오메카트로닉스(Biomechatronics)	바이오메카트로닉스/NNP+(/SS+Biomechatronics/SL+)/SS
연구팀의	연구팀/NNG+의/JKG
휴	휴/NNG
헤어	헤/VV+어/EC
교수가	교수/NNG+가/JKS
방한해	방한하/VV+여/EC
11일	11/SN+일/NNB
열린	열리/VV+ㄴ/ETM
'융·복합	'/SS+융/NNG+·/SP+복합/NNG
국제컨퍼런스	국제컨퍼런스/NNG
2012'에서	2012/SN+'/SS+에서/JKB
강연을	강연/NNG+을/JKO
했다	하/VV+였/EP+다/EC

헤어	헤/VV+어/EC
교수는	교수/NNG+는/JX
일산	일산/NNP
킨텍스	킨텍스/NNP
제	제/XPN
1전시장	1/SN+전시장/NNG
그랜드볼룸에서	그랜드볼룸/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
이날	이날/NNG
행사의	행사/NNG+의/JKG
기조	기조/NNG
강연에서	강연/NNG+에서/JKB
'신경-디지털	'/SS+신경/NNG+-/SO+디지털/NNG
인터페이스에	인터페이스/NNG+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
인체와	인체/NNG+와/JC
기계의	기계/NNG+의/JKG
융합'이라는	융합/NNG+'/SS+이/VCP+라는/ETM
새로운	새롭/VA+ㄴ/ETM
개념을	개념/NNG+을/JKO
제시해	제시하/VV+여/EC
주목을	주목/NNG+을/JKO
받았다	받/VV+았/EP+다/EC

그는	그/NP+는/JX
17살에	17/SN+살/NNB+에/JKB
뉴햄프셔	뉴햄프셔/NNP
워싱턴산	워싱턴/NNP+산/XSN
등정	등정/NNG
중	중/NNB
4일간	4/SN+일/NNB+간/XSN
조난해	조난해/NNG
두	두/MM
다리가	다리/NNG+가/JKS
무릎까지	무릎/NNG+까지/JX
절단되는	절단되/VV+는/ETM
사고를	사고/NNG+를/JKO
겪은	겪/VV+은/ETM
뒤	뒤/NNG
장애인용	장애인/NNG+용/XSN
의족	의족/NNG
개발을	개발/NNG+을/JKO
위해	위하/VV+여/EC
MIT에서	MIT/SL+에서/JKB
기계공학	기계공학/NNG
