화재	화재/NNG
참변	참변/NNG
故김주영씨	故/SL+김주영/NNP+씨/NNB
49재	49/SN+재/NNG
‘눈물바다’	‘/SN+눈물바/NNG+이/VCP+다/EF+’/SL

34세	34/SN+세/NNB
꽃다운	꽃답/VA+ㄴ/ETM
나이,	나이/NNG+,/SP
화재로	화재/NNG+로/JKB
생을	생/NNG+을/JKO
마감한	마감하/VV+ㄴ/ETM
故김주영	故/SL+김주영/NNP
활동가의	활동가/NNG+의/JKG
49재가	49/SN+재/NNG+가/JKC
13일	13/SN+일/NNB
오후	오후/NNG
5시	5/SN+시/NNB
서울	서울/NNP
광화문역	광화문역/NNP
농성장에서	농성/NNG+장/XSN+에서/JKB
열렸다	열리/VV+었/EP+다/EC

故김주영	故/SL+김주영/NNP
활동가는	활동가/NNG+는/JX
지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
26일	26/SN+일/NNB
새벽	새벽/NNG
홀로	홀로/MAG
자택에서	자택/NNG+에서/JKB
잠을	잠/NNG+을/JKO
자던	자/VV+던/ETM
중	중/NNB
화재가	화재/NNG+가/JKS
발생,	발생/NNG+,/SP
119에	119/SN+에/JKB
신고했지만	신고하/VV+였/EP+지만/EC
소방차가	소방차/NNG+가/JKS
도착하는	도착하/VV+는/ETM
동안	동안/NNG
버티지	버티/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
몸의	몸/NNG+의/JKG
일부였던	일부/NNG+이/VCP+었/EP+던/ETM
전동휠체어와	전동휠체어/NNG+와/JKB
함께	함께/MAG
화마속에서	화마속/NNG+에서/JKB
숨을	숨/NNG+을/JKO
거두었다	거두/VV+었/EP+다/EC

현재	현재/MAG
故김	故/SN+김/NNP
활동가의	활동가/NNG+의/JKG
사고를	사고/NNG+를/JKO
계기로	계기/NNG+로/JKB
중증장애인	중증장애인/NNG
활동보조	활동보조/NNG
24시간	24/SN+시간/NNB
보장을	보장/NNG+을/JKO
촉구하는	촉구하/VV+는/ETM
목소리가	목소리/NNG+가/JKS
높아지고	높아지/VV+고/EC
있는	있/VX+는/ETM
상황이다	상황/NNG+이/VCP+다/EC

이날	이날/NNG
광화문	광화문/NNP
농성장에는	농성장/NNG+에/JKB+는/JX
40여명의	40/SN+여/XSN+명/NNB+의/JKG
활동가들이	활동가/NNG+들/XSN+이/JKS
참석해	참석하/VV+여/EC
활동보조인의	활동보조인/NNG+의/JKG
부재로	부재/NNG+로/JKB
허망하게	허망하/VA+게/EC
떠난	떠나/VV+ㄴ/ETM
故김	故/SN+김/NNP
활동가의	활동가/NNG+의/JKG
생을	생/NNG+을/JKO
안타까워하며	안타까워하/VV+며/EC
눈물바다가	눈물바다/NNG+가/JKC
됐다	되/VV+었/EP+다/EC

성동장애인자립생활센터	성동/NNP+장애인자립생활센터/NNG
최진영	최진영/NNP
소장은	소장/NNG+은/JX
故김주영	故/SL+김주영/NNP
활동가와의	활동가/NNG+와/JKB+의/JKG
추억이	추억/NNG+이/JKS
떠오르는지	떠오르/VV+는지/EC
유독	유독/MAG
슬퍼하며	슬퍼하/VV+며/EC
눈물을	눈물/NNG+을/JKO
흘렸다	흘리/VV+었/EP+다/EF

특히	특히/MAG
1년여간	1/SN+년/NNB+여간/XSN
함께	함께/MAG
활동	활동/NNG
해온	하/VV+여/EC+오/VX+ㄴ/ETM
성동장애인자립생활센터	성동장애인자립생활센터/NNG
최진영	최진영/NNP
소장은	소장/NNG+은/JX
유독	유독/MAG
슬퍼하며,	슬퍼하/VV+며/EC+,/SP
그녀의	그녀/NP+의/JKG
넋을	넋/NNG+을/JKO
위로했다	위로하/VV+였/EP+다/EC

최진영	최진영/NNP
소장은	소장/NNG+은/JX
“주영이가	“/SL+주영이/NNP+가/JKS
이	이/MM
세상에	세상/NNG+에/JKB
없다는	없/VA+다는/ETM
게	것/NNB+이/JKS
실감나지	실감/NNG+나/VV+지/EC
않는다	않/VX+는다/EF

주영이는	주영이/NNP+는/JX
단지	단지/MAG
돈이	돈/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
움직이지	움직이/VV+지/EC
못해	못하/VX+여/EC
생을	생/NNG+을/JKO
마감했다”면서	마감하/VV+였/EP+다/EC+”/VX+면서/EC
“올해	“/SL+올해/NNG
활동보조	활동보조/NNG
예산이	예산/NNG+이/JKS
800억원이	800/SN+억/NR+원/NNB+이/JKS
불용됐다고	불용되/VV+었/EP+다고/EC
하는데,	하/VV+는데/EC+,/SP
그	그/MM
돈이	돈/NNG+이/JKS
주영이한테	주영이/NNP+한테/JKB
제대로	제대로/MAG
활동보조를	활동보조/NNG+를/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
해주었다면	하/VV+여/EC+주/VX+었/EP+다면/EC
허망하게	허망하/VA+게/EC
가지	가/VV+지/EC
않았을	않/VX+았/EP+을/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
토로했다	토로하/VV+였/EP+다/EF

최	최/NNP
소장은	소장/NNG+은/JX
“지금	“/SL+지금/MAG
활동지원제도는	활동지원제도/NNG+는/JX
장애인을	장애인/NNG+을/JKO
죽음으로	죽음/NNG+으로/JKB
내모는	내몰/VV+는/ETM
제도일	제도/NNG+이/VCP+ㄹ/ETM
뿐”이라면서	뿐/NNB+”/SL+이/VCP+라면서/EC
“빠른	“/SL+빠르/VA+ㄴ/ETM
시일	시일/NNG
내	내/NNB
활동보조	활동보조/NNG
24시간	24/SN+시간/NNB
보장	보장/NNG
받을	받/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
함께	함께/MAG
투쟁해나가자”고	투쟁하/VV+여/EC+나가/VX+자/EC+”/SN+고/EC
목소리	목소리/NNG
높였다	높/VA+었/EP+다/EF

한국뇌병변장애인인권협회	한국/NNP+뇌병변장애인인권협회/NNG
박홍구	박홍구/NNP
서울지부장은	서울/NNP+지부장/NNG+은/JX
“그녀는	“/SN+그녀/NNG+는/JX
하루	하루/NNG
24시간,	24/SN+시간/NNB+,/SP
그	그/MM
이상의	이상/NNG+의/JKG
활동보조가	활동보조/NNG+가/JKS
필요했지만	필요하/VA+었/EP+지만/EC
현재	현재/MAG
최중증장애인도	최중증장애인/NNG+도/JX
하루	하루/NNG
최대	최대/NNG
12시간의	12/SN+시간/NNB+의/JKG
활동보조만	활동보조/NNG+만/JX
받을	받/VV+을/ETM
수	수/NNB
밖에	밖에/JX
없다”면서	없/VA+다/EC+”/VX+면서/EC
“혼자서	“혼자/NNG+서/JKS
아무것도	아무것/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
최중증장애인에게	최/XPN+중증장애인/NNG+에게/JKB
하루	하루/NNG
12시간의	12/SN+시간/NNB+의/JKG
활동보조만	활동보조/NNG+만/JX
받게	받/VV+게/EC
하고,	하/VX+고/EC+,/SP
남은	남/NNG+은/JX
12시간은	12/SN+시간/NNB+은/JX
혼자	혼자/NNG
무방비	무방비/NNG
상태인데	상태/NNG+이/VCP+ㄴ데/EC
‘너	‘/SL+너/JKS
스스로	스스로/MAG
알아서	알/VV+아서/EC
죽던지	죽/VV+던지/EC
말던지	말/VX+던지/EC
하라’는	하/VV+라/EC+’/SL+는/JX
의미밖에	의미/NNG+밖에/JX
안	안/MAG
된다”고	되/VV+ㄴ다”고/EC
지적했다	지적하/VV+였/EP+다/EF

박홍구	박홍구/NNP
서울지부장은	서울/NNP+지부장/NNG+은/JX
“김주영	“/SL+김주영/NNP
동지는	동지/NNG+는/JX
힘들게	힘들/VA+게/EC
119에	119/SN+에/JKB
신고했지만	신고하/VV+였/EP+지만/EC
119가	119/SN+가/JKS
와서	오/VV+아서/EC
구조하기	구조하/VV+기/ETN
전	전/NNG
이미	이미/MAG
연기에	연기/NNG+에/JKB
질식해	질식하/VV+여/EC
안타깝게	안타깝/VA+게/EC
생을	생/NNG+을/JKO
마감했다	마감하/VV+였/EP+다/EC

혼자	혼자/NNG
기어	기/VV+어어/EC
나올	나오/VV+ㄹ/ETM
수만	수/NNB+만/JX
있었어도	있/VA+었/EP+어도/EC
그녀는	그녀/NP+는/JX
그렇게	그렇/VA+게/EC
가지	가/VV+지/EC
않았을	않/VX+았/EP+을/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
“김주영	“/SL+김주영/NNP
하면	하/VV+면/EC
‘활동보조	‘/SN+활동보조/NNG
24시간	24/SN+시간/NNB
보장’	보장/NNG+’/SN
이라는	이/NNB+이/VCP+라는/ETM
말이	말/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사람이	사람/NNG+이/JKC
됐다	되/VV+었/EP+다/EC

그녀의	그녀/NP+의/JKG
죽음이	죽음/NNG+이/JKS
헛되지	헛되/VA+지/EC
않도록	않/VX+도록/EC
활동보조	활동보조/NNG
24시간	24/SN+시간/NNB
쟁취하자”고	쟁취하/VV+자/EC+”/SL+고/EC
의지를	의지/NNG+를/JKO
다졌다	다지/VV+었/EP+다/EF

광진장애인자립생활센터	광진/NNP+장애인자립생활센터/NNG
박경미	박경미/NNP
활동가가	활동가/NNG+가/JKS
故김주영	故/SL+김주영/NNP
활동가를	활동가/NNG+를/JKO
추모하며	추모하/VV+며/EC
눈물을	눈물/NNG+을/JKO
흘리고	흘리/VV+고/EC
있다	있/VX+다/EC

광화문역	광화문역/NNP
농성장에서	농성/NNG+장/XSN+에서/JKB
열린	열리/VV+ㄴ/ETM
故김주영	故/SL+김주영/NNP
활동가의	활동가/NNG+의/JKG
49재에	49/SN+재/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
많은	많/VA+은/ETM
장애인과	장애인/NNG+과/JC
활동가들이	활동가/NNG+들/XSN+이/JKS
'활동보조	'/SS+활동보조/NNG
24시간	24/SN+시간/NNB
보장'을	보장/NNG+'/SS+을/JKO
외치고	외치/VV+고/EC
있다	있/VX+다/EC

故김주영	故/SL+김주영/NNP
활동가의	활동가/NNG+의/JKG
영상을	영상/NNG+을/JKO
보며	보/VV+며/EC
뜨거운	뜨겁/VA+ㄴ/ETM
눈물을	눈물/NNG+을/JKO
흘리는	흘리/VV+는/ETM
활동가	활동가/NNG

故김주영	故/SL+김주영/NNP
활동가의	활동가/NNG+의/JKG
49재에	49/SN+재/NNG+에/JKB
참석한	참석하/VV+ㄴ/ETM
장애인이	장애인/NNG+이/JKS
그녀의	그녀/NP+의/JKG
넋을	넋/NNG+을/JKO
기리며,	기리/VV+며/EC+,/SP
분향하고	분향하/VV+고/EC
있다	있/VX+다/EC

헌화	헌화/NNG
및	및/MAG
분향을	분향/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
보이는	보이/VV+는/ETM
故김주영	故/SL+김주영/NNP
활동가의	활동가/NNG+의/JKG
생전	생전/NNG
밝게	밝/VA+게/EC
웃고	웃/VV+고/EC
있는	있/VX+는/ETM
영정	영정/NNG
사진이	사진/NNG+이/JKS
보인다	보일/VV+ㄴ다/EF
