화마속	화마속/NNG
오누이	오누이/NNG
정…장애남동생도	정/NNG+…/SE+장애남동/NNP+생/XSN+도/JX
누나	누나/NNG
곁으로	곁/NNG+으로/JKB

(고양=연합뉴스)	(/SS+고양/NNG+=/SW+연합뉴스/NNP+)/SS
우영식	우영식/NNP
기자	기자/NNG
=	=/SW
화마	화마/NNG
속에	속/NNG+에/JKB
애틋한	애틋하/VA+ㄴ/ETM
오누이	오누이/NNG
정을	정/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
먼저	먼저/MAG
하늘나라로	하늘나라/NNG+로/JKB
떠난	떠나/VV+ㄴ/ETM
누나	누나/NNG
박모(13)양에	박/NNP+모/NP+(/SS+13/SN+)/SS+양/NNB+에/JKB
이어	잇/VV+어/EC
남동생	남동생/NNG
박모(11)군도	박/NNP+모/NP+(/SS+11/SN+)/SS+군도/NNG
13일	13/SN+일/NNB
끝내	끝내/MAG
숨졌다	숨지/VV+었/EP+다/EF

화재	화재/NNG
발생	발생/NNG
45일	45/SN+일/NNB
만이다	만/NNB+이/VCP+다/EC

일산백병원은	일산백병원/NNP+은/JX
이날	이날/NNG
오전	오전/NNG
9시34분께	9/SN+시/NNB+34/SN+분/NNB+께/JKB
병원	병원/NNG
중환자실에서	중환자실/NNG+에서/JKB
치료를	치료/NNG+를/JKO
받던	받/VV+던/ETM
박군이	박군/NNG+이/JKS
숨을	숨/NNG+을/JKO
거뒀다고	거두/VV+었/EP+다고/EC
밝혔다	밝히/VV+었/EP+다/EC

이들	이/NP+들/XSN
남매는	남매/NNG+는/JX
지난	지나/VV+ㄴ/ETM
10월29일	10/SN+월/NNB+29/SN+일/NNB
오후	오후/NNG
6시5분께	6/SN+시/NNB+5/SN+분/NNB+께/JKB
경기도	경기도/NNP
파주시	파주시/NNP
금촌동	금촌동/NNP
아파트	아파트/NNG
화재	화재/NNG
때	때/NNG
미처	미처/MAG
빠져나오지	빠져나오/VV+지/EC
못하고	못하/VX+고/EC
의식을	의식/NNG+을/JKO
잃은	잃/VV+은/ETM
채	채/NNB
발견돼	발견되/VV+어/EC
병원으로	병원/NNG+으로/JKB
옮겨졌다	옮기/VV+어/EC+지/VX+었/EP+다/EF

당시	당시/NNG
누나	누나/NNG
박양은	박/NNP+양/NNB+은/JX
뇌병변장애	뇌병변장애/NNG
1급인	1/SN+급/NNG+이/VCP+ㄴ/ETM
동생을	동생/NNG+을/JKO
보호하려다가	보호하/VV+려다가/EC
변을	변/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정돼	추정되/VV+어/EC
감동을	감동/NNG+을/JKO
줬다	주/VV+었/EP+다/EC

특히	특히/MAG
박양은	박/NNP+양/NNB+은/JX
어려운	어렵/VA+ㄴ/ETM
형편에	형편/NNG+에/JKB
일을	일/NNG+을/JKO
나가는	나가/VV+는/ETM
부모를	부모/NNG+를/JKO
대신해	대신하/VV+여/EC
동생을	동생/NNG+을/JKO
돌봐온	돌보/VV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
주변에서	주변/NNG+에서/JKB
온정의	온정/NNG+의/JKG
손길을	손길/NNG+을/JKO
보내며	보내/VV+며/EC
남매가	남매/NNG+가/JKS
건강을	건강/NNG+을/JKO
회복하길	회복하/VV+기/ETN+ㄹ/JKO
바랐다	바라/VV+았/EP+다/EF

그러나	그러나/MAJ
누나	누나/NNG
박양이	박/NNP+양/NNB+이/JKS
화재	화재/NNG
9일	9/SN+일/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
지난달	지난달/NNG
7일	7/SN+일/NNB
숨진	숨지/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
동생도	동생/NNG+도/JX
끝내	끝내/MAG
의식을	의식/NNG+을/JKO
회복하지	회복하/VV+지/EC
못하고	못하/VX+고/EC
누나	누나/NNG
곁으로	곁/NNG+으로/JKB
떠나	떠나/VV+아/EC
주변의	주변/NNG+의/JKG
안타까움을	안타깝/VA+ㅁ/ETN+을/JKO
더했다	더하/VV+였/EP+다/EF

박군의	박/NNP+군/NNB+의/JKG
빈소는	빈소/NNG+는/JX
일산백병원	일산백병원/NNP
장례식장에	장례식장/NNG+에/JKB
마련될	마련되/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

wyshik@yna	wyshik/SL+@/SW+yna/SL

co	co/SL

kr<저	kr/SL+</SS+저/MM
작	작/NNG
권	권/NNP
자(c)연	자/NP+(/SS+c/SL+)/SS+연/NNG
합	합/NNG
뉴	뉴/NNG
스	스/NNG

무	무/NNG
단	단/MM
전	전/NNG
재-재	재/NNG+-/SO+재/NNG
배	배/NNG
포	포/NNG
금	금/VV
지	짓/VV

>	>/SS
