시각장애인	시각장애인/NNG
요가	요가/NNG
배우러	배우/VV+러/EC
갔더니	가/VV+았/EP+더니/EC
‘거부’	‘/SN+거부/NNG+’/SN

김지선(가명·27세·시각	김지선/NNP+(/SS+가명/NNG+·/SP+27/SN+세/NNB+·/SP+시각/NNG
1급)씨는	1/SN+급/NNG+)/SS+씨/NNB+는/JX
10월	10/SN+월/NNB
중순	중순/NNG
서울시	서울시/NNP
강남구의	강남구/NNP+의/JKG
위탁을	위탁/NNG+을/JKO
받아	받/VV+아/EC
강남구도시관리공단(이하	강남/NNP+구도시관리공단/NNG+(/SS+이하/NNG
공단)이	공단/NNG+)/SS+이/JKS
운영하는	운영하/VV+는/ETM
ㅇㅇ스포츠문화센터에서	ㅇㅇ/SL+스포츠문화센터/NNG+에서/JKB
요가를	요가/NNG+를/JKO
배우고	배우/VV+고/EC
싶어	싶/VX+어/EC
방문했으나	방문하/VV+었/EP+으나/EC
발길을	발길/NNG+을/JKO
돌려야만	돌리/VV+어야/EC+만/JX
했다	하/VX+였/EP+다/EF

김씨가	김/NNP+씨/NNB+가/JKS
센터	센터/NNG
측에	측/NNB+에/JKB
요가를	요가/NNG+를/JKO
배울시	배울시/NNG
보조	보조/NNG
인력을	인력/NNG+을/JKO
제공해	제공하/VV+여/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요청했으나	요청하/VV+였/EP+으나/EC
센터	센터/NNG
측이	측/NNB+이/JKS
보조	보조/NNG
인력을	인력/NNG+을/JKO
제공할	제공하/VV+ㄹ/ETM
수	수/NNB
없다며	없/VA+다며/EC
프로그램	프로그램/NNG
참여를	참여/NNG+를/JKO
거부했기	거부하/VV+였/EP+기/ETN
때문이다	때문/NNB+이/VCP+다/EC

여기에	여기/NP+에/JKB
센터는	센터/NNG+는/JX
자체	자체/NNG
지원이	지원/NNG+이/JKS
어려우니	어렵/VA+으니/EC
강사에게	강사/NNG+에게/JKB
직접	직접/MAG
문의해	문의하/VV+여/EC
보라는	보/VX+라는/ETM
입장을	입장/NNG+을/JKO
보였지만	보이/VV+었/EP+지만/EC
강사가	강사/NNG+가/JKS
출근하지	출근하/VV+지/EC
않아	않/VX+아/EC
만날	만나/VV+ㄹ/ETM
수	수/NNB
없었다	없/VA+었/EP+다/EF

김씨는	김/NNP+씨/NNB+는/JX
며칠	며칠/NNG
후	후/NNG
센터	센터/NNG
측에	측/NNB+에/JKB
전화를	전화/NNG+를/JKO
걸어	걷/VV+어/EC
보조	보조/NNG
인력을	인력/NNG+을/JKO
배치해	배치하/VV+여/EC
줄	주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요청했으나,	요청하/VV+었/EP+으나/EC+,/SP
센터	센터/NNG
측은	측/NNB+은/JX
체육시설	체육시설/NNG
이용을	이용/NNG+을/JKO
결국	결국/NNG
거절했다	거절하/VV+었/EP+다/EC

‘센터는	‘/SN+센터/NNG+는/JX
일반인들을	일반인/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
운영하는	운영하/VV+는/ETM
곳으로	곳/NNG+으로/JKB
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
지원은	지원/NNG+은/JX
할	하/VV+ㄹ/ETM
수	수/NNB
없다	없/VA+다/EC

관련	관련/NNG
전문기관을	전문기관/NNG+을/JKO
찾아가라’는	찾아가/VV+라/EC+’/SL+는/JX
답변만	답변/NNG+만/JX
돌아왔다	돌아오/VV+았/EP+다/EC

김씨	김/NNP+씨/NNB
확인	확인/NNG
결과	결과/NNG
센터는	센터/NNG+는/JX
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
프로그램을	프로그램/NNG+을/JKO
전혀	전혀/MAG
마련하고	마련하/VV+고/EC
있지	있/VX+지/EC
않았으며,	않/VX+았/EP+으며/EC+,/SP
장애인이	장애인/NNG+이/JKS
각종	각종/NNG
프로그램에	프로그램/NNG+에/JKB
참여할	참여하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
필요한	필요하/VA+ㄴ/ETM
조치도	조치/NNG+도/JX
전혀	전혀/MAG
강구하지	강구하/VV+지/EC
않고	않/VX+고/EC
있었다	있/VX+었/EP+다/EF

또한	또한/MAG
센터는	센터/NNG+는/JX
체육	체육/NNG
프로그램에	프로그램/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
제공하는	제공하/VV+는/ETM
웹사이트는	웹사이트/NNG+는/JX
음성변환	음성변환/NNG
등이	등/NNB+이/JKS
전혀	전혀/MAG
이뤄지지	이루어지/VV+지/EC
않아	않/VX+아/EC
시각장애인의	시각장애인/NNG+의/JKG
웹	웹/NNG
접근권이	접근권/NNG+이/JKS
보장되지	보장되/VV+지/EC
않았다	않/VX+았/EP+다/EF

이에	이/NP+에/JKB
김씨(소송대리	김/NNP+씨/NNB+(/SS+소송대리/NNG
법무법인	법무법인/NNG
지평지성)는	지평지성/NNP+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
29일	29/SN+일/NNB
센터를	센터/NNG+를/JKO
위탁운영하는	위탁/NNG+운영하/VV+는/ETM
공단을	공단/NNG+을/JKO
상대로	상대/NNG+로/JKB
서울중앙지방법원에	서울중앙/NNP+지방법원/NNG+에/JKB
체육시설	체육시설/NNG
차별구제	차별구제/NNG
청구소송을	청구소송/NNG+을/JKO
제기했다	제기하/VV+였/EP+다/EC

이는	이/NP+는/JX
헌법에	헌법/NNG+에/JKB
명시된	명시되/VV+ㄴ/ETM
행복	행복/NNG
추구	추구/NNG
권리,	권리/NNG+,/SP
인간다운	인간/NNG+답/XSA+ㄴ/ETM
생활을	생활/NNG+을/JKO
누릴	누리/VV+ㄹ/ETM
권리,	권리/NNG+,/SP
장애인차별금지법에	장애인차별금지법/NNG+에/JKB
명시된	명시되/VV+ㄴ/ETM
장애인에	장애인/NNG+에/JKB
정당한	정당하/VA+ㄴ/ETM
편의	편/NNB+의/JKG
제공을	제공/NNG+을/JKO
거부하는	거부하/VV+는/ETM
등	등/NNB
법에	법/NNG+에/JKB
위배	위배/NNG
된다는	되/VV+ㄴ다는/ETM
것	것/NNB

법무법인	법무법인/NNG
지평지성은	지평지성/NNG+은/JX
소장을	소장/NNG+을/JKO
통해	통하/VV+여/EC
“센터의	“/SL+센터/NNG+의/JKG
답변은	답변/NNG+은/JX
장애를	장애/NNG+를/JKO
이유로	이유/NNG+로/JKB
장애인을	장애인/NNG+을/JKO
제한·배제·분리·거부한	제한/NNG+·/SP+배제/NNG+·/SP+분리/NNG+·/SP+거부하/VA+ㄴ/ETM
것”이며	것/NNB+”/SL+이/VCP+며/EC
“나아가	“나아/NNG+가/JKS
장차법의	장차법/NNG+의/JKG
장애인이	장애인/NNG+이/JKS
참여할	참여하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
체육활동	체육활동/NNG
프로그램	프로그램/NNG
운영을	운영/NNG+을/JKO
제공할	제공하/VV+ㄹ/ETM
의무를	의무/NNG+를/JKO
위반한	위반하/VV+ㄴ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
강조했다	강조하/VV+였/EP+다/EC

이어	이어/MAG
“프로그램	“/SN+프로그램/NNG
정보를	정보/NNG+를/JKO
제공하는	제공하/VV+는/ETM
웹사이트는	웹사이트/NNG+는/JX
음성변환	음성변환/NNG
등이	등/NNB+이/JKS
전혀	전혀/MAG
이뤄지지	이루어지/VV+지/EC
않아	않/VX+아/EC
시각장애인의	시각장애인/NNG+의/JKG
접근권이	접근권/NNG+이/JKS
보장되지	보장되/VV+지/EC
않고	않/VX+고/EC
있다”며	있/VX+다/EC+”/VV+며/EC
“이는	“/SW+이/VCP+는/ETM
장애인을	장애인/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
체육활동	체육활동/NNG
정보제공	정보제공/NNG
의무를	의무/NNG+를/JKO
위반한	위반하/VV+ㄴ/ETM
것”이라고	것/NNB+”/SL+이/VCP+라고/EC
덧붙였다	덧붙이/VV+었/EP+다/EF

특히	특히/MAG
