“장애인	“/SL+장애인/NNG
배우자가	배우자/NNG+가/JKS
전하는	전하/VV+는/ETM
진솔한	진솔하/VA+ㄴ/ETM
삶의	삶/NNG+의/JKG
이야기”	이야기”/NNG

#남편이	#/SW+남편/NNG+이/JKS
지체장애	지체장애/NNG
1급인	1/SN+급/NNG+이/VCP+ㄴ/ETM
권순남씨(72세)	권순남/NNP+씨/NNB+(/SS+72/SN+세/NNB+)/SS

지난	지나/VV+ㄴ/ETM
2001년	2001/SN+년/NNB
갑작스런	갑작스럽/VA+ㄴ/ETM
불의의	불의/NNG+의/JKG
사고로	사고/NNG+로/JKB
하반신이	하반신/NNG+이/JKS
마비된	마비되/VV+ㄴ/ETM
남편을	남편/NNG+을/JKO
혼자	혼자/NNG
돌보며	돌보/VV+며/EC
10남매를	10/SN+남매/NNG+를/JKO
키워냈다	키우/VV+어/EC+내/VX+었/EP+다/EF

순탄치	순탄하/VA+지/EC
않은	않/VX+은/ETM
결혼생활을	결혼생활/NNG+을/JKO
원망한	원망하/VV+ㄴ/ETM
적도	적/NNB+도/JX
있지만	있/VA+지만/EC
40년을	40/SN+년/NNB+을/JKO
함께한	함께하/VV+ㄴ/ETM
남편과	남편/NNG+과/JKB
서로	서로/MAG
의지하며	의지하/VV+며/EC
살아가는	살아가/VV+는/ETM
지금	지금/NNG
이	이/MM
순간이	순간/NNG+이/JKS
가장	가장/MAG
행복하다고	행복하/VA+다고/EC
말한다	말하/VV+ㄴ다/EF

사단법인	사단법인/NNG
한국지체장애인협회(중앙회장	한국/NNP+지체장애인협회/NNG+(/SS+중앙회장/NNG
김정록,	김정록/NNP+,/SP
이하	이하/NNG
지장협)는	지장협/NNP+)/SS+는/JX
중증장애인과	중증장애인/NNG+과/JC
그	그/MM
옆을	옆/NNG+을/JKO
묵묵히	묵묵히/MAG
지키며	지키/VV+며/EC
사랑을	사랑/NNG+을/JKO
키워오고	키우/VV+어/EC+오/VX+고/EC
있는	있/VX+는/ETM
배우자의	배우자/NNG+의/JKG
노고를	노고/NNG+를/JKO
격려하기	격려하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
‘2012	‘/SL+2012/SN
전국중증장애인배우자초청대회’를	전국중증장애인배우자초청대회/NNG+’/SL+를/JKO
오는	오/VV+는/ETM
22일부터	22/SN+일/NNB+부터/JX
23일까지	23/SN+일/NNB+까지/JX
서울	서울/NNP
올림픽파크텔에서	올림픽파크텔/NNP+에서/JKB
개최한다	개최하/VV+ㄴ다/EF

첫째	첫째/NR
날에는	날/NNG+에/JKB+는/JX
‘장한	‘장하/VA+ㄴ/ETM
배우자상’,	배우자상’/NNG+,/SP
‘아름다운	‘/SL+아름/NNG+답/XSA+ㄴ/ETM
배우자상’	배우자상/NNG+’/SN
등	등/NNB
모범	모범/NNG
장애인	장애인/NNG
배우자에	배우자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
표창과	표창/NNG+과/JKB
함께	함께/MAG
이들의	이/NP+들/XSN+의/JKG
삶의	삶/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
담은	담/VV+은/ETM
수기가	수기/NNG+가/JKS
발표된다	발표되/VV+ㄴ다/EF

또한	또한/MAG
방귀희	방귀희/NNP
대통령	대통령/NNG
문화특별보좌관의	문화특별보좌관/NNG+의/JKG
‘도전,	‘/SL+도전/NNG+,/SP
그	그/MM
아름다운	아름답/VA+ㄴ/ETM
시작’을	시작’/NNG+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
강연과	강연/NNG+과/JC
연예인	연예인/NNG
축하공연이	축하공연/NNG+이/JKS
이어진다	이어지/VV+ㄴ다/EF

둘째	둘째/NR
날에는	날/NNG+에/JKB+는/JX
문화탐방	문화탐방/NNG
프로그램이	프로그램/NNG+이/JKS
운영돼	운영되/VV+어/EC
평소	평소/NNG
나들이	나들이/NNG
기회가	기회/NNG+가/JKS
적은	적/VA+은/ETM
중증장애인부부에게	중증장애인부부/NNG+에게/JKB
문화체험의	문화체험/NNG+의/JKG
기회를	기회/NNG+를/JKO
제공한다	제공하/VV+ㄴ다/EF

지장협은	지장협/NNP+은/JX
“이번	“/SL+이번/NNG
대회가	대회/NNG+가/JKS
중증장애인	중증장애인/NNG
가정에	가정/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사회적	사회적/NNG
관심	관심/NNG
제고와	제고/NNG+와/JC
복지시책	복지시책/NNG
개발	개발/NNG
촉구를	촉구/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
기회의	기회/NNG+의/JKG
장이	장/NNG+이/JKC
되길	되/VV+기/ETN+ㄹ/JKO
바란다”고	바란다”/VV+고/EC
밝혔다	밝히/VV+었/EP+다/EC

한편	한편/MAG
이번	이번/NNG
대회는	대회/NNG+는/JX
보건복지부,	보건복지부/NNG+,/SP
행정안전부,	행정안전부/NNG+,/SP
여성가족부,	여성가족부/NNG+,/SP
KBS가	KBS/SL+가/JKS
후원한다	후원하/VV+ㄴ다/EF
