장애인인권리옹호제도화	장애인인권리옹호제도화/NNG
움직임	움직임/NNG
‘꿈틀’	‘/SN+꿈틀/NNG+’/SN

'장애인권리옹호제도화'를	'/SS+장애인권리옹호제도화/NNG+'/SS+를/JKO
위한	위하/VV+ㄴ/ETM
움직임이	움직임/NNG+이/JKS
일고	일/VV+고/EC
있어	있/VX+어/EC
주목된다	주목되/VV+ㄴ다/EF

공익변호사그룹	공익변호사그룹/NNG
공감,	공감/NNG+,/SP
장애와인권발바닥행동,	장애와인권발바닥행동/NNP+,/SP
장애우권익문제연구소,	장애우권익문제연구소/NNG+,/SP
장애인차별금지추진연대(이하	장애인차별금지추진연대/NNG+(/SS+이하/NNG
장추련),	장추련/NNP+)/SS+,/SP
탈시설정책위원가	탈시설정책위원/NNG+가/JKS
연대	연대/NNG
운동을	운동/NNG+을/JKO
제안하고	제안하/VV+고/EC
나선	나서/VV+ㄴ/ETM
것	것/NNB

이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
그동안	그동안/NNG
제도적인	제도적/NNG+이/VCP+ㄴ/ETM
한계에도	한계/NNG+에/JKB+도/JX
불구하고,	불구하/VV+고/EC+,/SP
민간차원에서	민간차원/NNG+에서/JKB
장애인	장애인/NNG
권리옹호	권리옹호/NNP
활동을	활동/NNG+을/JKO
전개해	전개하/VV+여/EC
왔다	오/VX+았/EP+다/EF

또한	또한/MAG
미국의	미국/NNP+의/JKG
장애인권리옹호제도인	장애인권리옹호제도/NNP+이/VCP+ㄴ/ETM
P&A제도를	P/SL+&/SW+A/SL+제도/NNG+를/JKO
소개하고,	소개하/VV+고/EC+,/SP
지자체의	지자체/NNG+의/JKG
장애인권리옹호	장애인권리옹호/NNG
조례	조례/NNG
제정	제정/NNG
운동을	운동/NNG+을/JKO
지원하기도	지원하/VV+기/ETN+도/JX
했다	하/VX+였/EP+다/EF

장추련은	장추련/NNP+은/JX
“장애인차별금지법에	“/SN+장애인차별금지법/NNG+에/JKB
따라	따르/VV+아/EC
국가인권위원회	국가인권위원회/NNG
장애차별심의위원회,	장애차별심의위원회/NNG+,/SP
장애차별조사과	장애차별조사과/NNG
등이	등/NNB+이/JKS
설치됐지만	설치되/VV+었/EP+지만/EC
전국	전국/NNG
곳곳에서	곳곳/NNG+에서/JKB
벌어지는	벌어지/VV+는/ETM
심각한	심각하/VA+ㄴ/ETM
장애차별에	장애차별/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신속한	신속하/VA+ㄴ/ETM
대응과	대응/NNG+과/JC
접근,	접근/NNG+,/SP
피해자에	피해자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보호와	보호/NNG+와/JC
옹호가	옹호/NNG+가/JKS
필요할	필요하/VA+ㄹ/ETM
때	때/NNG
제공되지	제공되/VV+지/EC
못하는	못하/VX+는/ETM
상황”이라고	상황/NNG+”/SN+이/VCP+라고/EC
설명한	설명하/VV+ㄴ/ETM
뒤	뒤/NNG
“연대운동을	“/SN+연대운동/NNG+을/JKO
통해	통하/VV+여/EC
장애인권리옹호제도화를	장애인권리옹호제도화/NNG+를/JKO
추진하려는	추진하/VV+려는/ETM
것”이라며	것/NNB+”/SL+이/VCP+라며/EC
동참을	동참/NNG+을/JKO
당부했다	당부하/VV+였/EP+다/EC

연대	연대/NNG
운동에	운동/NNG+에/JKB
참여할	참여하/VV+ㄹ/ETM
뜻이	뜻/NNG+이/JKS
있는	있/VA+는/ETM
단체는	단체/NNG+는/JX
참가신청서를	참가신청서/NNG+를/JKO
작성해	작성하/VV+여/EC
이메일(ddask420@hanmail	이메일/NNG+(/SS+ddask/SL+420/SN+@/SW+hanmail/SL

net)	net/SL+)/SS
또는	또는/MAG
팩스(02-6008-5115)로	팩스/NNG+(/SS+02/SN+-/SO+6008/SN+-/SO+5115/SN+)/SS+로/JKB
접수하면	접수하/VV+면/EC
된다	되/VV+ㄴ다/EF

한편	한편/MAG
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
오는	오/VV+는/ETM
23일	23/SN+일/NNB
오후	오후/NNG
4시	4/SN+시/NNB
서울	서울/NNP
여의도	여의도/NNP
이룸센터에서	이룸센터/NNG+에서/JKB
‘장애인권리옹호	‘/SN+장애인권리옹호/NNG
제도화를	제도화/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
간담회’를	간담회’/NNG+를/JKO
열	열/VV+ㄹ/ETM
예정이다	예정/NNG+이/VCP+다/EC

간담회에서는	간담회/NNG+에서/JKB+는/JX
탈시설정책위원회	탈시설정책위원회/NNG
박숙경	박숙경/NNP
사무국장이	사무국/NNG+장/XSN+이/JKS
‘장애인권리운동	‘/SN+장애인권리운동/NNG
제도화	제도화/NNG
연대	연대/NNG
운동의	운동/NNG+의/JKG
필요성’에	필요성’/NNG+에/JKB
대해	대하/VV+여/EC
발제하고,	발제하/VV+고/EC+,/SP
향후	향후/NNG
방향에	방향/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
논의가	논의/NNG+가/JKS
이뤄진다	이루어지/VV+ㄴ다/EC
